date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-11-28,17.792,36.875,19.083,,3.75,30.667,,,
2011-11-29,19.75,38.792,19.042,,3.417,28.0,,,
2011-11-30,18.125,31.375,13.25,,3.565,27.75,,,
2011-12-01,5.458,7.375,1.917,,0.708,1.75,,,
2011-12-02,7.333,9.542,2.208,,0.667,2.792,,,
2011-12-03,7.25,10.083,2.833,,0.083,3.458,,,
2011-12-04,1.708,2.375,0.667,,0.167,4.333,,,
2011-12-05,9.25,13.0,3.75,,0.875,11.25,,,
2011-12-06,15.083,21.583,6.5,,2.292,14.75,,,
2011-12-07,10.833,14.833,4.0,,1.391,12.875,,,
2011-12-08,5.583,7.0,1.417,,1.167,16.208,,,
2011-12-09,4.05,5.25,1.2,,0.818,6.091,,,
2011-12-10,5.042,6.375,1.333,,0.833,6.875,,,
2011-12-11,4.0,5.208,1.208,,0.958,8.625,,,
2011-12-12,8.917,11.833,2.917,,1.292,16.208,,,
2011-12-13,11.208,14.833,3.625,,1.375,16.708,,,
2011-12-14,15.875,22.375,6.5,,2.696,17.0,,,
2011-12-15,10.417,14.292,3.875,,1.708,17.167,,,
2011-12-16,4.417,5.583,1.167,,1.0,3.75,,,
2011-12-17,3.667,4.542,0.875,,1.0,4.0,,,
2011-12-18,4.583,5.833,1.25,,1.125,9.167,,,
2011-12-19,7.25,9.5,2.25,,0.917,7.958,,,
2011-12-20,13.083,20.542,7.458,,2.167,7.958,,,
2011-12-21,9.75,12.5,2.75,,3.739,17.875,,,
2011-12-22,11.571,16.429,4.857,,2.0,18.478,,,
2011-12-23,4.167,5.542,1.375,,1.292,2.5,,,
2011-12-24,2.708,3.542,0.833,,1.458,3.458,,,
2011-12-25,1.833,2.292,0.458,,1.0,2.583,,,
2011-12-26,3.958,5.083,1.125,,1.0,2.5,,,
2011-12-27,11.833,15.75,3.917,,1.583,3.417,,,
2011-12-28,15.292,20.0,4.708,,1.87,6.458,,,
2011-12-29,10.167,14.375,4.208,,2.333,12.583,,,
2011-12-30,4.708,5.667,0.958,,0.875,3.083,,,
2011-12-31,7.458,9.458,2.0,,1.25,3.625,,,
2012-01-01,5.0,6.708,1.708,10.958,1.583,9.458,,,
2012-01-02,4.75,6.333,1.583,15.625,1.917,19.0,,,
2012-01-03,1.417,1.708,0.292,5.292,1.042,3.167,,,
2012-01-04,6.5,8.667,2.167,5.25,1.87,3.75,,,
2012-01-05,7.0,10.696,3.696,5.667,1.625,5.167,,,
2012-01-06,6.292,11.167,4.875,9.208,1.708,8.458,,,
2012-01-07,14.917,31.333,16.417,15.875,2.458,15.375,,,
2012-01-08,16.25,35.292,19.042,10.667,1.958,10.667,,,
2012-01-09,7.417,16.542,9.125,11.167,2.083,9.917,,,
2012-01-10,6.542,15.0,8.458,7.043,1.174,6.208,,,
2012-01-11,15.292,32.125,16.833,6.75,1.522,5.417,,,
2012-01-12,17.75,39.458,21.708,12.042,2.5,13.458,,,
2012-01-13,9.458,20.333,10.875,14.583,1.583,17.375,,,
2012-01-14,3.75,8.875,5.125,9.167,2.0,10.625,,,
2012-01-15,5.875,12.333,6.458,13.542,2.375,13.875,,,
2012-01-16,15.958,31.5,15.542,14.083,2.375,16.625,,,
2012-01-17,8.087,15.391,7.304,14.792,1.048,14.19,,,
2012-01-18,14.583,18.25,3.667,5.875,1.087,6.333,,,
2012-01-19,13.042,17.667,4.625,10.625,1.125,10.292,,,
2012-01-20,10.75,13.167,2.417,15.292,2.25,18.75,,,
2012-01-21,21.542,26.708,5.167,24.167,3.167,27.958,,,
2012-01-22,20.292,34.667,14.375,10.292,2.042,14.583,,,
2012-01-23,15.208,19.708,4.5,6.0,1.167,6.167,,,
2012-01-24,11.609,16.435,4.826,15.583,1.273,17.682,,,
2012-01-25,1.625,1.917,0.292,10.25,1.435,12.083,,,
2012-01-26,2.208,2.875,0.667,9.833,3.292,12.417,,,
2012-01-27,3.0,3.75,0.75,6.625,1.083,6.542,,,
2012-01-28,5.625,7.167,1.542,8.667,1.5,10.583,,,
2012-01-29,23.708,33.292,9.583,10.042,3.75,13.625,,,
2012-01-30,20.833,26.667,5.833,20.958,2.708,25.708,,,
2012-01-31,22.917,28.875,5.958,29.542,3.292,35.083,,,
2012-02-01,36.348,61.217,24.87,33.5,2.714,40.682,,,
2012-02-02,17.542,53.833,36.292,14.542,0.87,23.167,,,
2012-02-03,10.833,16.208,5.375,8.0,1.75,10.708,,,
2012-02-04,21.25,34.708,13.458,13.25,2.375,17.333,,,
2012-02-05,13.625,19.25,5.625,14.833,3.583,18.083,,,
2012-02-06,15.583,23.708,8.125,10.208,2.125,16.333,,,
2012-02-07,3.75,5.583,1.833,13.708,1.667,15.833,,,
2012-02-08,3.583,5.667,2.083,5.273,1.042,4.958,,,
2012-02-09,6.208,9.167,2.958,9.458,1.783,10.708,,,
2012-02-10,5.455,8.318,2.864,19.773,3.273,18.864,,,
2012-02-11,6.75,9.583,2.833,17.083,1.958,14.792,,,
2012-02-12,17.083,39.0,21.917,14.5,2.458,12.375,,,
2012-02-13,6.913,17.043,10.13,15.75,2.375,15.042,,,
2012-02-14,20.667,27.042,6.375,10.625,2.792,12.792,,,
2012-02-15,11.875,16.542,4.667,11.917,2.25,14.25,,,
2012-02-16,5.083,7.125,2.042,9.167,1.217,10.625,,,
2012-02-17,9.5,12.167,2.667,9.167,1.833,9.792,,,
2012-02-18,23.292,33.708,10.417,7.208,1.917,10.583,,,
2012-02-19,11.917,18.333,6.417,8.375,0.917,9.375,,,
2012-02-20,9.833,22.375,12.542,5.708,0.583,7.042,,,
2012-02-21,6.333,11.542,5.208,11.083,2.125,12.167,,,
2012-02-22,15.083,22.75,7.667,18.417,2.739,23.348,,,
2012-02-23,6.958,11.542,4.583,18.208,2.261,22.708,,,
2012-02-24,2.833,5.125,2.292,7.542,1.083,8.208,,,
2012-02-25,9.875,13.833,3.958,9.25,2.292,10.958,,,
2012-02-26,27.083,34.167,7.083,21.417,4.625,27.042,,,
2012-02-27,17.696,24.174,6.478,15.875,2.542,24.25,,,
2012-02-28,15.958,20.833,4.875,14.292,2.0,18.75,,,
2012-03-01,19.083,33.25,14.167,15.625,1.875,18.091,,,
2012-03-02,2.875,4.292,1.417,16.333,1.043,15.875,,,
2012-03-03,6.958,9.333,2.375,15.417,1.0,16.083,,,
2012-03-04,8.292,11.708,3.417,14.25,3.75,20.333,,,
