date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-12-27,20.0,34.458,14.458,,
2011-12-28,25.375,49.458,24.083,,
2011-12-29,19.917,41.75,21.833,,
2011-12-30,5.75,7.5,1.75,,
2011-12-31,13.583,19.75,6.167,,
2012-01-01,11.875,15.667,3.792,,
2012-01-02,8.292,12.208,3.917,,
2012-01-03,3.542,4.375,0.833,,
2012-01-04,13.217,19.391,6.174,,
2012-01-05,23.083,37.083,14.0,,
2012-01-06,18.083,27.917,9.833,,
2012-01-07,26.458,45.375,18.917,,
2012-01-08,26.958,46.125,19.167,,
2012-01-09,14.375,20.125,5.75,,
2012-01-10,8.5,11.375,2.875,,
2012-01-11,25.417,38.75,13.333,,
2012-01-12,26.667,44.792,18.125,,
2012-01-13,27.167,43.292,16.125,,
2012-01-14,8.375,10.708,2.333,,
2012-01-15,8.391,17.391,9.0,,
2012-01-16,24.292,41.375,17.083,,
2012-01-17,12.667,18.333,5.667,,
2012-01-18,12.667,18.75,6.083,,
2012-01-19,16.417,25.458,9.042,,
2012-01-20,13.667,17.667,4.0,,
2012-01-21,27.042,43.417,16.375,,
2012-01-22,26.25,43.167,16.917,,
2012-01-23,21.5,32.292,10.792,,
2012-01-24,17.417,36.083,18.667,,
2012-01-25,4.25,5.708,1.458,,
2012-01-26,4.5,5.917,1.417,,
2012-01-27,10.125,13.25,3.125,,
2012-01-28,12.957,19.609,6.652,,
2012-01-29,27.083,53.333,26.25,,
2012-01-30,28.417,48.5,20.083,,
2012-01-31,26.25,46.708,20.458,,
2012-02-01,38.5,95.208,56.708,,
2012-02-02,21.292,54.417,33.125,,
2012-02-03,12.25,16.0,3.75,,
2012-02-04,21.5,30.167,8.667,,
2012-02-05,9.458,12.083,2.625,,
2012-02-06,18.167,28.375,10.208,,
2012-02-07,10.75,15.083,4.333,,
2012-02-08,5.833,7.625,1.792,,
2012-02-09,16.917,24.542,7.625,,
2012-02-10,12.417,17.792,5.375,,
2012-02-11,5.125,6.333,1.208,,
2012-02-12,13.417,16.542,3.125,,
2012-02-13,11.042,14.917,3.875,,
2012-02-14,23.043,35.261,12.217,,
2012-02-15,19.958,33.667,13.708,,
2012-02-16,6.458,9.667,3.208,,
2012-02-17,9.667,13.5,3.833,,
2012-02-18,25.875,41.75,15.875,,
2012-02-19,15.458,21.708,6.25,,
2012-02-20,13.5,22.375,8.875,,
2012-02-21,14.5,20.625,6.125,,
2012-02-22,17.773,26.955,9.182,,
2012-02-23,6.375,8.417,2.042,,
2012-02-24,3.708,4.875,1.167,,
2012-02-25,11.167,15.583,4.417,,
2012-02-26,19.409,35.636,16.227,,
2012-02-27,17.917,32.875,14.958,,
2012-02-28,22.167,34.167,12.0,,
2012-03-01,26.0,47.208,21.208,,
2012-03-02,4.417,6.375,1.958,,
2012-03-03,10.167,13.958,3.792,,
2012-03-04,15.458,22.958,7.5,,
2012-03-05,21.583,31.042,9.458,,
2012-03-06,24.167,37.083,12.917,,
2012-03-07,30.792,48.333,17.542,,
2012-03-08,19.75,39.417,19.667,,
2012-03-09,20.583,25.667,5.083,,
2012-03-10,10.292,12.667,2.375,,
2012-03-11,13.292,20.042,6.75,,
2012-03-12,24.25,36.833,12.583,,
2012-03-13,26.87,46.783,19.913,,
2012-03-14,3.958,5.708,1.75,,
2012-03-15,21.958,32.417,10.458,,
2012-03-16,16.875,27.125,10.25,,
2012-03-17,14.417,17.875,3.458,,
2012-03-18,20.875,27.833,6.958,,
2012-03-19,16.333,21.625,5.292,,
2012-03-20,33.083,47.375,14.292,,
