date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean
2012-01-30,3.565,24.792,66.833,42.042,10.25
2012-01-31,5.083,35.667,84.208,48.542,18.917
2012-02-01,5.391,37.957,107.739,69.783,22.261
2012-02-02,4.583,27.042,43.375,16.333,15.0
2012-02-03,3.75,14.75,17.0,2.25,7.417
2012-02-04,4.667,26.913,47.652,20.739,15.375
2012-02-05,3.875,25.958,40.542,14.583,10.583
2012-02-06,3.217,20.125,26.917,6.792,9.208
2012-02-07,4.522,26.87,58.609,31.739,14.87
2012-02-08,3.167,17.458,35.125,17.667,5.875
2012-02-09,3.333,20.667,37.458,16.792,6.792
2012-02-10,4.333,18.625,24.792,6.167,11.667
2012-02-11,5.0,23.783,49.217,25.435,15.25
2012-02-12,5.667,35.0,68.875,33.875,19.25
2012-02-13,3.826,22.375,41.125,18.75,12.833
2012-02-14,5.042,38.083,95.333,57.25,12.583
2012-02-15,4.609,28.739,71.217,42.478,15.478
2012-02-16,2.667,9.75,15.25,5.5,7.167
2012-02-17,3.917,21.167,38.583,17.417,8.739
2012-02-18,5.542,34.696,76.478,41.783,14.708
2012-02-19,3.833,29.458,44.542,15.083,9.833
2012-02-20,2.913,22.167,35.667,13.5,8.708
2012-02-21,3.524,28.636,62.545,33.909,9.391
2012-02-22,4.333,34.417,88.75,54.333,15.917
2012-02-23,2.875,25.125,53.375,28.25,14.167
2012-02-24,2.208,13.125,20.0,6.875,8.667
2012-02-25,2.125,18.826,29.0,10.174,5.375
2012-02-26,3.5,29.208,63.833,34.625,10.958
2012-02-27,5.0,34.083,67.792,33.708,22.625
2012-02-28,4.957,37.3,104.15,66.85,20.435
2012-03-01,3.75,31.458,78.375,46.917,14.417
2012-03-02,3.042,9.708,10.875,1.167,14.625
2012-03-03,3.0,17.583,23.458,5.875,12.042
2012-03-04,2.958,22.304,28.0,5.696,11.875
2012-03-05,3.708,23.792,45.167,21.375,13.083
2012-03-06,3.783,23.542,64.833,41.292,20.833
2012-03-07,4.542,26.208,59.083,32.875,30.167
2012-03-08,3.318,24.789,41.789,17.0,30.217
2012-03-09,4.375,36.042,58.958,22.917,32.583
2012-03-10,3.167,14.0,18.042,4.042,23.083
2012-03-11,2.417,15.917,18.167,2.25,8.708
2012-03-12,3.958,33.583,67.333,33.75,14.417
2012-03-13,2.783,24.292,63.792,39.5,18.0
2012-03-14,2.522,21.87,25.87,4.0,9.571
2012-03-15,3.5,27.261,38.0,10.739,15.667
2012-03-16,4.208,21.958,49.167,27.208,16.5
2012-03-17,4.125,16.5,21.542,5.042,22.292
2012-03-18,2.958,14.125,17.125,3.0,30.25
2012-03-19,3.917,21.542,38.458,16.917,15.25
2012-03-20,3.261,16.75,19.833,3.083,24.5
2012-03-21,2.583,17.792,21.958,4.167,5.958
2012-03-22,3.087,22.391,25.478,3.087,10.609
2012-03-23,3.792,20.917,34.167,13.25,14.833
2012-03-24,3.458,11.542,12.125,0.583,19.75
2012-03-25,3.792,22.652,26.348,3.696,19.292
2012-03-26,3.417,21.042,26.333,5.292,8.75
2012-03-27,3.261,23.417,30.708,7.292,13.917
2012-03-28,3.696,23.565,47.435,23.87,14.174
2012-03-29,3.375,21.083,29.667,8.583,20.75
2012-03-30,3.083,19.5,21.208,1.708,17.208
2012-03-31,2.875,11.958,12.833,0.875,14.875
2012-04-01,1.917,12.833,17.042,4.208,11.167
2012-04-02,2.375,25.958,47.958,22.0,9.958
2012-04-03,2.125,21.625,51.958,30.333,13.5
2012-04-04,1.292,18.125,26.958,8.833,6.042
2012-04-05,2.261,22.545,29.682,7.136,19.174
2012-04-06,2.542,22.5,30.083,7.583,13.917
2012-04-07,2.25,16.167,24.167,8.0,10.875
2012-04-08,2.5,13.875,15.708,1.833,13.0
2012-04-09,2.958,26.833,45.833,19.0,20.542
2012-04-10,3.25,30.542,59.292,28.75,26.792
2012-04-11,2.958,24.667,32.125,7.458,21.25
2012-04-12,3.348,23.318,38.0,14.682,11.13
2012-04-13,3.917,23.542,33.917,10.375,18.542
2012-04-14,3.125,12.208,12.75,0.542,8.75
2012-04-15,3.25,10.875,11.625,0.75,11.25
2012-04-16,4.167,23.042,32.792,9.75,15.25
2012-04-17,4.292,25.0,33.25,8.25,17.125
2012-04-18,2.522,20.375,33.458,13.083,14.042
2012-04-19,2.227,16.571,18.19,1.619,10.913
2012-04-20,2.75,21.083,24.917,3.833,9.333
2012-04-21,2.833,17.667,20.583,2.917,9.5
2012-04-22,3.292,13.5,14.208,0.708,11.958
2012-04-23,4.417,25.125,30.208,5.083,7.5
2012-04-24,4.0,20.125,32.5,12.375,14.083
2012-04-25,4.708,21.458,25.792,4.333,25.083
2012-04-26,3.783,21.826,25.435,3.609,19.304
2012-04-27,4.208,20.292,22.417,2.125,5.5
2012-04-28,4.292,16.292,18.667,2.375,10.667
2012-04-29,3.565,13.25,14.958,1.708,19.667
2012-04-30,2.75,13.25,15.083,1.833,16.0
2012-05-01,2.773,20.455,28.864,8.409,10.591
2012-05-02,2.652,21.696,28.478,6.783,7.083
2012-05-03,2.583,11.208,13.125,1.917,3.0
2012-05-04,3.208,12.458,15.542,3.083,5.0
2012-05-05,3.625,15.083,24.083,9.0,8.5
2012-05-06,3.667,13.917,19.0,5.083,14.875
2012-05-07,3.792,20.375,26.875,6.5,15.583
2012-05-08,4.542,25.0,28.417,3.417,27.625
2012-05-09,4.261,21.826,25.087,3.261,34.375
2012-05-10,3.174,16.957,21.826,4.87,19.136
2012-05-11,3.167,19.958,49.667,29.708,7.625
2012-05-12,3.125,16.958,27.583,10.625,7.958
2012-05-13,3.917,14.25,21.667,7.417,12.913
2012-05-14,3.792,19.333,32.458,13.125,14.792
2012-05-15,3.375,22.625,29.167,6.542,11.182
2012-05-16,3.174,20.348,37.87,17.522,16.333
2012-05-17,3.292,26.958,39.042,12.083,32.458
2012-05-18,2.87,14.217,15.522,1.304,23.391
2012-05-19,3.583,25.042,40.542,15.5,25.292
2012-05-20,3.458,14.333,17.083,2.75,20.792
2012-05-21,3.167,16.833,23.125,6.292,16.125
2012-05-22,2.417,8.958,9.917,0.958,9.083
2012-05-23,1.957,10.957,12.217,1.261,4.667
2012-05-24,3.0,20.87,30.87,10.0,19.261
2012-05-25,3.667,29.083,39.833,10.75,26.667
2012-05-26,2.875,14.917,20.833,5.917,19.542
2012-05-27,2.625,12.5,14.792,2.292,17.792
2012-05-28,2.792,18.708,25.0,6.292,15.583
2012-05-29,2.875,13.833,20.167,6.333,15.667
2012-05-30,3.043,19.87,24.696,4.826,13.333
2012-05-31,3.261,21.0,23.783,2.783,15.261
2012-06-01,3.625,15.542,17.542,2.0,16.25
2012-06-02,4.5,19.292,28.542,9.25,22.083
2012-06-03,4.042,11.792,12.542,0.75,24.333
2012-06-04,3.917,15.792,20.875,5.083,14.333
2012-06-05,3.542,20.083,27.417,7.333,13.25
2012-06-06,2.048,14.429,20.19,5.762,9.238
2012-06-07,2.083,18.333,30.75,12.417,8.583
2012-06-08,2.875,18.417,28.375,9.958,22.042
2012-06-09,2.083,14.542,17.625,3.083,6.043
2012-06-10,2.833,8.333,10.708,2.375,6.136
2012-06-11,3.875,22.542,28.375,5.833,9.458
2012-06-12,2.917,20.458,26.458,6.0,8.417
2012-06-13,1.913,14.391,17.478,3.087,6.609
2012-06-14,2.25,18.25,22.958,4.708,12.652
2012-06-15,2.913,20.7,27.0,6.3,12.826
2012-06-16,2.958,22.333,26.25,3.917,5.625
2012-06-17,4.208,22.292,29.375,7.083,8.917
2012-06-18,4.333,28.3,44.0,15.7,13.25
2012-06-19,3.958,21.0,29.583,8.583,16.174
2012-06-20,2.0,16.125,29.792,13.667,8.435
2012-06-21,3.087,24.048,32.095,8.048,15.043
2012-06-22,3.667,25.042,31.125,6.083,11.583
2012-06-23,5.292,20.333,28.333,8.0,15.792
2012-06-24,3.458,10.125,11.875,1.75,15.875
2012-06-25,2.458,16.75,23.0,6.25,6.0
2012-06-26,2.292,18.0,23.417,5.417,11.333
2012-06-27,2.565,22.208,30.208,8.0,14.958
2012-06-28,3.609,23.955,30.773,6.818,17.217
2012-06-29,2.417,15.75,21.792,6.042,8.625
2012-06-30,2.625,18.875,28.833,9.958,10.375
2012-07-01,3.25,14.125,17.208,3.083,14.261
2012-07-02,3.75,18.167,20.667,2.5,8.957
2012-07-03,3.542,22.583,32.333,9.75,16.167
2012-07-04,2.87,14.5,16.75,2.25,13.542
2012-07-05,3.913,22.818,25.591,2.773,27.304
2012-07-06,4.875,25.375,28.958,3.583,30.292
2012-07-07,3.542,14.25,18.375,4.125,10.375
