date,NO2_mean,NOX_mean,NO_mean,PM25_mean,CO_mean
2011-12-22,20.958,59.5625,38.6045,,4.833
2011-12-23,19.1665,37.0835,17.917,,3.375
2011-12-24,14.521,27.354,12.832999999999998,,3.5
2011-12-25,7.9585,13.9375,5.979,,2.917
2011-12-26,18.979,50.646,31.6665,,3.708
2011-12-27,25.0205,65.6875,40.667,,3.75
2011-12-28,22.435,62.760999999999996,40.326,,3.957
2011-12-29,15.645499999999998,46.458,30.8125,,4.458
2011-12-30,10.5205,17.583,7.0625,,3.458
2011-12-31,9.3335,13.125,3.7915,,3.042
2012-01-01,8.708,9.917,1.208,,4.167
2012-01-02,6.2684999999999995,10.539,4.2705,,4.125
2012-01-03,4.9625,7.852,2.8895,,3.042
2012-01-04,12.8415,20.2545,7.413,,3.25
2012-01-05,17.25,35.2085,17.958,,3.917
2012-01-06,16.021,32.875,16.854,,4.625
2012-01-07,24.5625,56.271,31.708,,4.667
2012-01-08,25.726,72.908,47.1815,,4.333
2012-01-09,21.413,50.065,28.651999999999997,,3.708
2012-01-10,19.138,37.712,18.573999999999998,,3.167
2012-01-11,26.03,64.0515,38.0215,,3.667
2012-01-12,24.646,59.9165,35.271,,5.333
2012-01-13,20.792,47.375,26.5835,,7.333
2012-01-14,17.5205,28.25,10.729,,4.458
2012-01-15,17.875,33.4375,15.5625,,3.792
2012-01-16,25.5655,57.0435,31.4785,,4.292
2012-01-17,26.0625,64.8335,38.7705,,4.75
2012-01-18,20.5,44.1875,23.6875,,3.292
2012-01-19,19.104,47.521,28.4165,,3.792
2012-01-20,16.9585,25.9165,8.957999999999998,,4.292
2012-01-21,28.271,62.1665,33.8955,,4.87
2012-01-22,23.1875,51.146,27.9585,,4.348
2012-01-23,24.369500000000002,62.652499999999996,38.2825,,3.583
2012-01-24,21.5205,57.6875,36.167,,4.042
2012-01-25,17.604,42.875,25.271,,3.826
2012-01-26,13.2085,23.854,10.645499999999998,,3.333
2012-01-27,12.3335,17.75,5.4165,,3.625
2012-01-28,19.271,40.104,20.8335,,3.417
2012-01-29,27.490000000000002,60.875,33.3855,,4.13
2012-01-30,28.381500000000003,55.93,27.5485,,5.125
2012-01-31,29.9515,90.549,60.597500000000004,,4.458
2012-02-01,26.542,62.458,35.917,,4.875
2012-02-02,18.792,29.667,10.875,,3.5
2012-02-03,16.542,19.958,3.417,,
2012-02-04,20.583,32.0,11.417,,
2012-02-05,10.833,14.167,3.333,,3.333
2012-02-06,16.261,29.957,13.696,,3.375
2012-02-07,10.75,28.167,17.417,,3.958
2012-02-08,5.875,6.5,0.625,,3.304
2012-02-09,14.583,18.333,3.75,,3.417
2012-02-10,10.792,15.25,4.458,,4.292
2012-02-11,7.833,8.167,0.333,,4.292
2012-02-12,24.333,38.458,14.125,,4.583
2012-02-13,11.0,12.783,1.783,,4.208
2012-02-14,17.9165,34.4625,16.546,,3.708
2012-02-15,14.896,27.729,12.8335,,4.087
2012-02-16,7.771,12.4375,4.6665,,3.542
2012-02-17,12.625,20.6875,8.0625,,3.542
2012-02-18,19.3125,38.458,19.1455,,5.167
2012-02-19,14.5205,27.7085,13.1875,,3.708
2012-02-20,11.478,28.261,16.783,,3.292
2012-02-21,16.771,31.069499999999998,14.299,,4.0
2012-02-22,18.729,33.25,14.520499999999998,,4.696
2012-02-23,11.2295,16.646,5.4165,,4.208
2012-02-24,6.875,10.375,3.5,,3.208
2012-02-25,14.4375,25.792,11.354,,3.292
2012-02-26,19.1875,43.6875,24.5,,4.542
2012-02-27,18.152,27.087,8.9345,,5.0
2012-02-28,20.146,41.8125,21.6665,,3.833
2012-02-29,,,,,
2012-03-01,19.396,48.333,28.9375,,4.696
2012-03-02,6.8335,10.625,3.792,,3.917
2012-03-03,10.3545,13.75,3.396,,3.083
2012-03-04,16.417,30.1875,13.770499999999998,,3.458
2012-03-05,20.229,38.8125,18.583,,5.25
2012-03-06,19.5215,42.1305,22.609,,4.708
2012-03-07,23.5625,52.0625,28.5,,4.708
2012-03-08,17.9375,38.2295,20.2915,,4.478
2012-03-09,23.7705,36.5625,12.792,,5.375
2012-03-10,14.021,20.567999999999998,6.547000000000001,,4.522
2012-03-11,15.5835,27.396,11.8125,,3.208
2012-03-12,19.396,40.0415,20.646,,3.5
2012-03-13,14.826,39.783,24.9565,,3.542
2012-03-14,12.292,22.0625,9.770499999999998,,3.375
2012-03-15,14.7915,27.4585,12.6665,,3.261
2012-03-16,12.9585,26.771,13.8125,,4.667
2012-03-17,14.792000000000002,18.8125,4.021,,4.833
2012-03-18,10.2915,16.7295,6.4375,,3.524
2012-03-19,19.125,33.4165,14.2915,,5.208
2012-03-20,18.674,36.413,17.739,,5.625
2012-03-21,11.5835,22.229,10.646,,3.417
2012-03-22,18.75,35.625,16.875,,3.913
2012-03-23,10.5835,19.75,9.167,,3.958
2012-03-24,12.896,16.0415,3.1455,,3.625
2012-03-25,14.1665,22.521,8.3545,,3.667
2012-03-26,16.167,26.521,10.354,,3.208
2012-03-27,23.3045,43.913,20.6085,,4.474
2012-03-28,19.729,35.104,15.375,,4.208
2012-03-29,12.3335,32.875,20.5415,,4.478
2012-03-30,13.6875,19.646,5.9585,,3.25
2012-03-31,10.167,13.4585,3.2915,,3.125
2012-04-01,13.5835,21.6665,8.0835,,3.25
2012-04-02,20.604,35.729,15.125,,3.417
2012-04-03,9.542,14.8125,5.2705,,2.958
2012-04-04,15.956500000000002,25.304000000000002,9.348,,3.174
2012-04-05,22.354,39.4375,17.083,,4.333
2012-04-06,20.913999999999998,37.419,16.5055,,3.667
2012-04-07,16.542,25.5625,9.021,,3.208
2012-04-08,15.6875,20.667,4.9795,,3.25
2012-04-09,24.8335,39.1455,14.3125,,4.0
2012-04-10,25.7295,47.0415,21.3125,,4.542
2012-04-11,21.435000000000002,38.326,16.891499999999997,,3.435
2012-04-12,21.8125,35.646,13.8335,,3.833
2012-04-13,26.2085,54.042,27.8335,,4.417
2012-04-14,15.417000000000002,22.2915,6.875,,3.208
2012-04-15,15.8125,22.0625,6.25,,3.125
2012-04-16,23.521,44.375,20.854,,3.542
2012-04-17,23.5415,53.854,30.3125,,3.542
2012-04-18,25.978,46.435,20.4565,,3.696
2012-04-19,20.8425,35.177499999999995,14.335,,3.375
2012-04-20,24.2085,44.896,20.6875,,3.5
2012-04-21,10.8125,27.75,16.9375,,3.292
2012-04-22,9.7085,13.729500000000002,4.021,,3.0
2012-04-23,22.521,35.2295,12.7085,,3.792
2012-04-24,22.0835,46.042,23.9585,,4.958
2012-04-25,9.739,18.3915,8.652,,4.304
2012-04-26,18.801000000000002,30.085,11.284,,3.833
2012-04-27,24.137999999999998,36.176,12.038,,3.083
2012-04-28,22.9375,36.0625,13.125,,3.625
2012-04-29,11.0205,14.5,3.4795,,3.333
2012-04-30,15.229,21.417,6.1875,,3.792
2012-05-01,17.8485,29.686,11.837,,3.042
2012-05-02,14.783000000000001,30.022,15.239,,2.87
2012-05-03,6.987,12.227500000000001,5.24,,2.917
2012-05-04,4.8045,18.6625,13.858,,2.667
2012-05-05,10.487,14.7955,4.308,,3.208
2012-05-06,13.361999999999998,22.134,8.7715,,4.125
2012-05-07,25.5415,37.174,11.632,,4.125
2012-05-08,27.208,42.333,15.125,,4.625
2012-05-09,31.348,51.826,20.478,,4.652
2012-05-10,22.583,45.917,23.333,,3.542
2012-05-11,23.208,49.75,26.542,,2.458
2012-05-12,21.458,34.333,12.875,,2.708
2012-05-13,13.833,17.625,3.792,,2.25
2012-05-14,16.917,28.792,11.875,,2.875
2012-05-15,34.042,72.458,38.417,,3.667
2012-05-16,22.478,40.739,18.261,,3.826
2012-05-17,24.625,40.208,15.583,,3.958
2012-05-18,34.75,54.708,19.958,,3.5
2012-05-19,19.083,26.792,7.708,,3.125
2012-05-20,17.208,20.25,3.042,,3.625
2012-05-21,27.75,48.292,20.542,,3.333
2012-05-22,29.583,43.208,13.625,,3.417
2012-05-23,31.13,49.565,18.435,,3.826
2012-05-24,32.542,53.458,20.917,,4.083
2012-05-25,32.792,60.5,27.708,,5.083
2012-05-26,16.583,28.542,11.958,,3.583
2012-05-27,17.25,20.958,3.708,,3.833
2012-05-28,25.167,37.25,12.083,,3.667
2012-05-29,29.75,53.667,23.917,,4.167
2012-05-30,22.217,42.0,19.783,,3.0
2012-05-31,23.083,46.208,23.125,,3.125
2012-06-01,21.958,36.125,14.167,,4.167
2012-06-02,21.875,39.25,17.375,,3.75
2012-06-03,16.75,22.667,5.917,,3.375
2012-06-04,17.375,32.25,14.875,,3.042
2012-06-05,23.958,41.292,17.333,,2.75
2012-06-06,25.043,38.217,13.174,,3.217
2012-06-07,31.958,47.083,15.125,,3.5
2012-06-08,23.875,45.042,21.167,,2.875
2012-06-09,18.0,30.167,12.167,,2.958
