date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,CO_mean,SO2_mean
2011-05-21,15.239249999999998,19.89575,4.65625,,31.4895,4.708,0.875
2011-05-22,11.0625,14.729,3.66675,,18.50025,4.333,0.125
2011-05-23,11.36,14.849499999999999,3.4895,,9.17725,3.958,0.545
2011-05-24,9.5105,14.36125,4.85075,,12.47925,3.5,0.0
2011-05-25,8.471499999999999,12.556000000000001,4.08475,,14.948,3.739,0.375
2011-05-26,6.2085,8.86475,2.656,,10.733,3.0,0.167
2011-05-27,8.163499999999999,11.7585,3.5949999999999998,,17.212,3.208,0.167
2011-05-28,10.0105,13.60425,3.594,,13.4895,3.625,0.333
2011-05-29,6.396,11.23975,4.84375,,5.677,4.0,0.0
2011-05-30,4.643,8.82,4.177,,3.75,3.125,0.0
2011-05-31,4.57275,7.64575,3.073,,19.44775,3.167,0.458
2011-06-01,6.8759999999999994,11.32,4.444,,28.604,3.087,0.875
2011-06-02,12.55075,24.76175,12.211500000000001,,33.7545,5.083,0.5
2011-06-03,11.32275,17.40625,6.08325,,18.65625,4.792,0.458
2011-06-04,11.45825,15.219000000000001,3.76025,,27.53125,4.833,0.708
2011-06-05,9.062750000000001,11.948,2.8855,,50.979,4.875,1.0
2011-06-06,9.35025,14.371,5.02075,,25.75,4.375,0.091
2011-06-07,9.652249999999999,12.64125,2.989,,28.3695,4.391,1.783
2011-06-08,8.95725,11.74025,2.78325,,23.594,3.522,1.292
2011-06-09,7.5,10.52075,3.02075,,12.27075,3.0,0.125
2011-06-10,12.419,16.80525,4.38575,,23.91675,4.083,0.583
2011-06-11,11.0415,15.91675,4.875,,24.85425,4.5,0.0
2011-06-12,7.95825,9.9895,2.03125,,18.396,3.958,0.5
2011-06-13,8.6725,11.5785,2.90625,,22.031,3.708,0.5
2011-06-14,9.55725,14.62,5.063,,9.875,3.833,0.0
2011-06-15,8.433,12.553,4.1195,,5.45825,3.522,0.0
