date,PM25_mean,SO2_mean
2013-04-28,22.0,3.875
2013-04-29,25.625,3.917
2013-04-30,18.292,2.583
2013-05-01,12.0,2.783
2013-05-02,4.75,3.25
2013-05-03,8.75,3.958
2013-05-04,21.75,3.792
2013-05-05,23.917,3.708
2013-05-06,26.167,4.417
2013-05-07,19.417,4.542
2013-05-08,7.792,4.417
2013-05-09,12.5,4.417
2013-05-10,12.083,2.208
2013-05-11,8.792,1.917
2013-05-12,13.458,3.583
2013-05-13,11.917,4.333
2013-05-14,15.542,4.167
2013-05-15,13.625,3.478
2013-05-16,23.375,4.0
2013-05-17,22.083,3.875
2013-05-18,15.583,3.458
2013-05-19,5.958,2.292
2013-05-20,6.5,2.111
2013-05-21,24.917,3.609
2013-05-22,40.083,4.238
2013-05-23,42.625,4.13
2013-05-24,28.083,4.333
2013-05-25,19.375,3.583
2013-05-26,14.167,3.417
2013-05-27,11.208,2.792
2013-05-28,4.125,1.167
2013-05-29,6.208,1.304
2013-05-30,24.125,2.25
2013-05-31,21.625,2.625
2013-06-01,16.792,1.875
2013-06-02,3.375,1.125
2013-06-03,7.375,1.667
2013-06-04,13.792,3.125
2013-06-05,16.25,2.958
2013-06-06,14.5,2.917
2013-06-07,20.542,3.625
2013-06-08,20.458,3.333
2013-06-09,18.167,1.958
2013-06-10,7.292,2.125
2013-06-11,4.375,1.917
2013-06-12,5.045,3.348
2013-06-13,12.667,4.042
2013-06-14,21.5,3.75
2013-06-15,18.292,2.083
2013-06-16,11.083,2.75
2013-06-17,18.208,3.292
2013-06-18,22.167,3.5
2013-06-19,18.375,2.5
2013-06-20,8.708,1.083
2013-06-21,2.292,1.125
2013-06-22,6.792,2.0
2013-06-23,10.833,1.542
2013-06-24,6.833,1.375
2013-06-25,6.042,1.75
2013-06-26,3.25,1.304
2013-06-27,6.208,2.75
2013-06-28,7.875,1.833
2013-06-29,4.833,1.833
2013-06-30,5.958,1.333
2013-07-01,5.542,2.125
2013-07-02,4.375,1.042
2013-07-03,5.25,1.0
2013-07-04,9.042,1.0
2013-07-05,14.25,1.917
2013-07-06,14.75,2.708
2013-07-07,14.5,2.667
2013-07-08,18.917,4.042
2013-07-09,34.75,4.292
2013-07-10,44.5,3.522
2013-07-11,33.042,3.375
2013-07-12,15.917,2.75
2013-07-13,10.5,2.708
2013-07-14,16.542,3.458
2013-07-15,11.833,2.958
2013-07-16,11.0,2.708
2013-07-17,28.043,2.917
2013-07-18,23.833,2.875
