date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean,CO_mean
2017-10-31,197.17399999999998,89.0,63.25033333333334,45.0,16.022,23.739333333333335,46.145,22.405666666666665,12.0,0.609,10.986333333333334,172.0,121.13866666666667,88.33333333333333,213.19549999999998,2.043
2017-11-01,202.04149999999998,94.0,81.875,61.666666666666664,30.6875,29.291666666666668,49.875,20.583333333333332,18.583,0.917,24.903000000000002,163.33333333333334,115.29166666666667,77.33333333333333,232.72899999999998,2.833
2017-11-02,201.1045,98.33333333333333,80.11133333333333,50.0,26.6455,25.375,48.34733333333333,22.972333333333335,22.625,0.583,26.222333333333335,207.33333333333334,137.778,77.66666666666667,227.75,3.125
2017-11-03,194.8125,97.66666666666667,81.73633333333333,55.666666666666664,11.2915,14.291666666666666,18.264,3.9723333333333333,18.0,0.625,20.444666666666667,216.0,160.236,114.66666666666667,206.10399999999998,1.708
2017-11-04,196.04149999999998,97.33333333333333,85.20866666666667,62.666666666666664,9.646,14.972333333333333,20.778000000000002,5.805666666666667,12.875,0.583,23.708333333333332,209.66666666666666,150.361,97.66666666666667,205.6875,2.125
2017-11-05,196.04149999999998,92.66666666666667,69.30533333333334,43.333333333333336,7.5835,11.736333333333334,16.569333333333333,4.833,14.083,0.5,15.875,171.33333333333334,115.23599999999999,72.66666666666667,203.625,2.542
2017-11-06,202.92849999999999,93.33333333333333,77.76366666666667,53.0,20.1515,27.708333333333332,42.236,14.527666666666667,26.292,0.917,31.949333333333332,186.66666666666666,117.625,58.333333333333336,223.0795,3.25
2017-11-07,205.5655,96.0,77.87466666666667,50.0,30.4565,32.84066666666667,56.333666666666666,23.492666666666665,34.792,0.739,42.889,204.33333333333334,136.111,70.0,236.0215,3.435
2017-11-08,211.89600000000002,95.66666666666667,86.51366666666667,80.0,53.479,35.139,72.361,37.22233333333333,38.042,0.75,57.19433333333333,148.33333333333334,127.08333333333333,101.33333333333333,265.375,4.542
2017-11-09,200.04149999999998,97.33333333333333,58.361333333333334,31.333333333333332,24.375,19.611,43.417,23.805333333333333,16.708,0.125,18.611,181.33333333333334,131.81966666666668,70.66666666666667,224.417,2.667
2017-11-10,204.6045,90.33333333333333,74.625,51.666666666666664,30.25,30.069333333333333,62.81933333333333,32.75,23.792,0.792,29.653000000000002,161.66666666666666,98.51400000000001,47.333333333333336,234.85399999999998,2.833
2017-11-11,201.4795,91.0,63.09733333333333,31.333333333333332,21.6665,17.596999999999998,32.889,15.291666666666666,16.375,0.292,19.486,193.0,122.88900000000001,66.66666666666667,223.14600000000002,2.5
2017-11-12,195.375,80.33333333333333,55.763666666666666,37.333333333333336,10.4585,11.430666666666667,16.361,4.930666666666666,11.25,0.0,10.597,156.66666666666666,108.48633333333333,70.33333333333333,205.83350000000002,2.208
2017-11-13,199.75,97.33333333333333,79.05566666666667,57.333333333333336,15.4165,22.361,37.472,15.111333333333334,18.708,0.542,20.625,157.33333333333334,101.31933333333332,42.0,215.16649999999998,2.208
2017-11-14,201.196,98.33333333333333,90.222,77.0,35.457,29.246333333333336,51.88400000000001,22.637666666666664,22.667,0.087,27.186666666666667,139.33333333333334,111.347,88.66666666666667,236.652,3.348
2017-11-15,206.20850000000002,99.0,90.76400000000001,69.0,29.729,22.111,62.19433333333333,40.083333333333336,16.833,0.0,,163.66666666666666,111.79166666666667,72.0,235.9375,3.708
2017-11-16,196.60399999999998,98.0,67.15266666666666,32.333333333333336,10.6455,18.291666666666668,33.542,15.250333333333336,5.292,0.083,3.923,155.0,99.31966666666666,58.666666666666664,207.25,1.5
2017-11-17,200.0205,90.33333333333333,73.13866666666667,49.0,12.5,21.944333333333333,46.208333333333336,24.264,11.417,0.542,11.916666666666666,134.0,80.111,30.0,212.52100000000002,2.417
2017-11-18,204.75,94.33333333333333,85.40266666666666,52.666666666666664,24.479,25.958,47.65266666666667,21.694333333333333,28.292,0.75,43.72233333333333,91.66666666666667,79.347,63.0,229.22899999999998,3.875
