date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,HUM_max,HUM_mean,HUM_min,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-05-27,9.771,11.562,1.792,,22.188,99.0,81.792,63.0,3.917,21.1,18.612,16.7
2011-05-28,23.167,29.666,6.5,,39.375,99.0,98.625,96.0,3.25,19.7,18.479,16.7
2011-05-29,9.188,11.77,2.584,,21.75,99.0,99.0,99.0,2.125,22.8,20.725,19.2
2011-05-30,5.954,7.409,1.454,,14.792,99.0,75.792,50.0,4.5,25.0,20.2,16.9
2011-05-31,6.076,8.352,2.276,,12.216,80.0,65.75,47.0,5.091,25.1,20.258,16.2
2011-06-01,6.375,8.27,1.896,,33.062,96.0,91.667,84.0,3.542,18.0,16.112,15.4
2011-06-02,10.095,13.261,3.166,,21.521,99.0,98.375,96.0,2.375,19.1,17.583,16.0
2011-06-03,19.27,27.917,8.646,,42.75,99.0,81.458,48.0,5.542,26.5,21.267,17.3
2011-06-04,11.417,14.146,2.729,,57.77,99.0,78.583,47.0,6.042,29.3,22.483,16.8
2011-06-05,11.188,13.542,2.354,,48.146,96.0,78.042,59.0,7.333,27.1,22.254,19.1
2011-06-06,11.975,14.304,2.33,,35.292,94.0,58.5,28.0,8.042,30.7,24.354,17.0
2011-06-07,13.375,16.334,2.958,,33.144,86.0,74.708,68.0,5.708,24.0,21.429,20.1
2011-06-08,10.354,13.083,2.73,,32.979,95.0,76.958,51.0,6.333,27.1,22.362,19.0
2011-06-09,7.292,8.646,1.354,,24.125,93.0,75.5,57.0,8.083,27.4,23.5,20.1
2011-06-10,11.875,14.542,2.666,,38.834,99.0,84.125,70.0,6.542,26.4,23.712,21.6
2011-06-11,10.958,14.584,3.625,,23.688,99.0,89.042,72.0,6.042,25.5,22.896,21.1
2011-06-12,11.729,14.0,2.27,,31.938,96.0,75.417,51.0,7.458,26.9,22.625,17.5
2011-06-13,11.596,14.242,2.646,,19.958,99.0,73.125,53.0,6.583,28.5,23.338,17.7
2011-06-14,11.146,13.104,1.958,,22.834,84.0,55.458,37.0,7.417,29.8,25.217,21.3
2011-06-15,10.89,14.21,3.32,,22.297,88.0,65.167,33.0,7.0,28.0,23.062,19.9
2011-06-16,13.355,16.636,3.28,,26.875,99.0,91.667,76.0,4.333,23.1,20.054,18.6
2011-06-17,13.458,16.417,2.958,,20.354,99.0,88.792,76.0,4.875,24.1,21.479,18.5
2011-06-18,9.375,11.084,1.708,,22.708,99.0,94.0,83.0,3.625,23.3,21.638,20.6
2011-06-19,10.062,13.062,3.0,,42.208,99.0,93.083,81.0,5.0,24.4,22.333,20.6
2011-06-20,8.05,10.231,2.182,,19.104,99.0,97.333,90.0,3.083,24.4,22.679,21.5
2011-06-21,10.75,14.375,3.625,,20.708,99.0,82.208,66.0,5.75,30.1,25.804,21.8
2011-06-22,17.875,28.604,10.729,,33.979,97.0,74.917,57.0,8.125,32.5,27.967,22.3
2011-06-23,10.554,16.641,6.086,,33.334,94.0,74.75,50.0,6.75,35.7,29.308,24.9
2011-06-24,6.167,10.916,4.75,,25.458,91.0,69.208,43.0,7.0,36.5,30.338,24.9
2011-06-25,6.75,10.25,3.5,,25.062,90.0,69.958,50.0,6.875,36.1,30.762,25.8
2011-06-26,2.021,4.083,2.062,,21.666,99.0,83.083,64.0,4.458,31.6,28.088,25.6
2011-06-27,3.213,5.792,2.58,,22.229,99.0,87.292,68.0,4.125,32.1,28.05,25.2
2011-06-28,9.521,15.042,5.521,,25.73,99.0,72.0,48.0,7.083,36.4,30.746,25.6
2011-06-29,12.804,17.884,5.08,,26.17,76.0,55.583,35.0,9.143,38.5,33.129,27.8
2011-06-30,14.708,23.25,8.542,,37.354,78.0,61.375,43.0,11.333,37.7,32.071,27.3
2011-07-01,10.666,15.312,4.646,,24.5,91.0,70.458,58.0,9.0,32.0,29.025,25.6
2011-07-02,8.916,11.834,2.916,,22.938,92.0,72.792,47.0,7.417,34.4,29.442,24.9
2011-07-03,7.48,9.604,2.125,,38.48,93.0,76.667,52.0,7.75,33.9,29.604,26.4
2011-07-04,7.212,9.492,2.28,,40.776,97.0,76.292,50.0,7.875,36.3,29.683,24.1
2011-07-05,8.542,10.604,2.062,,21.979,99.0,67.292,37.0,7.75,35.2,28.746,23.8
2011-07-06,8.771,10.854,2.084,,25.396,99.0,71.0,45.0,7.208,33.4,27.271,23.1
2011-07-07,7.979,11.146,3.166,,16.5,99.0,99.0,99.0,3.75,25.2,24.521,23.7
2011-07-08,7.188,11.75,4.562,,23.396,99.0,82.125,59.0,4.333,34.5,28.929,24.2
2011-07-09,7.396,10.52,3.125,,24.458,94.0,76.958,57.0,5.542,35.4,30.454,26.9
2011-07-10,3.896,5.771,1.875,,15.584,94.0,77.042,54.0,5.042,35.6,29.658,26.2
2011-07-11,4.57,8.373,3.802,,10.625,91.0,74.125,55.0,5.5,33.8,29.833,26.1
2011-07-12,5.438,10.416,4.979,,9.584,92.0,76.583,58.0,5.125,33.3,29.138,25.9
2011-07-13,5.626,14.254,8.626,,14.096,92.0,74.792,53.0,4.818,33.2,29.108,25.3
2011-07-14,6.396,13.0,6.604,,10.646,93.0,70.792,42.0,5.75,35.0,29.117,24.9
2011-07-15,8.25,11.646,3.396,,21.604,89.0,72.208,44.0,6.417,36.1,29.483,25.1
2011-07-16,5.062,7.479,2.416,,16.896,93.0,73.083,52.0,5.333,34.5,29.996,26.4
2011-07-17,5.625,8.021,2.396,,18.312,87.0,73.917,56.0,4.875,34.5,29.783,25.7
2011-07-18,3.314,5.172,1.858,,22.396,88.0,76.792,65.0,3.667,32.9,29.762,27.5
2011-07-19,1.595,2.778,1.183,,27.479,99.0,94.125,83.0,2.917,28.6,26.683,25.3
2011-07-20,5.48,7.708,2.229,,14.02,99.0,93.375,75.0,3.417,30.4,26.604,24.9
2011-07-21,9.75,15.896,6.146,,20.042,99.0,84.792,68.0,6.0,31.5,26.738,21.2
2011-07-22,6.938,9.062,2.125,,21.542,99.0,83.083,64.0,5.125,26.7,23.075,19.9
2011-07-23,10.792,13.062,2.27,,31.854,91.0,72.5,46.0,7.042,34.6,27.638,22.8
2011-07-24,6.02,7.416,1.396,,37.77,94.0,80.167,62.0,5.417,31.2,27.471,24.8
2011-07-25,4.735,6.5,1.765,,24.99,96.0,81.542,59.0,4.958,31.8,27.696,24.5
2011-07-26,6.938,9.125,2.188,,19.542,95.0,84.125,67.0,4.542,30.5,27.108,24.8
2011-07-27,7.339,11.438,4.098,,17.33,99.0,83.042,61.0,4.409,32.7,28.288,25.6
2011-07-28,11.396,20.146,8.75,,20.438,92.0,69.042,47.0,6.792,35.2,30.146,26.2
2011-07-29,9.646,16.75,7.104,,19.188,80.0,63.708,48.0,7.25,34.7,29.925,26.2
2011-07-30,7.958,10.52,2.562,,25.438,84.0,66.25,43.0,6.708,36.4,30.146,26.7
2011-07-31,4.562,5.75,1.188,,19.312,87.0,75.542,58.0,4.875,32.4,27.767,25.2
2011-08-01,5.371,7.271,1.9,,19.084,81.0,65.583,50.0,6.0,32.7,28.321,25.3
2011-08-02,7.413,9.585,2.172,,28.092,99.0,81.792,66.0,5.333,30.3,26.154,22.0
2011-08-03,7.812,13.396,5.584,,24.688,95.0,76.708,56.0,7.125,32.1,28.196,24.0
2011-08-04,8.729,14.167,5.438,,19.188,90.0,70.208,51.0,6.792,33.7,29.667,24.8
2011-08-05,5.021,7.042,2.021,,13.0,93.0,74.958,60.0,4.583,33.3,29.271,27.0
2011-08-06,6.77,10.021,3.25,,18.542,97.0,77.917,57.0,5.625,34.8,30.162,26.5
2011-08-07,8.896,11.438,2.542,,24.708,86.0,70.0,47.0,6.708,36.3,31.162,27.5
2011-08-08,10.214,12.926,2.711,,28.562,91.0,73.167,48.0,7.375,36.4,30.804,27.0
2011-08-09,13.808,17.644,3.835,,42.121,88.0,72.625,54.0,8.409,35.9,31.321,27.7
2011-08-10,10.188,12.708,2.52,,43.354,90.0,69.792,41.0,7.833,38.2,32.112,27.6
2011-08-11,8.708,11.458,2.75,,22.916,78.0,57.5,45.0,7.75,37.0,32.654,29.5
2011-08-12,7.729,9.833,2.104,,29.375,73.0,56.958,37.0,7.667,37.9,32.408,27.4
2011-08-13,6.146,7.896,1.75,,27.229,84.0,62.708,42.0,7.167,37.5,32.054,27.8
2011-08-14,3.334,4.375,1.042,,43.042,87.0,73.958,53.0,6.667,36.0,30.988,27.7
2011-08-15,5.288,7.156,1.869,,35.938,88.0,73.792,56.0,7.958,34.8,30.625,27.5
2011-08-16,8.312,10.438,2.125,,29.312,92.0,76.083,52.0,6.667,35.3,29.829,26.5
2011-08-17,10.542,14.375,3.834,,41.166,95.0,75.625,54.0,6.042,35.3,30.692,26.1
2011-08-18,10.161,15.038,4.877,,35.798,92.0,67.583,48.0,7.667,36.7,32.408,27.7
2011-08-19,8.688,11.188,2.5,,21.916,86.0,71.25,53.0,6.625,34.3,29.921,26.7
2011-08-20,10.083,12.0,1.916,,15.105,99.0,92.292,80.0,4.125,26.8,24.383,22.2
2011-08-21,8.23,10.021,1.792,,23.625,99.0,96.208,86.0,3.542,26.4,24.35,23.1
2011-08-22,7.648,9.518,1.87,,22.562,99.0,83.083,59.0,5.333,31.4,26.967,23.0
2011-08-23,4.966,6.748,1.783,,35.724,94.0,82.875,63.0,4.045,32.7,28.538,25.4
2011-08-24,5.831,10.07,4.239,,14.771,96.0,79.75,57.0,3.083,33.2,28.65,25.2
2011-08-25,5.75,9.166,3.417,,11.146,99.0,91.292,76.0,2.958,28.9,26.654,25.5
2011-08-26,9.479,15.77,6.292,,17.438,97.0,80.5,56.0,4.167,34.1,28.908,25.6
2011-08-27,5.125,9.0,3.875,,19.208,96.0,82.333,67.0,3.5,31.3,28.125,25.7
2011-08-28,6.312,8.396,2.083,,30.042,95.0,77.583,60.0,5.25,31.7,28.208,25.4
2011-08-29,10.458,13.594,3.136,,29.938,88.0,72.458,52.0,6.833,33.5,28.833,25.0
2011-08-30,9.792,11.875,2.083,,34.958,87.0,69.75,54.0,7.708,33.7,29.846,26.6
2011-08-31,9.02,11.312,2.292,,20.125,80.0,65.625,52.0,5.5,34.1,30.138,27.4
2011-09-01,3.272,5.188,1.916,,16.109,81.0,69.375,59.0,4.458,33.5,30.3,27.9
2011-09-02,1.166,1.917,0.75,,30.604,94.0,79.125,61.0,3.625,31.2,28.662,26.9
2011-09-03,1.021,1.834,0.812,,47.938,98.0,84.417,78.0,2.917,29.6,28.233,26.6
2011-09-04,1.858,3.479,1.621,,28.626,99.0,93.917,85.0,2.591,27.5,25.796,24.4
2011-09-05,10.906,14.64,3.734,,11.812,99.0,85.917,65.0,3.917,28.6,25.229,23.4
2011-09-06,10.833,13.271,2.438,,12.5,76.0,55.417,33.0,6.042,30.6,25.479,21.7
2011-09-07,17.292,21.77,4.48,,17.334,82.0,58.333,32.0,6.042,32.6,25.096,18.0
2011-09-08,12.75,16.355,3.604,,22.084,85.0,72.042,49.0,4.792,31.3,25.871,20.0
2011-09-09,10.52,13.292,2.77,,23.396,91.0,74.0,55.0,4.667,33.2,28.012,24.9
2011-09-10,8.334,12.812,4.479,,21.438,92.0,77.0,56.0,4.542,33.2,28.946,25.4
2011-09-11,5.084,7.604,2.52,,16.25,94.0,76.833,57.0,4.208,32.4,28.512,25.2
2011-09-12,5.871,10.292,4.421,,13.479,91.0,72.5,51.0,5.042,33.4,28.892,24.4
2011-09-13,9.729,16.916,7.188,,24.021,92.0,75.708,55.0,5.333,33.4,28.646,25.4
2011-09-14,11.729,19.896,8.167,,19.854,90.0,74.542,49.0,4.958,33.8,28.433,24.5
2011-09-15,8.062,13.917,5.854,,14.062,90.0,72.833,52.0,4.958,33.4,28.454,24.1
2011-09-16,5.627,11.164,5.538,,16.666,97.0,77.125,55.0,3.958,33.1,27.929,24.8
2011-09-17,2.5,4.584,2.084,,20.146,97.0,84.958,70.0,2.083,31.7,28.571,26.4
2011-09-18,3.854,6.27,2.416,,17.479,95.0,78.208,55.0,2.75,33.0,28.654,25.5
2011-09-19,8.946,16.606,7.661,,23.632,99.0,79.792,53.0,3.15,33.8,28.371,24.4
2011-09-20,5.916,9.562,3.646,,23.562,99.0,95.208,87.0,1.833,28.4,26.375,24.4
