date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean,CH4_mean,CO_mean,NMHC_mean,THC_mean
2011-06-03,19.0486,30.492200000000004,11.4436,8.099125,,,185.391,3.875,14.087,199.478
2011-06-04,14.2728,20.6552,6.3822,9.864625,,,187.167,2.708,15.833,203.0
2011-06-05,14.383199999999999,18.2584,3.875,9.890625,,,,3.583,,
2011-06-06,16.7952,23.5214,6.726000000000001,8.563,,,,4.167,,
2011-06-07,19.715,31.0942,11.3794,7.2305,,,,3.609,,
2011-06-08,16.55,22.0332,5.4832,6.614375,,,,3.208,,
2011-06-09,26.680400000000002,35.6666,8.9864,11.838625,,,,3.875,,
2011-06-10,21.4332,30.8084,9.375,8.213625,,,,2.833,,
2011-06-11,18.2298,23.834,5.6046,6.21875,,,,3.667,,
2011-06-12,14.9084,19.4,4.4918,6.437625,,,,3.5,,
2011-06-13,9.9648,12.706,2.7414,5.44275,,,,3.958,,
2011-06-14,13.55,16.2334,2.6834,7.281125,,,187.125,4.043,17.0,204.125
2011-06-15,25.15,33.8,8.6498,10.447875,,,187.333,4.042,13.333,200.667
2011-06-16,18.7668,24.817,6.05,4.71375,,,185.833,3.708,10.75,196.583
2011-06-17,11.6834,15.708400000000001,4.025,5.004125,,,183.708,3.167,10.125,193.833
2011-06-18,19.1404,24.372,5.2318,5.17725,,,186.174,4.375,13.391,199.565
2011-06-19,17.425,23.8916,6.4666,7.176875,,,185.583,3.833,12.5,198.083
2011-06-20,15.475799999999998,23.409,7.933199999999999,4.995375,,,181.875,2.542,10.5,192.375
2011-06-21,12.9084,18.9418,6.0334,7.380125,,,179.833,1.609,10.167,190.0
2011-06-22,24.458199999999998,42.7502,18.291800000000002,13.375,,,179.565,3.0,13.913,193.478
2011-06-23,18.166800000000002,35.725,17.5584,11.75,,,178.333,1.292,11.792,190.125
2011-06-24,14.598400000000002,27.6586,13.060599999999999,10.43475,,,177.708,1.5,9.958,187.667
2011-06-25,16.3822,31.4488,15.0666,9.650875,,,177.667,2.167,11.083,188.75
2011-06-26,6.7082,11.3332,4.625,4.947875,,,175.609,1.375,7.87,183.478
2011-06-27,11.2002,18.2786,7.078399999999999,5.56775,,,177.125,1.792,9.667,186.792
2011-06-28,18.55,36.6084,18.0584,10.10425,,,180.167,2.739,13.333,193.5
2011-06-29,15.8,31.125,15.325,11.36975,,,180.75,2.125,11.458,192.208
2011-06-30,13.9832,23.775,9.791599999999999,9.828125,,,180.609,1.292,9.13,189.739
2011-07-01,17.5,29.6,12.1,7.3385,,,180.25,2.375,11.292,191.542
2011-07-02,19.123399999999997,25.325200000000002,6.2018,8.0,,,189.25,4.708,17.125,206.375
2011-07-03,18.541800000000002,24.7334,6.191599999999999,8.296875,,,186.917,2.625,11.125,198.042
2011-07-04,17.1374,26.0774,8.939800000000002,8.1755,,,184.696,3.292,11.652,196.348
2011-07-05,10.0862,11.4968,1.4107999999999998,8.03275,,,188.917,2.826,10.042,198.958
2011-07-06,19.1502,24.833199999999998,5.683400000000001,6.791625,,,193.875,3.833,12.458,206.333
2011-07-07,20.9668,35.7332,14.7668,6.176875,,,185.583,2.375,11.208,196.792
2011-07-08,13.9832,23.1916,9.2082,5.32825,,,187.522,2.458,11.826,199.348
2011-07-09,11.0308,17.883,6.852200000000001,5.916625,,,180.167,1.625,9.0,189.167
2011-07-10,11.9418,19.2836,7.3416,7.49475,,,185.292,2.0,11.042,196.333
2011-07-11,12.225,22.956799999999998,10.7318,5.781375,,,188.875,2.125,9.833,198.708
2011-07-12,11.325199999999999,29.8834,18.5582,5.724,,,188.652,2.478,10.478,199.13
2011-07-13,10.008199999999999,16.6082,6.6,5.489625,,,187.167,2.0,9.083,196.25
2011-07-14,14.558600000000002,24.1666,9.6082,6.8385,,,190.792,2.0,10.208,201.0
2011-07-15,17.1918,24.0166,6.825,8.333375,,,198.875,2.333,13.083,211.958
2011-07-16,12.977,17.6038,4.6266,6.927125,,,199.652,2.625,13.0,212.652
2011-07-17,8.6916,13.291599999999999,4.6,6.4845,,,191.792,1.458,8.292,200.083
2011-07-18,5.744400000000001,9.1128,3.3686,4.08325,,,174.167,1.375,7.833,182.0
2011-07-19,4.3328,7.8468,3.5138,2.506125,,,174.154,1.19,6.154,180.308
2011-07-20,4.6332,9.975200000000001,5.3416,2.8385,,,177.917,2.417,9.583,187.5
2011-07-21,8.416599999999999,11.8332,3.4168,4.499875,,,182.75,2.458,11.375,194.125
2011-07-22,13.6918,19.8584,6.1666,5.25,,,196.542,2.833,9.083,205.625
2011-07-23,12.336400000000001,15.554599999999999,3.2184,6.3905,,,203.5,2.792,11.708,215.208
