date,SO2_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean
2012-02-26,3.696,24.913,28.957,45.739,16.783
2012-02-27,4.042,42.416,38.292,74.167,35.875
2012-02-28,6.0,33.542,48.167,103.125,54.958
2012-02-29,,,,,
2012-03-01,4.478,33.39,46.042,110.125,64.083
2012-03-02,3.667,21.563,9.292,16.167,6.875
2012-03-03,2.958,12.879,13.375,19.542,6.167
2012-03-04,4.211,19.036,40.143,96.048,55.905
2012-03-05,6.833,44.021,40.208,72.417,32.208
2012-03-06,6.792,42.646,46.583,94.25,47.667
2012-03-07,7.417,40.208,45.75,78.625,32.875
2012-03-08,8.542,54.958,43.708,84.208,40.5
2012-03-09,11.625,73.188,55.792,92.583,36.792
2012-03-10,6.625,47.166,28.208,40.667,12.458
2012-03-11,4.75,10.848,19.905,37.905,18.0
2012-03-12,7.391,25.824,45.375,78.125,32.75
2012-03-13,4.667,29.25,41.958,71.25,29.292
2012-03-14,5.208,11.292,11.667,17.333,5.667
2012-03-15,5.583,21.604,49.417,96.0,46.583
2012-03-16,7.167,31.292,40.875,97.792,56.917
2012-03-17,7.083,53.208,30.333,38.083,7.75
2012-03-18,2.875,53.75,39.542,84.167,44.625
2012-03-19,6.125,39.417,37.667,60.167,22.5
2012-03-20,4.5,49.875,35.292,49.625,14.333
2012-03-21,3.714,8.988,13.833,20.917,7.083
2012-03-22,5.792,17.771,37.043,56.261,19.217
2012-03-23,6.0,25.666,22.375,35.542,13.167
2012-03-24,5.417,25.646,19.208,25.292,6.083
2012-03-25,5.348,22.804,15.391,21.043,5.652
2012-03-26,3.625,14.438,23.667,35.583,11.917
2012-03-27,3.417,19.125,29.542,42.375,12.833
2012-03-28,2.375,32.938,29.75,45.417,15.667
2012-03-29,4.958,45.666,38.583,89.833,51.25
2012-03-30,3.875,13.792,15.042,20.792,5.75
2012-03-31,5.417,24.146,20.542,29.25,8.708
2012-04-01,2.917,15.854,21.042,35.667,14.625
2012-04-02,4.208,25.979,43.917,84.875,40.958
2012-04-03,1.917,26.104,35.042,61.167,26.125
2012-04-04,3.542,18.604,24.875,39.583,14.708
2012-04-05,5.208,31.021,24.333,37.083,12.75
2012-04-06,2.375,16.062,30.875,53.792,22.917
2012-04-07,2.958,14.312,17.458,27.833,10.375
2012-04-08,4.5,22.917,36.083,59.792,23.708
2012-04-09,7.292,45.417,46.125,73.375,27.25
2012-04-10,7.957,67.044,51.348,78.174,26.826
2012-04-11,3.5,41.875,46.25,81.042,34.792
2012-04-12,6.833,26.334,34.083,48.417,14.333
2012-04-13,5.833,38.188,33.125,59.583,26.458
2012-04-14,3.625,18.208,15.375,20.792,5.417
2012-04-15,3.625,16.854,26.333,38.917,12.583
2012-04-16,3.542,17.729,34.542,54.958,20.417
2012-04-17,3.625,23.5,23.75,35.917,12.167
2012-04-18,5.042,23.604,30.417,41.333,10.917
2012-04-19,5.208,20.083,29.609,40.652,11.043
2012-04-20,2.625,24.458,27.75,43.375,15.625
2012-04-21,2.208,10.896,18.625,29.625,11.0
2012-04-22,1.833,7.188,11.0,16.333,5.333
2012-04-23,3.917,20.438,32.333,53.167,20.833
2012-04-24,7.565,58.454,45.409,70.909,25.5
2012-04-25,7.708,71.062,45.125,63.792,18.667
2012-04-26,2.708,29.688,29.042,41.792,12.75
2012-04-27,4.083,8.771,22.833,32.083,9.25
2012-04-28,6.167,20.458,36.792,52.208,15.417
2012-04-29,6.208,29.666,26.375,35.917,9.542
2012-04-30,4.25,26.916,16.833,24.625,7.792
2012-05-01,2.042,14.73,14.708,24.333,9.625
2012-05-02,1.875,6.979,11.25,17.458,6.208
2012-05-03,2.583,9.896,16.875,24.208,7.333
2012-05-04,2.458,8.833,13.0,19.583,6.583
2012-05-05,4.333,19.166,23.542,35.958,12.417
2012-05-06,5.292,35.396,23.792,32.375,8.583
2012-05-07,5.75,34.562,37.125,52.875,15.75
2012-05-08,7.333,53.062,41.125,56.083,14.958
2012-05-09,7.458,68.542,43.667,67.75,24.083
2012-05-10,4.087,27.5,15.913,21.261,5.348
2012-05-11,2.75,6.292,10.875,17.875,7.0
2012-05-12,2.583,8.604,10.667,17.042,6.375
2012-05-13,6.0,13.604,24.417,35.75,11.333
2012-05-14,5.792,25.458,34.708,50.333,15.625
2012-05-15,2.583,17.25,32.042,49.5,17.458
2012-05-16,7.583,41.75,41.917,71.292,29.375
2012-05-17,8.75,48.625,42.792,60.833,18.042
2012-05-18,5.125,29.0,26.917,36.583,9.667
2012-05-19,5.792,22.375,30.333,40.083,9.75
2012-05-20,4.833,25.792,19.458,25.667,6.208
2012-05-21,3.435,22.392,22.913,32.478,9.565
2012-05-22,4.375,25.5,34.958,50.667,15.708
2012-05-23,5.0,28.958,35.5,57.958,22.458
2012-05-24,8.375,34.75,50.292,72.042,21.75
2012-05-25,10.125,53.042,54.875,90.25,35.375
2012-05-26,7.375,41.27,36.625,52.458,15.833
2012-05-27,7.792,35.73,26.458,34.458,8.0
