date,SPM_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min
2011-05-22,26.6875,99.0,86.583,61.0,5.896,7.271,1.375,,0.333,230.0,160.208,129.0
2011-05-23,15.2395,100.0,80.708,42.0,7.333,9.9585,2.625,,0.3335,175.0,131.208,105.0
2011-05-24,14.16675,100.0,81.792,51.0,7.6875,10.4375,2.75,,0.0415,178.0,131.458,96.0
2011-05-25,25.01025,100.0,71.167,45.0,9.0245,11.111999999999998,2.0875,,0.771,219.0,160.917,102.0
2011-05-26,27.75,97.0,77.208,65.0,8.2085,9.917,1.7085,,0.5515,178.0,149.125,108.0
2011-05-27,22.552,100.0,83.333,63.0,8.972,11.710999999999999,2.739,,0.2915,170.0,151.208,135.0
2011-05-28,21.221,100.0,96.375,86.0,7.208,9.396,2.1875,,0.1665,181.0,161.292,137.0
2011-05-29,11.281500000000001,100.0,100.0,100.0,3.9165,5.521,1.604,,0.021,176.0,160.042,141.0
2011-05-30,13.875250000000001,100.0,77.667,56.0,3.208,4.271,1.0625,,0.2705,202.0,158.458,138.0
2011-05-31,20.7425,80.0,65.25,52.0,6.5205,8.146,1.625,,0.271,173.0,139.875,99.0
2011-06-01,34.129999999999995,97.0,87.75,74.0,8.6725,14.0445,5.372,,0.375,114.0,97.625,78.0
2011-06-02,29.02075,100.0,98.583,89.0,12.8335,20.75,7.9165,,0.159,135.0,121.917,99.0
2011-06-03,21.41675,100.0,76.958,58.0,9.693,12.2335,2.541,,0.521,224.0,178.125,109.0
2011-06-04,29.78725,91.0,69.818,40.0,9.1085,10.3,1.1915,,1.0594999999999999,250.0,189.591,130.0
2011-06-05,42.579,100.0,84.5,53.0,6.4785,7.2395000000000005,0.761,,0.489,238.0,181.333,143.0
2011-06-06,26.7605,100.0,65.625,28.0,7.5625,9.3545,1.7915,,0.667,256.0,197.458,138.0
2011-06-07,35.59375,90.0,71.125,38.0,10.75,12.457999999999998,1.7085,,2.0,247.0,190.083,144.0
2011-06-08,18.34375,91.0,75.125,58.0,8.4125,10.144,1.7315,,0.9375,212.0,171.833,132.0
2011-06-09,24.67725,96.0,85.625,76.0,9.8335,12.7085,2.875,,0.5874999999999999,210.0,176.542,144.0
2011-06-10,43.031,95.0,83.958,69.0,10.843,12.8615,2.0185,,0.6455,220.0,191.25,157.0
2011-06-11,33.042,100.0,87.458,61.0,5.896,7.4165,1.521,,0.3125,240.0,195.125,166.0
2011-06-12,21.8855,97.0,72.75,50.0,4.8335,5.9585,1.125,,0.3545,240.0,202.792,165.0
2011-06-13,21.323,100.0,88.208,71.0,7.2915,9.729,2.4375,,0.396,231.0,196.083,169.0
2011-06-14,17.7605,100.0,82.667,55.0,7.5625,10.229500000000002,2.6665,,0.521,221.0,184.25,157.0
2011-06-15,16.45825,96.0,72.542,57.0,9.511,12.746500000000001,3.2355,,0.729,206.0,170.625,135.0
2011-06-16,21.73875,100.0,83.75,64.0,8.7725,11.591000000000001,2.8185000000000002,,0.6174999999999999,217.0,179.583,136.0
2011-06-17,13.07675,100.0,97.5,87.0,8.146,10.2915,2.146,,0.0455,189.0,168.125,154.0
2011-06-18,15.146,100.0,100.0,100.0,8.25,10.646,2.396,,0.271,172.0,161.417,146.0
2011-06-19,17.26025,100.0,82.5,53.0,4.5625,6.104,1.5415,,0.479,240.0,191.125,142.0
2011-06-20,30.34375,97.0,81.417,60.0,8.4165,11.0625,2.646,,0.6875,267.0,217.583,164.0
2011-06-21,24.95825,100.0,90.583,64.0,7.8125,11.375,3.5625,,1.0,278.0,215.125,181.0
2011-06-22,27.198,100.0,68.375,35.0,8.152000000000001,10.0905,1.9380000000000002,,0.5625,316.0,248.292,172.0
2011-06-23,28.125,89.0,79.0,59.0,8.4,11.761,3.3605,,0.6829999999999999,296.0,248.667,215.0
2011-06-24,18.03125,91.0,60.083,28.0,5.125,8.6045,3.479,,0.729,352.0,274.792,208.0
2011-06-25,13.52075,100.0,95.0,72.0,7.146,9.7085,2.5625,,0.4585,240.0,205.208,173.0
2011-06-26,12.84375,100.0,100.0,100.0,5.875,7.8955,2.021,,0.125,191.0,180.875,165.0
2011-06-27,23.479,100.0,98.292,92.0,7.5625,12.229,4.6665,,0.0,209.0,196.792,183.0
2011-06-28,26.0625,100.0,85.583,61.0,6.729,11.9165,5.1875,,0.4375,295.0,245.75,194.0
2011-06-29,23.13525,100.0,82.25,56.0,6.2725,9.4265,3.154,,0.4375,307.0,261.125,225.0
2011-06-30,23.625,93.0,79.208,54.0,7.1205,9.701,2.581,,0.706,306.0,249.583,218.0
2011-07-01,22.89925,100.0,75.875,47.0,6.9285,9.524000000000001,2.595,,0.494,315.0,252.375,215.0
2011-07-02,23.27075,100.0,81.333,54.0,5.1875,7.208,2.021,,1.0625,291.0,245.375,210.0
2011-07-03,21.2605,97.0,87.917,78.0,4.1665,6.25,2.0835,,0.375,266.0,240.375,215.0
2011-07-04,39.0625,100.0,81.667,40.0,7.854,10.417,2.5625,,0.9375,327.0,257.083,221.0
2011-07-05,14.344750000000001,98.0,80.667,59.0,6.0205,8.979,2.9585,,0.767,285.0,240.0,207.0
2011-07-06,17.6565,80.0,62.542,47.0,7.885,9.8035,1.9185,,1.146,301.0,243.792,195.0
2011-07-07,32.35425,93.0,80.167,62.0,9.77,11.7255,1.956,,1.2745,260.0,235.875,205.0
2011-07-08,31.656,100.0,87.875,70.0,9.1455,13.1875,4.0415,,0.875,283.0,249.708,220.0
2011-07-09,20.985,98.0,78.5,45.0,5.587,7.609,2.022,,0.673,331.0,262.542,221.0
2011-07-10,16.10425,94.0,77.792,47.0,3.958,5.4375,1.479,,0.45799999999999996,336.0,254.583,212.0
2011-07-11,22.729,91.0,69.0,41.0,7.354,9.396,2.0415,,1.104,329.0,271.167,220.0
2011-07-12,24.1665,89.0,72.583,52.0,8.646,11.271,2.625,,1.3335,321.0,261.5,210.0
2011-07-13,29.4165,94.0,78.542,55.0,9.021,11.529499999999999,2.509,,1.271,315.0,262.917,213.0
2011-07-14,29.35425,96.0,80.042,57.0,8.8125,11.0225,2.21,,0.835,320.0,263.125,223.0
2011-07-15,28.7295,98.0,79.542,50.0,7.4975000000000005,9.6955,2.1975,,0.7915,338.0,264.5,224.0
2011-07-16,33.30875,99.0,82.0,56.0,6.9375,9.5,2.5625,,1.479,324.0,260.625,216.0
2011-07-17,34.594,95.0,71.792,41.0,7.1875,9.8955,2.7085,,2.479,334.0,270.458,204.0
2011-07-18,25.84375,93.0,78.75,41.0,5.3125,8.042,2.729,,1.3125,337.0,262.083,221.0
2011-07-19,11.77075,100.0,98.125,89.0,6.042,12.625,6.5835,,0.1875,233.0,225.458,220.0
2011-07-20,11.686499999999999,100.0,96.208,83.0,4.791,8.3235,3.5324999999999998,,0.4585,240.0,218.125,188.0
2011-07-21,14.47925,88.0,71.0,50.0,3.585,4.865,1.28,,0.3695,216.0,187.667,159.0
2011-07-22,16.5105,86.0,71.417,54.0,5.354,7.3125,1.9585,,0.9375,222.0,182.708,149.0
2011-07-23,13.35425,93.0,78.083,60.0,4.5625,6.5,1.9375,,0.479,265.0,207.375,153.0
2011-07-24,17.3335,96.0,82.0,67.0,5.125,7.0,1.875,,0.9795,254.0,226.458,182.0
2011-07-25,28.95825,100.0,79.75,54.0,8.854,11.0835,2.229,,1.2085,300.0,243.667,208.0
