date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean,SO2_mean
2011-06-21,190.182,17.545,15.13,21.087,5.956,18.521,207.727,0.652
2011-06-22,197.217,19.826,15.958,20.75,4.792,35.375,217.043,1.167
2011-06-23,187.957,16.391,13.146,18.042,4.896,34.292,204.348,1.25
2011-06-24,182.696,12.087,11.062,16.562,5.5,26.938,194.783,1.0
2011-06-25,182.522,12.304,8.5,12.604,4.104,30.188,194.826,0.583
2011-06-26,177.565,5.609,3.584,5.23,1.646,20.896,183.174,0.0
2011-06-27,176.957,7.13,6.212,10.026,3.813,20.5,184.087,0.391
2011-06-28,182.348,13.304,10.834,15.292,4.458,30.583,195.652,0.708
2011-06-29,189.217,18.0,9.584,13.229,3.646,25.604,207.217,0.5
2011-06-30,203.609,16.391,13.058,21.142,8.084,35.625,220.0,1.217
2011-07-01,189.478,12.957,12.938,18.938,6.0,26.646,202.435,0.958
2011-07-02,194.13,11.696,10.146,13.938,3.792,23.042,205.826,0.667
2011-07-03,189.391,12.826,8.583,10.021,1.438,36.292,202.217,0.667
2011-07-04,183.273,11.318,11.014,14.173,3.159,44.396,194.591,0.652
2011-07-05,190.13,9.696,10.77,12.771,2.0,22.104,199.826,0.708
2011-07-06,196.0,12.522,12.75,15.645,2.896,31.792,208.522,0.625
2011-07-07,180.565,11.348,10.152,15.761,5.608,17.881,191.913,0.0
2011-07-08,186.478,12.783,10.166,15.792,5.625,24.584,199.261,0.5
2011-07-09,194.696,14.696,11.25,18.104,6.854,26.688,209.391,0.708
2011-07-10,179.304,10.261,6.0,7.958,1.958,18.312,189.565,0.292
2011-07-11,190.348,9.609,7.413,11.8,4.388,14.667,199.957,0.304
2011-07-12,183.435,10.304,7.896,12.646,4.75,13.375,193.739,0.583
2011-07-13,180.609,10.043,8.375,12.625,4.25,15.396,190.652,0.5
2011-07-14,179.565,9.043,7.812,10.958,3.146,13.312,188.609,0.5
2011-07-15,184.304,12.087,11.917,15.25,3.333,22.0,196.391,1.708
2011-07-16,180.565,9.391,9.854,12.396,2.542,23.042,189.957,0.917
2011-07-17,181.087,9.304,6.73,8.438,1.708,18.166,190.391,0.333
2011-07-18,180.957,9.217,4.952,8.95,3.998,17.438,190.174,0.0
2011-07-19,173.87,5.913,4.208,7.792,3.583,18.229,179.783,0.0
2011-07-20,178.391,8.652,7.334,10.229,2.896,12.75,187.043,0.125
2011-07-21,195.364,13.591,11.913,16.5,4.587,21.0,208.955,0.826
2011-07-22,185.609,10.0,13.708,17.0,3.292,28.812,195.609,0.792
2011-07-23,190.087,11.087,11.792,13.938,2.146,30.896,201.174,1.375
2011-07-24,191.217,11.609,8.646,9.834,1.188,35.042,202.826,0.625
2011-07-25,185.043,15.696,13.86,19.167,5.307,24.48,200.739,0.087
2011-07-26,184.304,11.348,10.166,16.166,6.0,19.667,195.652,0.083
2011-07-27,187.609,12.783,10.854,17.666,6.812,18.604,200.391,0.292
2011-07-28,195.391,13.652,9.55,17.299,7.75,23.979,209.043,0.304
2011-07-29,184.739,11.261,8.77,16.479,7.708,23.604,196.0,0.333
2011-07-30,183.609,12.13,11.062,14.104,3.042,25.25,195.739,0.458
2011-07-31,187.043,8.391,7.021,8.125,1.104,20.042,195.435,0.292
2011-08-01,190.304,11.957,11.588,14.778,3.19,25.27,202.261,0.435
2011-08-02,189.478,16.261,16.834,21.666,4.834,32.292,205.739,0.208
2011-08-03,188.348,13.609,10.834,17.312,6.479,29.334,201.957,2.167
2011-08-04,191.043,13.217,14.062,19.916,5.854,26.729,204.261,1.625
2011-08-05,181.174,10.391,9.413,13.239,3.826,18.653,191.565,0.174
2011-08-06,178.348,10.261,10.042,13.25,3.208,23.354,188.609,0.75
2011-08-07,182.174,11.522,8.208,9.396,1.188,19.812,193.696,0.917
2011-08-08,185.913,15.261,15.972,20.042,4.072,32.334,201.174,1.391
2011-08-09,188.783,20.217,15.855,21.479,5.625,37.167,209.0,1.333
2011-08-10,189.565,18.478,15.855,18.729,2.875,47.167,208.043,1.417
2011-08-11,181.304,8.565,8.875,10.542,1.666,28.125,189.87,0.583
2011-08-12,183.652,12.304,9.542,11.208,1.666,28.729,195.957,0.792
2011-08-13,184.304,10.652,9.208,10.77,1.562,27.042,194.957,0.75
2011-08-14,188.652,8.826,5.542,6.438,0.896,35.77,197.478,0.583
2011-08-15,183.957,9.304,6.448,7.985,1.538,34.917,193.261,0.739
2011-08-16,189.87,13.739,9.354,11.625,2.271,33.458,203.609,0.375
2011-08-17,196.261,13.913,12.104,15.229,3.125,38.312,210.174,0.875
2011-08-18,193.391,12.478,11.375,14.708,3.334,38.312,205.87,1.25
2011-08-19,188.913,12.913,11.414,14.022,2.609,32.938,201.826,1.087
2011-08-20,188.652,9.826,11.604,15.062,3.458,15.417,198.478,0.042
2011-08-21,193.609,17.043,12.02,14.458,2.438,22.542,210.652,0.0
2011-08-22,187.217,11.609,11.587,13.794,2.208,19.021,198.826,0.391
2011-08-23,180.0,9.478,9.729,12.104,2.375,35.792,189.478,0.667
2011-08-24,179.261,9.174,8.604,13.688,5.084,19.542,188.435,0.167
2011-08-25,179.955,27.682,8.666,15.708,7.042,12.083,207.636,0.042
2011-08-26,186.304,14.13,12.375,19.812,7.438,16.208,200.435,1.167
2011-08-27,184.174,10.565,7.416,10.812,3.396,21.5,194.739,0.5
2011-08-28,190.478,12.957,8.396,9.625,1.23,29.854,203.435,0.708
2011-08-29,195.238,16.048,12.614,16.036,3.422,32.333,211.286,1.182
2011-08-30,189.696,16.957,14.688,17.562,2.875,34.979,206.652,1.75
2011-08-31,184.609,14.565,13.729,18.771,5.042,23.48,199.174,0.625
