date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean,PM25_mean
2012-02-24,1.833,2.188,0.354,8.192,0.722,
2012-02-25,5.792,7.0,1.208,4.917,0.847,
2012-02-26,6.995,7.44,0.446,11.199,1.792,
2012-02-27,10.33,11.982,1.652,20.333,1.704,
2012-02-28,7.777,9.366,1.59,17.944,1.847,
2012-02-29,,,,,,
2012-03-01,7.0,7.584,0.584,14.717,1.73,
2012-03-02,2.956,3.456,0.5,22.316,1.264,
2012-03-03,3.375,3.73,0.354,9.091,0.764,
2012-03-04,5.354,6.104,0.75,8.333,1.139,
2012-03-05,6.028,6.861,0.833,11.551,1.153,
2012-03-06,7.71,8.926,1.216,18.95,1.716,
2012-03-07,9.394,10.724,1.33,28.633,4.097,
2012-03-08,6.685,7.13,0.446,42.633,5.088,
2012-03-09,5.761,6.109,0.348,45.817,3.931,
2012-03-10,2.854,3.167,0.312,27.517,3.347,
2012-03-11,6.104,7.979,1.875,8.733,1.042,
2012-03-12,8.806,10.146,1.34,8.189,2.333,
2012-03-13,3.667,3.75,0.083,13.656,1.839,
2012-03-14,2.833,2.958,0.125,9.823,0.695,
2012-03-15,4.375,5.125,0.75,8.323,1.3,
2012-03-16,4.478,5.13,0.652,25.135,2.097,
2012-03-17,3.292,3.375,0.083,27.334,2.43,
2012-03-18,3.231,3.542,0.31,24.192,1.403,
2012-03-19,5.45,6.202,0.752,25.892,1.458,
2012-03-20,5.792,7.354,1.562,27.667,2.117,
2012-03-21,2.833,3.375,0.542,7.3,0.736,
2012-03-22,6.48,7.625,1.146,6.8,1.427,
2012-03-23,3.691,4.11,0.418,15.617,1.167,
2012-03-24,3.5,3.792,0.292,15.45,1.625,
2012-03-25,4.208,4.708,0.5,15.733,1.042,
2012-03-26,4.985,6.044,1.06,8.891,0.903,
2012-03-27,9.771,12.562,2.792,11.675,1.935,
2012-03-28,8.375,9.604,1.23,10.292,1.375,
2012-03-29,6.166,7.479,1.312,17.183,1.09,
2012-03-30,3.638,4.162,0.524,14.25,1.07,
2012-03-31,3.938,4.354,0.417,14.667,1.222,
2012-04-01,3.604,3.875,0.271,10.65,1.083,
2012-04-02,6.322,7.08,0.758,16.317,1.944,
2012-04-03,3.604,3.875,0.271,12.083,1.365,
2012-04-04,3.917,4.167,0.25,14.967,1.528,
2012-04-05,6.347,6.894,0.547,22.609,2.555,
2012-04-06,3.98,4.438,0.458,10.808,1.159,
2012-04-07,3.042,3.5,0.458,8.25,0.75,
2012-04-08,3.542,3.666,0.125,17.117,2.291,
2012-04-09,10.506,12.454,1.949,33.033,3.069,
2012-04-10,5.27,5.833,0.562,29.516,3.293,
2012-04-11,8.104,8.708,0.604,16.0,1.819,
2012-04-12,3.594,4.011,0.416,16.995,1.639,
2012-04-13,6.104,6.666,0.562,22.458,1.76,
2012-04-14,3.938,4.333,0.396,18.125,0.972,
2012-04-15,4.146,4.521,0.375,14.417,1.222,
