date,NO2_mean,NOX_mean,NO_mean,PM25_mean
2012-03-05,16.542,21.0,4.458,19.25
2012-03-06,29.091,44.682,15.591,25.0
2012-03-07,44.292,59.958,15.667,41.083
2012-03-08,45.208,65.25,20.042,40.375
2012-03-09,23.292,25.792,2.5,48.042
2012-03-10,18.333,19.542,1.208,29.0
2012-03-11,11.304,14.13,2.826,9.583
2012-03-12,32.875,44.333,11.458,15.375
2012-03-13,31.478,46.087,14.609,22.429
2012-03-14,7.5,9.125,1.625,11.625
2012-03-15,30.708,40.917,10.208,17.833
2012-03-16,21.083,30.875,9.792,30.417
2012-03-17,12.292,13.0,0.708,34.958
2012-03-18,20.696,23.217,2.522,36.417
2012-03-19,18.458,22.208,3.75,21.25
2012-03-20,29.042,37.625,8.583,30.292
2012-03-21,7.909,9.727,1.818,7.136
2012-03-22,30.262,37.587,7.326,15.292
2012-03-23,8.73,9.188,0.458,17.375
2012-03-24,16.562,18.354,1.792,23.25
2012-03-25,8.739,10.196,1.456,16.625
2012-03-26,13.63,16.02,2.39,14.0
2012-03-27,33.188,42.236,9.049,20.217
2012-03-28,22.6,27.324,4.724,14.417
2012-03-29,16.75,24.021,7.271,19.125
2012-03-30,10.375,11.542,1.167,16.25
2012-03-31,15.792,17.916,2.125,20.208
2012-04-01,9.104,10.146,1.042,11.875
2012-04-02,23.674,29.152,5.478,15.125
2012-04-03,15.146,16.25,1.104,13.75
2012-04-04,12.688,14.362,1.674,9.7
2012-04-05,28.176,47.848,19.672,24.708
2012-04-06,15.312,17.896,2.584,14.667
2012-04-07,8.688,9.479,0.792,12.417
2012-04-08,12.875,13.5,0.625,14.75
2012-04-09,23.152,29.109,5.956,26.125
2012-04-10,28.354,34.23,5.875,33.75
2012-04-11,27.112,31.824,4.712,12.2
2012-04-12,17.521,19.083,1.562,15.083
2012-04-13,27.417,32.48,5.062,20.958
2012-04-14,12.375,13.771,1.396,14.042
2012-04-15,13.708,15.667,1.958,12.958
2012-04-16,24.87,27.152,2.283,17.958
2012-04-17,23.084,32.625,9.542,25.542
2012-04-18,21.11,23.946,2.836,25.81
2012-04-19,26.334,32.858,6.525,23.25
2012-04-20,27.479,32.583,5.104,19.583
2012-04-21,15.896,17.979,2.084,15.292
2012-04-22,8.208,8.438,0.229,8.542
2012-04-23,24.37,31.5,7.131,8.875
2012-04-24,15.208,17.396,2.188,55.333
2012-04-25,26.815,32.458,5.644,53.25
2012-04-26,18.938,19.604,0.666,26.042
2012-04-27,11.688,13.605,1.917,8.042
2012-04-28,20.562,23.604,3.042,15.542
2012-04-29,15.833,17.083,1.25,21.875
2012-04-30,10.935,11.522,0.587,15.583
2012-05-01,12.75,15.916,3.166,11.667
2012-05-02,19.208,24.042,4.834,9.087
2012-05-03,9.25,11.458,2.208,5.5
2012-05-04,2.75,3.042,0.292,1.417
2012-05-05,7.0,7.334,0.334,16.542
2012-05-06,12.042,12.854,0.812,27.708
2012-05-07,24.935,30.261,5.326,22.667
2012-05-08,29.354,34.146,4.792,32.583
2012-05-09,52.589,68.953,16.364,57.957
2012-05-10,9.458,10.5,1.042,26.042
2012-05-11,5.23,6.27,1.042,3.458
2012-05-12,4.125,4.77,0.646,6.208
2012-05-13,10.208,10.812,0.604,11.333
2012-05-14,22.935,28.804,5.87,18.333
2012-05-15,24.479,26.604,2.125,8.417
2012-05-16,13.146,14.042,0.896,29.636
2012-05-17,37.198,44.348,7.15,47.208
2012-05-18,8.938,9.833,0.896,22.708
2012-05-19,16.417,18.042,1.625,21.5
2012-05-20,13.125,13.98,0.854,21.375
2012-05-21,23.456,29.37,5.913,20.625
2012-05-22,34.188,41.0,6.812,24.25
2012-05-23,15.53,18.211,2.682,18.304
2012-05-24,31.729,36.292,4.562,25.542
2012-05-25,30.708,37.062,6.354,33.125
2012-05-26,13.896,15.229,1.334,21.292
2012-05-27,13.312,14.354,1.042,23.0
2012-05-28,21.892,25.348,3.456,18.75
2012-05-29,23.708,28.292,4.584,33.208
2012-05-30,18.563,20.612,2.048,18.042
2012-05-31,22.558,27.516,4.958,22.958
2012-06-01,19.5,22.688,3.188,22.292
2012-06-02,13.854,15.166,1.312,22.125
2012-06-03,11.021,12.146,1.125,17.583
2012-06-04,17.804,21.218,3.413,17.458
2012-06-05,19.667,21.812,2.146,12.625
2012-06-06,12.096,14.382,2.286,16.364
2012-06-07,23.416,26.312,2.896,19.125
2012-06-08,21.271,24.854,3.583,22.25
2012-06-09,13.625,15.062,1.438,14.0
2012-06-10,5.375,5.708,0.334,8.375
2012-06-11,14.978,17.348,2.37,10.917
2012-06-12,23.458,28.916,5.458,11.625
2012-06-13,22.614,28.68,6.066,11.739
2012-06-14,20.551,24.699,4.148,13.792
2012-06-15,16.979,18.708,1.729,15.292
2012-06-16,19.416,23.042,3.625,10.208
2012-06-17,8.125,10.229,2.104,5.792
2012-06-18,32.565,38.522,5.956,17.833
2012-06-19,17.104,20.166,3.062,12.667
2012-06-20,14.926,25.619,10.693,6.565
2012-06-21,22.604,26.938,4.333,12.167
2012-06-22,10.875,13.188,2.312,6.833
2012-06-23,11.334,12.521,1.188,8.167
2012-06-24,14.729,16.938,2.208,19.792
2012-06-25,19.76,24.804,5.044,14.458
