date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean,SO2_mean
2011-09-10,14.667,19.764,5.097,33.333,,3.625
2011-09-11,9.764,15.208,5.445,16.486,,3.5
2011-09-12,12.138,20.536,8.399,11.444,,3.739
2011-09-13,10.43,14.736,4.306,15.583,,4.875
2011-09-14,14.278,21.57,7.292,23.222,,4.792
2011-09-15,10.806,26.014,15.209,11.444,,4.542
2011-09-16,8.389,13.139,4.75,9.292,,3.583
2011-09-17,5.694,10.806,5.111,11.917,,4.167
2011-09-18,5.042,7.306,2.264,9.333,,3.625
2011-09-19,7.834,14.159,6.326,19.722,,3.652
2011-09-20,13.931,18.389,4.458,7.375,,3.5
2011-09-21,10.722,15.153,4.431,9.194,,3.167
2011-09-22,12.802,18.676,5.874,7.556,,3.375
2011-09-23,14.556,17.819,3.264,9.583,,3.167
2011-09-24,13.153,16.791,3.639,9.736,,3.542
2011-09-25,11.917,14.208,2.292,12.5,,3.458
2011-09-26,23.422,31.23,7.808,22.681,,3.435
2011-09-27,19.222,28.75,9.528,18.25,,3.625
2011-09-28,20.247,26.763,6.516,20.536,,3.083
2011-09-29,18.569,22.583,4.014,22.972,,3.5
2011-09-30,25.917,30.722,4.806,44.097,,3.792
2011-10-01,11.43,13.917,2.486,13.764,,3.625
2011-10-02,9.208,11.167,1.958,19.778,,3.792
2011-10-03,9.208,10.537,1.329,8.555,,3.391
2011-10-04,16.403,19.903,3.5,11.75,,3.583
2011-10-05,19.631,21.959,2.328,23.333,,3.522
2011-10-06,16.403,19.472,3.069,9.069,,3.625
2011-10-07,8.819,9.722,0.903,14.959,,3.417
2011-10-08,21.917,27.778,5.861,23.75,,3.417
2011-10-09,13.028,15.07,2.042,34.972,,3.542
2011-10-10,14.971,17.431,2.46,40.75,,4.087
2011-10-11,19.583,29.403,9.819,44.444,,4.583
2011-10-12,22.056,26.945,4.889,37.764,,3.708
2011-10-13,25.472,29.736,4.264,51.556,,3.875
2011-10-14,21.875,28.431,6.556,50.097,,5.167
2011-10-15,18.597,27.208,8.611,39.069,,3.458
2011-10-16,10.889,14.861,3.972,20.347,,3.5
2011-10-17,24.423,31.113,6.69,29.292,,3.826
2011-10-18,14.486,18.722,4.236,14.722,,3.458
2011-10-19,20.511,27.38,6.869,18.246,,3.167
2011-10-20,18.125,23.042,4.917,24.79,,3.381
2011-10-21,16.097,22.181,6.083,21.667,,3.333
2011-10-22,16.528,24.25,7.722,16.389,,3.375
2011-10-23,14.472,19.5,5.028,19.819,,3.208
