date,NO2_mean,NOX_mean,NO_mean,SPM_mean,SO2_mean
2011-11-12,18.208,23.75,5.542,16.167,
2011-11-13,11.667,17.0,5.333,20.708,
2011-11-14,9.783,11.435,1.652,37.167,
2011-11-15,5.125,5.542,0.417,13.25,
2011-11-16,9.292,10.542,1.25,7.458,
2011-11-17,14.583,16.0,1.417,15.417,
2011-11-18,39.783,80.348,40.565,57.458,
2011-11-19,24.125,40.25,16.125,37.292,
2011-11-20,4.125,4.333,0.208,11.875,
2011-11-21,4.217,4.652,0.435,3.667,
2011-11-22,12.417,15.625,3.208,9.125,
2011-11-23,28.583,50.917,22.333,32.208,
2011-11-24,9.292,12.292,3.0,13.792,
2011-11-25,6.75,7.667,0.917,4.458,
2011-11-26,18.583,29.625,11.042,14.417,
2011-11-27,23.25,33.917,10.667,37.833,
2011-11-28,34.0,88.435,54.435,55.333,
2011-11-29,33.125,79.333,46.208,62.783,
2011-11-30,26.0,40.522,14.522,45.0,
2011-12-01,16.042,18.5,2.458,10.625,
2011-12-02,22.833,32.208,9.375,16.917,
2011-12-03,17.583,28.042,10.458,19.083,
2011-12-04,2.917,3.0,0.083,2.583,
2011-12-05,6.87,7.348,0.478,7.542,
2011-12-06,27.792,39.958,12.167,21.0,
2011-12-07,23.304,33.304,10.0,22.727,
2011-12-08,14.5,16.333,1.833,18.75,
2011-12-09,5.625,6.042,0.417,2.792,
2011-12-10,14.917,18.042,3.125,13.667,
2011-12-11,5.458,5.792,0.333,13.208,
2011-12-12,14.348,20.13,5.783,19.0,
2011-12-13,18.292,24.667,6.375,16.583,
2011-12-14,25.417,37.167,11.75,17.375,
2011-12-15,19.917,33.083,13.167,26.5,
2011-12-16,6.125,6.917,0.792,7.417,
2011-12-17,8.125,9.458,1.333,3.25,
2011-12-18,8.917,9.875,0.958,8.542,
2011-12-19,12.0,13.609,1.609,9.875,
2011-12-20,13.375,15.458,2.083,7.739,
2011-12-21,30.042,51.5,21.458,25.458,
2011-12-22,22.625,37.833,15.208,32.958,
2011-12-23,4.792,5.167,0.375,2.458,
2011-12-24,11.708,16.208,4.5,8.417,
2011-12-25,4.083,4.5,0.417,6.0,
2011-12-26,5.273,5.818,0.545,4.5,
2011-12-27,11.167,15.625,4.458,5.042,
2011-12-28,15.375,17.167,1.792,9.125,
2011-12-29,24.625,36.375,11.75,24.708,
2011-12-30,4.292,4.5,0.208,5.167,
2011-12-31,8.458,9.25,0.792,11.25,
2012-01-01,8.021,9.167,1.146,14.417,0.188
2012-01-02,9.084,11.02,1.938,25.945,0.52
2012-01-03,2.38,2.797,0.416,8.18,0.104
2012-01-04,3.354,3.938,0.583,4.167,0.062
2012-01-05,13.542,15.834,2.292,12.695,0.312
2012-01-06,12.375,14.77,2.396,18.014,0.438
2012-01-07,14.528,17.52,2.992,17.458,0.474
2012-01-08,16.312,19.854,3.542,22.264,0.166
2012-01-09,13.304,16.478,3.174,20.311,0.229
2012-01-10,5.508,6.686,1.178,7.943,0.084
2012-01-11,8.271,9.438,1.167,8.819,0.084
2012-01-12,29.958,42.75,12.792,37.389,1.646
2012-01-13,24.562,34.521,9.958,40.125,1.188
2012-01-14,13.905,14.426,0.521,22.097,0.174
2012-01-15,4.292,4.646,0.354,9.431,0.646
2012-01-16,13.312,15.958,2.646,16.792,0.271
2012-01-17,8.655,9.312,0.657,20.819,1.066
2012-01-18,4.27,4.667,0.395,4.75,0.021
2012-01-19,9.666,11.208,1.542,18.153,0.562
2012-01-20,3.875,3.98,0.104,24.375,0.708
2012-01-21,31.483,43.156,11.673,35.75,1.568
2012-01-22,20.75,27.667,6.916,31.569,0.166
2012-01-23,17.688,19.479,1.792,16.028,0.666
2012-01-24,18.696,26.196,7.5,25.083,0.312
2012-01-25,5.416,5.854,0.438,18.444,0.312
2012-01-26,2.98,3.396,0.416,6.917,0.0
2012-01-27,4.75,5.188,0.438,7.945,0.104
2012-01-28,5.173,5.582,0.41,7.944,0.044
2012-01-29,6.375,6.938,0.562,13.514,0.334
2012-01-30,7.021,7.396,0.375,32.417,1.312
2012-01-31,23.282,29.608,6.327,32.306,1.688
2012-02-01,38.771,60.375,21.604,50.528,1.562
2012-02-02,22.834,35.916,13.084,51.472,0.375
2012-02-03,5.584,5.75,0.166,17.75,0.146
2012-02-04,24.301,30.869,6.568,28.514,0.587
2012-02-05,10.312,10.916,0.604,17.722,0.792
2012-02-06,17.27,19.542,2.27,19.458,0.458
2012-02-07,15.152,22.739,7.587,20.924,0.375
2012-02-08,2.708,2.875,0.166,6.514,0.042
2012-02-09,4.542,4.896,0.354,10.958,0.021
2012-02-10,7.312,7.916,0.604,21.208,0.792
2012-02-11,4.32,4.406,0.086,21.083,0.736
2012-02-12,15.855,18.604,2.75,25.403,1.708
2012-02-13,10.312,11.146,0.834,19.43,0.5
2012-02-14,20.568,23.736,3.168,18.889,0.631
2012-02-15,18.771,22.916,4.146,17.333,0.229
2012-02-16,3.312,3.584,0.27,7.361,0.084
2012-02-17,8.229,8.833,0.604,10.528,0.062
2012-02-18,23.888,30.275,6.386,25.541,0.174
2012-02-19,4.325,4.511,0.186,14.889,0.104
2012-02-20,6.875,7.816,0.941,11.666,0.146
2012-02-21,5.464,6.235,0.771,12.486,0.188
2012-02-22,10.319,11.681,1.361,23.222,0.334
2012-02-23,5.347,5.597,0.25,19.055,0.396
2012-02-24,3.25,3.333,0.083,12.778,0.021
2012-02-25,5.925,6.902,0.976,8.819,0.216
2012-02-26,13.302,15.149,1.847,25.056,1.25
2012-02-27,18.079,23.457,5.377,47.25,0.625
2012-02-28,10.071,11.229,1.158,23.611,0.375
2012-02-29,,,,,
2012-03-01,24.472,34.695,10.222,34.347,0.354
2012-03-02,2.847,3.042,0.195,24.139,0.312
2012-03-03,2.514,2.653,0.139,11.764,0.0
2012-03-04,10.497,12.386,1.889,13.861,0.454
2012-03-05,6.712,6.981,0.269,27.083,1.021
2012-03-06,19.002,26.377,7.374,35.847,2.084
2012-03-07,23.965,31.45,7.485,61.931,2.458
2012-03-08,26.361,33.347,6.986,61.472,2.334
2012-03-09,13.055,13.791,0.736,67.625,2.25
2012-03-10,13.097,15.111,2.014,45.639,1.292
2012-03-11,6.483,6.744,0.261,11.581,0.239
2012-03-12,21.361,25.556,4.194,23.0,1.125
2012-03-13,23.651,35.458,11.807,36.555,1.334
2012-03-14,4.4,4.498,0.097,13.017,0.166
2012-03-15,24.333,30.764,6.431,29.02,2.062
2012-03-16,18.055,22.889,4.833,42.084,1.604
2012-03-17,8.5,9.306,0.806,47.062,2.104
2012-03-18,5.216,6.011,0.795,58.083,0.258
2012-03-19,10.639,11.611,0.972,30.236,0.395
2012-03-20,27.977,34.856,6.879,54.125,2.292
2012-03-21,4.139,4.46,0.321,8.917,0.0
2012-03-22,17.945,20.834,2.889,20.653,1.562
2012-03-23,7.333,7.639,0.305,23.236,0.542
2012-03-24,14.778,16.431,1.653,34.764,1.042
2012-03-25,5.901,6.001,0.1,22.472,0.966
2012-03-26,7.042,7.481,0.438,15.305,0.188
2012-03-27,30.684,39.583,8.9,37.236,2.604
2012-03-28,29.458,35.519,6.06,42.944,1.068
2012-03-29,15.028,19.111,4.083,33.208,0.5
2012-03-30,8.681,9.111,0.431,19.694,0.521
2012-03-31,16.042,18.278,2.236,34.68,1.062
2012-04-01,5.264,5.875,0.611,17.083,0.416
2012-04-02,12.378,14.821,2.443,24.736,1.758
2012-04-03,5.319,5.75,0.431,28.792,1.688
2012-04-04,7.916,8.919,1.003,17.174,0.104
2012-04-05,16.295,19.125,2.831,36.75,0.28
2012-04-06,7.625,8.083,0.458,22.764,0.0
2012-04-07,5.139,5.32,0.181,18.306,0.0
2012-04-08,5.653,6.069,0.416,19.722,0.021
2012-04-09,17.03,20.331,3.302,40.806,1.394
2012-04-10,13.958,15.778,1.82,53.903,0.458
2012-04-11,9.403,10.208,0.806,37.806,0.0
2012-04-12,7.017,7.322,0.306,22.528,0.042
2012-04-13,17.139,17.528,0.389,38.569,0.25
2012-04-14,9.903,10.195,0.292,30.333,0.021
2012-04-15,6.764,7.486,0.722,22.417,0.146
2012-04-16,8.839,10.694,1.855,33.958,0.021
2012-04-17,17.111,20.958,3.847,51.403,0.792
2012-04-18,13.389,15.083,1.695,43.708,0.562
2012-04-19,10.159,11.147,0.988,43.736,0.262
2012-04-20,8.389,9.292,0.903,30.681,0.062
2012-04-21,6.139,6.597,0.458,26.181,0.208
2012-04-22,3.417,3.472,0.056,17.722,0.354
2012-04-23,13.375,15.309,1.935,21.917,0.196
2012-04-24,7.014,7.153,0.139,86.042,0.875
2012-04-25,11.028,14.042,3.014,79.472,0.542
2012-04-26,5.455,6.011,0.556,47.278,0.062
2012-04-27,10.166,10.708,0.542,17.333,0.396
2012-04-28,16.458,19.125,2.667,34.5,1.5
