date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,PM25_mean,CO_mean
2011-11-08,17.375,27.24,9.865,1.778,9.302,,0.625
2011-11-09,13.438,16.948,3.51,1.639,9.406,,0.667
2011-11-10,13.579,17.528,3.95,2.504,8.48,,1.783
2011-11-11,21.802,34.666,12.865,3.375,15.552,,3.958
2011-11-12,18.302,27.76,9.458,2.958,15.99,,4.25
2011-11-13,14.916,17.531,2.614,5.153,38.771,,6.583
2011-11-14,21.896,30.5,8.604,3.597,38.614,,6.417
2011-11-15,21.708,32.302,10.594,3.917,19.771,,6.333
2011-11-16,19.658,31.38,11.723,1.736,10.083,,3.875
2011-11-17,16.947,29.214,12.267,2.65,19.948,,3.348
2011-11-18,9.406,11.729,2.323,0.778,14.177,,2.708
2011-11-19,14.688,23.01,8.323,2.125,14.312,,5.167
2011-11-20,7.375,7.854,0.479,2.111,9.906,,3.167
2011-11-21,12.844,16.396,3.552,1.542,4.937,,2.875
2011-11-22,19.123,28.96,9.837,1.522,7.306,,2.958
2011-11-23,17.177,24.792,7.615,2.083,18.282,,3.792
2011-11-24,11.938,16.24,4.302,1.472,6.01,,2.417
2011-11-25,17.24,24.99,7.75,2.292,10.74,,3.917
2011-11-26,16.281,27.979,11.698,2.944,15.281,,2.958
2011-11-27,17.469,27.0,9.531,5.458,27.531,,3.25
2011-11-28,20.594,35.75,15.156,4.639,29.604,,3.917
2011-11-29,25.623,59.63,34.008,5.042,31.052,,5.542
2011-11-30,21.521,52.458,30.938,3.889,30.417,,4.292
2011-12-01,8.664,9.735,1.072,0.765,2.927,,1.783
2011-12-02,14.104,16.812,2.708,1.764,5.5,,2.625
2011-12-03,12.698,16.812,4.115,0.833,5.479,,3.167
2011-12-04,13.042,15.646,2.604,1.236,7.521,,3.583
2011-12-05,19.615,29.396,9.781,1.611,15.583,,4.208
2011-12-06,26.844,44.834,17.99,2.875,16.625,,4.167
2011-12-07,22.448,32.375,9.927,2.028,14.396,,4.583
