date,PM25_mean,SPM_mean,NO2_mean,NOX_mean,NO_mean,CH4_mean,NMHC_mean,SO2_mean,THC_mean
2011-06-16,9.604,13.583,9.583,12.938,3.354,175.783,4.217,0.125,180.0
2011-06-17,9.104,15.058,7.552,10.656,3.104,171.087,2.522,0.0,173.609
2011-06-18,11.584,17.633,13.802,17.614,3.812,173.739,7.478,0.042,181.217
2011-06-19,14.479,17.608,9.177,11.073,1.896,180.0,6.739,0.0,186.739
2011-06-20,20.0,24.0,12.238,15.569,3.331,178.304,6.957,0.652,185.261
2011-06-21,27.645,36.969,16.55,20.042,3.492,186.13,12.522,0.417,198.652
2011-06-22,23.844,24.558,14.643,18.837,4.194,179.905,14.429,0.125,194.333
2011-06-23,9.729,14.494,12.792,18.014,5.222,171.087,7.391,0.0,178.478
2011-06-24,8.583,10.058,8.531,13.177,4.646,170.391,5.739,0.0,176.13
2011-06-25,6.146,9.517,7.521,11.906,4.386,175.174,3.087,0.0,178.261
2011-06-26,4.271,7.767,6.844,9.49,2.646,171.174,2.087,0.0,173.261
2011-06-27,4.125,8.183,14.842,21.904,7.062,172.0,6.435,0.0,178.435
2011-06-28,11.218,17.561,14.906,24.781,9.875,181.826,10.435,0.083,192.261
2011-06-29,21.896,25.846,15.286,19.585,4.3,176.652,11.522,0.0,188.174
2011-06-30,15.104,18.325,12.333,20.344,8.01,174.913,16.522,0.0,191.435
2011-07-01,10.646,12.55,10.448,16.271,5.823,167.565,4.652,0.125,172.217
2011-07-02,17.292,21.592,8.792,12.49,3.698,167.087,3.522,0.0,170.609
2011-07-03,13.375,15.925,6.542,9.521,2.979,166.652,3.522,0.208,170.174
2011-07-04,16.188,23.867,12.358,17.185,4.827,173.0,6.391,0.227,179.391
2011-07-05,12.25,15.786,15.916,20.952,5.035,177.696,8.696,0.542,186.391
2011-07-06,16.326,17.575,12.03,16.54,4.51,182.045,8.591,0.75,190.636
2011-07-07,22.792,29.808,11.865,15.365,3.5,178.522,6.739,0.833,185.261
2011-07-08,23.312,34.983,16.812,24.531,7.719,180.217,11.261,0.417,191.478
2011-07-09,19.062,26.8,13.844,19.688,5.844,176.348,14.304,0.75,190.652
2011-07-10,19.396,26.725,10.448,13.26,2.812,174.957,9.087,0.625,184.043
2011-07-11,20.458,25.033,10.31,14.689,4.379,175.957,5.87,0.522,181.826
2011-07-12,22.583,31.117,11.74,19.0,7.26,171.739,7.478,1.083,179.217
2011-07-13,19.77,27.487,13.394,20.84,7.445,174.783,8.522,0.792,183.304
2011-07-14,21.057,29.627,14.156,18.562,4.406,173.13,8.261,0.792,181.391
2011-07-15,20.938,25.666,13.614,18.844,5.229,172.217,9.13,0.875,181.348
2011-07-16,26.375,34.458,9.344,12.364,3.021,169.783,4.565,1.125,174.348
2011-07-17,28.519,36.395,9.438,11.562,2.125,176.609,9.217,1.375,185.826
2011-07-18,23.708,28.733,5.747,7.638,1.891,171.391,4.696,0.478,176.087
2011-07-19,14.312,20.456,5.458,10.021,4.562,164.217,1.87,0.0,166.087
2011-07-20,5.732,12.396,4.178,8.272,4.094,166.652,3.391,0.042,170.043
2011-07-21,11.812,15.183,4.042,8.802,4.76,170.87,3.957,0.0,174.826
2011-07-22,8.535,12.481,6.992,13.148,6.156,175.952,3.238,0.0,179.19
2011-07-23,6.396,8.908,5.906,8.49,2.583,173.091,4.591,0.0,177.682
2011-07-24,7.604,10.717,3.896,6.364,2.469,170.739,3.304,0.042,174.043
2011-07-25,16.042,23.85,15.502,23.249,7.747,169.739,7.957,0.739,177.696
2011-07-26,21.27,29.142,15.75,21.969,6.219,173.913,8.87,0.5,182.783
2011-07-27,22.146,32.667,16.668,22.778,6.11,175.565,9.391,0.125,184.957
2011-07-28,15.73,24.259,14.562,21.188,6.625,172.217,4.826,0.125,177.043
2011-07-29,16.196,24.686,14.427,24.021,9.594,171.696,7.0,0.042,178.696
2011-07-30,13.771,15.041,11.344,20.708,9.365,170.435,4.391,0.0,174.826
2011-07-31,14.938,16.475,5.25,8.052,2.802,173.043,4.391,0.208,177.435
