date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,THC_mean,CO_mean
2011-09-06,194.5,15.708,7.181,13.861,6.681,,0.978,,210.208,2.542
2011-09-07,196.0,17.087,6.57,9.944,3.375,,1.062,,213.087,2.708
2011-09-08,201.708,19.958,8.686,13.633,4.946,,2.125,,221.667,3.0
2011-09-09,198.25,20.875,8.292,12.026,3.734,,1.542,,219.125,2.708
2011-09-10,191.0,18.417,6.708,10.93,4.222,,1.229,,209.417,2.625
2011-09-11,195.125,17.833,4.819,7.931,3.111,,1.312,,212.958,2.083
2011-09-12,190.167,17.125,6.014,11.042,5.028,,1.958,,207.292,2.208
2011-09-13,189.375,18.25,6.653,10.875,4.222,,1.511,,207.625,2.5
2011-09-14,189.696,19.087,6.588,10.634,4.045,,2.356,,208.783,2.391
2011-09-15,190.857,18.81,6.743,10.903,4.159,,1.41,,209.667,1.875
2011-09-16,180.583,16.125,6.847,14.653,7.805,,1.042,,196.708,1.875
2011-09-17,183.542,17.958,7.028,12.403,5.375,,1.062,,201.5,1.833
2011-09-18,180.708,16.25,4.778,7.806,3.028,,1.021,,196.958,1.583
2011-09-19,184.875,14.25,3.25,4.417,1.167,,1.0,,199.125,1.5
2011-09-20,184.125,14.167,3.125,4.583,1.459,,0.913,,198.292,1.583
2011-09-21,185.522,9.304,2.014,2.792,0.778,,0.875,,194.826,1.591
2011-09-22,188.167,10.458,4.07,5.222,1.153,,1.0,,198.625,2.083
2011-09-23,200.042,13.042,6.945,11.014,4.07,,1.044,,213.083,2.5
2011-09-24,197.458,13.375,8.153,12.055,3.903,,1.5,,210.833,2.917
2011-09-25,193.958,14.083,5.778,7.278,1.5,,1.396,,208.042,2.833
2011-09-26,193.667,15.625,10.139,14.639,4.5,,1.27,,209.292,3.75
2011-09-27,191.375,16.083,9.525,14.024,4.498,,1.148,,207.458,3.522
2011-09-28,189.5,17.545,8.289,12.122,3.833,,1.966,,207.045,3.042
2011-09-29,189.75,16.417,9.255,14.368,5.114,,1.761,,206.167,3.125
2011-09-30,185.333,14.208,6.611,10.639,4.028,,1.0,,199.542,2.958
2011-10-01,188.0,13.042,5.889,10.653,4.764,,1.021,,201.042,2.542
2011-10-02,191.625,13.125,4.611,6.292,1.681,,1.042,,204.75,2.292
2011-10-03,191.458,13.042,7.597,12.125,4.528,,1.146,,204.5,2.792
2011-10-04,189.708,12.167,9.291,15.278,5.986,,1.593,,201.875,3.167
2011-10-05,187.652,15.043,10.639,18.57,7.931,,0.938,,202.696,3.833
2011-10-06,196.583,18.625,9.375,17.18,7.806,,1.375,,215.208,4.0
2011-10-07,196.792,17.667,10.569,16.5,5.931,,1.426,,214.458,4.391
2011-10-08,193.25,16.125,8.819,13.764,4.944,,2.188,,209.375,3.542
2011-10-09,192.833,17.0,6.764,9.139,2.375,,2.916,,209.833,3.833
2011-10-10,193.042,18.208,8.722,13.222,4.5,,3.02,,211.25,4.167
2011-10-11,190.5,18.375,9.333,15.486,6.153,,1.799,,208.875,4.417
2011-10-12,190.5,18.273,8.928,14.0,5.072,,1.112,,208.773,4.136
2011-10-13,189.917,19.917,10.889,16.569,5.68,,3.354,,209.833,4.25
2011-10-14,188.167,19.125,11.097,21.555,10.458,,1.042,,207.292,3.875
2011-10-15,190.208,17.917,9.569,15.195,5.625,,1.042,,208.125,3.667
2011-10-16,192.833,16.375,6.639,8.986,2.347,,1.708,,209.208,3.625
2011-10-17,192.458,16.75,8.764,13.597,4.833,,1.396,,209.208,4.083
2011-10-18,191.167,15.625,10.069,16.125,6.056,,1.214,,206.792,3.167
2011-10-19,188.909,17.227,11.528,18.722,7.195,,1.416,,206.136,3.409
2011-10-20,186.542,13.792,11.069,17.431,6.361,,1.521,,200.333,3.458
2011-10-21,184.542,13.25,11.5,19.194,7.695,,1.062,,197.792,5.0
2011-10-22,186.417,12.875,8.139,13.569,5.43,,1.0,,199.292,2.625
2011-10-23,183.375,11.417,5.278,8.083,2.806,,1.0,,194.792,2.5
2011-10-24,185.0,13.417,7.569,13.389,5.82,,1.104,,198.417,2.625
2011-10-25,186.917,10.667,4.764,6.625,1.861,,1.211,,197.583,2.542
2011-10-26,189.318,11.682,9.145,13.986,4.841,,1.022,,201.0,2.826
2011-10-27,190.083,14.583,12.75,19.806,7.055,,1.729,,204.667,3.167
2011-10-28,189.208,18.583,16.93,31.389,14.458,,1.0,,207.792,4.583
2011-10-29,185.875,16.292,10.806,18.458,7.653,,0.562,,202.167,3.208
2011-10-30,187.5,18.792,11.139,19.403,8.264,,0.5,,206.292,3.833
2011-10-31,188.125,15.583,11.667,20.139,8.472,,0.708,,203.708,4.125
2011-11-01,186.792,23.208,12.445,19.486,7.042,,1.271,,210.0,4.0
2011-11-02,187.609,22.739,12.806,22.028,9.222,,0.792,,210.348,3.364
2011-11-03,187.708,18.667,10.236,17.75,7.514,,1.125,,206.375,3.292
2011-11-04,186.917,17.333,11.208,19.917,8.708,,1.549,,204.25,3.417
2011-11-05,188.625,18.042,11.639,22.417,10.778,,1.0,,206.667,3.125
2011-11-06,186.5,15.125,6.611,10.861,4.25,,1.0,,201.625,2.417
2011-11-07,187.75,14.5,8.93,17.125,8.194,,1.0,,202.25,3.208
2011-11-08,191.261,16.174,11.792,18.488,6.697,,1.18,,207.435,3.696
2011-11-09,188.261,10.304,7.403,11.097,3.695,,1.084,,198.565,3.042
2011-11-10,188.167,11.333,8.332,12.65,4.318,,1.042,,199.5,2.875
2011-11-11,191.083,19.0,12.944,21.194,8.25,,1.38,,210.083,4.125
2011-11-12,193.292,18.708,10.944,20.917,9.972,,1.062,,212.0,4.792
2011-11-13,195.167,16.333,8.208,12.361,4.153,,1.812,,211.5,5.458
2011-11-14,197.208,16.167,11.125,19.708,8.583,,1.854,,213.375,5.875
2011-11-15,195.792,15.375,12.842,21.285,8.444,,2.964,,211.167,5.217
2011-11-16,189.174,17.565,16.125,26.361,10.236,,1.271,,206.739,4.292
2011-11-17,188.958,22.125,15.639,25.875,10.236,,1.938,,211.083,4.417
2011-11-18,185.667,15.25,11.917,18.889,6.972,,1.021,,200.917,3.375
2011-11-19,181.667,13.542,8.458,14.097,5.639,,1.0,,195.208,3.583
2011-11-20,187.083,11.0,4.153,5.347,1.195,,1.166,,198.083,2.708
2011-11-21,191.87,13.391,8.985,15.899,6.913,,1.044,,205.261,3.0
2011-11-22,189.167,15.292,12.194,19.083,6.889,,1.196,,204.458,3.25
2011-11-23,189.304,12.783,9.625,14.222,4.597,,1.396,,202.087,3.625
2011-11-24,188.417,9.125,6.25,8.667,2.417,,1.125,,197.542,2.417
2011-11-25,192.292,15.458,14.028,27.25,13.222,,1.826,,207.75,4.833
2011-11-26,191.792,15.208,14.181,23.528,9.347,,1.771,,207.0,5.083
2011-11-27,191.125,20.708,13.472,21.667,8.195,,6.229,,211.833,5.292
2011-11-28,187.792,25.75,15.458,35.416,19.958,,2.958,,213.542,4.5
2011-11-29,185.958,20.917,14.681,32.806,18.125,,1.432,,206.875,2.333
2011-11-30,190.13,20.217,13.986,32.736,18.75,,1.854,,210.348,2.417
