date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,PM25_mean,THC_mean
2011-12-01,13.299,16.3415,3.0425,0.333,13.0625,,,4.125,
2011-12-02,14.443999999999999,20.8765,6.433,0.333,17.555,,,7.5,
2011-12-03,15.729,29.875,14.146,0.083,15.625,,,3.583,
2011-12-04,4.646,6.8335,2.1875,0.0,9.8125,,,-0.458,
2011-12-05,15.081,33.980000000000004,18.8995,0.348,13.354,,,3.625,
2011-12-06,21.6665,35.271,13.604,0.917,23.333,,,15.375,
2011-12-07,20.5165,41.256,20.74,0.958,29.6045,,,20.0,
2011-12-08,16.8125,41.104,24.2915,0.917,28.2085,,,18.542,
2011-12-09,15.189499999999999,22.872500000000002,7.683,0.75,13.4795,,,4.708,
2011-12-10,18.875,33.0205,14.146,0.542,17.1665,,,7.208,
2011-12-11,14.915,24.1665,9.251999999999999,0.542,17.4585,,,9.042,
2011-12-12,25.125,57.5625,32.4375,1.087,21.7085,,,14.667,
2011-12-13,19.654,43.822500000000005,24.1685,1.0,17.6875,,,9.0,
2011-12-14,24.6875,57.7085,33.021,1.208,28.386499999999998,,,16.958,
2011-12-15,23.369,59.6095,36.241,1.208,29.5625,,,18.5,
2011-12-16,16.351,37.736000000000004,21.385,0.65,12.8505,,,5.708,
2011-12-17,15.812999999999999,32.6035,16.79,0.083,7.979,,,2.875,
2011-12-18,11.958,17.229,5.271,0.042,12.125,,,6.792,
2011-12-19,20.9835,46.468,25.4845,0.783,20.8125,,,14.375,
2011-12-20,21.271,50.9375,29.6665,0.708,16.4585,,,10.333,
2011-12-21,23.888,64.0815,40.1935,1.333,25.5835,,,17.75,
2011-12-22,23.323999999999998,73.565,50.241,1.042,35.604,,,26.625,
2011-12-23,7.76,12.572500000000002,4.8125,0.125,8.458,,,3.25,
2011-12-24,16.5835,25.4375,8.854,0.833,15.5415,,,11.625,
2011-12-25,9.972999999999999,13.905000000000001,3.932,0.583,8.8125,,,5.125,
2011-12-26,14.5625,24.5625,10.0,0.478,6.208,,,2.25,
2011-12-27,14.434000000000001,22.4625,8.029,0.583,8.1455,,,2.583,
2011-12-28,18.2705,29.5625,11.292,0.583,15.8335,,,10.5,
2011-12-29,21.652,40.804,19.152,1.083,27.7705,,,22.125,
2011-12-30,8.8125,12.3125,3.5,0.583,10.0835,,,6.042,
2011-12-31,9.971,12.635,2.664,0.917,12.9165,,,9.667,
2012-01-01,9.375,11.6665,2.292,0.375,5.958,,,2.125,
2012-01-02,7.9585,10.5415,2.5835,1.167,11.625,,,8.792,
2012-01-03,5.339,6.2735,0.935,0.708,3.2085,,,-2.542,
2012-01-04,5.3335,6.3125,0.979,0.087,2.165,,,-2.958,
2012-01-05,10.9585,13.375,2.417,0.667,8.4755,,,5.75,
2012-01-06,11.25,14.4375,3.1875,0.625,9.875,,,8.25,
2012-01-07,18.5905,27.5,8.908999999999999,0.739,17.8585,,,15.227,
2012-01-08,23.771,45.5835,21.8125,0.875,26.0205,,,23.667,
2012-01-09,23.396,48.2085,24.8125,0.833,29.7085,,,25.083,
2012-01-10,19.1295,39.114999999999995,19.9855,0.292,11.466999999999999,,,5.208,
2012-01-11,21.1665,34.375,13.207999999999998,0.609,7.792,,,4.25,
2012-01-12,22.771,40.375,17.604,0.875,24.646,,,22.125,
2012-01-13,17.3125,22.2915,4.9795,0.708,35.4585,,,36.208,
2012-01-14,17.4375,22.1045,4.667,0.292,13.479,,,10.417,
2012-01-15,8.7665,10.142,1.3755000000000002,1.125,5.9795,,,5.667,
2012-01-16,21.104,34.9375,13.8335,0.583,15.9165,,,15.375,
2012-01-17,18.3325,36.116,17.7835,0.667,13.104,,,11.417,
2012-01-18,13.854500000000002,23.625,9.771,0.043,3.1455,,,1.792,
2012-01-19,14.1875,18.396,4.208,0.792,8.4585,,,3.917,
2012-01-20,8.008,9.1645,1.1565,0.095,6.4315,,,4.667,
2012-01-21,21.625,33.083,11.4585,0.708,16.6875,,,11.792,
2012-01-22,22.533,43.027,20.493499999999997,0.875,26.75,,,17.261,
2012-01-23,12.604,23.9795,11.375,0.583,8.5,,,7.0,
2012-01-24,19.579,26.6255,7.047,0.875,13.05,,,10.875,
2012-01-25,17.75,38.104,20.354,0.478,15.208,,,13.458,
2012-01-26,12.4585,20.396,7.9375,1.083,5.6045,,,1.458,
