date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,CO_mean
2012-01-01,8.028,11.444,3.417,,4.875,16.889,3.875
2012-01-02,9.347,13.167,3.819,,7.042,31.375,5.167
2012-01-03,10.764,16.903,6.139,,5.354,8.014,3.833
2012-01-04,15.209,22.542,7.333,,4.875,10.18,5.417
2012-01-05,15.722,23.972,8.25,,5.0,11.611,5.625
2012-01-06,14.028,18.861,4.833,,5.188,16.833,4.958
2012-01-07,22.361,32.264,9.903,,6.218,26.681,6.167
2012-01-08,26.722,50.264,23.542,,6.144,23.25,6.542
2012-01-09,18.478,26.855,8.377,,9.022,25.597,6.304
2012-01-10,16.903,25.708,8.806,,5.708,8.222,4.833
2012-01-11,30.57,53.681,23.111,,5.938,14.556,7.625
2012-01-12,25.889,43.958,18.069,,5.98,19.792,7.375
2012-01-13,24.667,41.347,16.681,,5.52,25.944,7.792
2012-01-14,18.181,27.139,8.958,,7.084,29.097,5.5
2012-01-15,20.18,33.944,13.764,,7.458,25.886,6.417
2012-01-16,28.333,52.958,24.625,,6.792,35.928,8.75
2012-01-17,16.681,27.944,11.264,,6.938,29.083,6.0
2012-01-18,23.319,41.708,18.389,,5.458,19.694,6.5
2012-01-19,16.167,23.111,6.945,,5.917,16.306,5.417
2012-01-20,24.236,37.306,13.069,,6.646,26.111,7.708
2012-01-21,29.125,56.028,26.903,,6.896,41.444,7.958
2012-01-22,17.292,27.819,10.528,,5.938,18.889,5.375
2012-01-23,29.768,55.971,26.203,,6.587,14.069,7.696
2012-01-24,16.375,22.764,6.389,,6.688,33.666,6.208
2012-01-25,13.539,22.873,9.333,,7.3,19.0,6.125
2012-01-26,15.458,23.542,8.083,,9.27,27.139,7.0
2012-01-27,13.736,19.847,6.111,,5.688,9.667,4.333
2012-01-28,18.916,28.292,9.375,,5.438,12.014,5.583
2012-01-29,27.734,47.339,19.606,,5.875,19.943,7.25
2012-01-30,35.042,59.806,24.764,,7.416,40.278,9.292
2012-01-31,38.833,65.681,26.847,,8.375,56.93,10.625
