date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean
2011-07-30,5.694,6.805,1.111,1.275,
2011-07-31,4.667,5.43,0.764,0.839,
2011-08-01,4.282,5.509,1.227,0.715,
2011-08-02,5.203,7.792,2.588,1.095,
2011-08-03,3.587,6.682,3.095,0.97,
2011-08-04,4.879,8.12,3.241,1.208,
2011-08-05,4.057,6.315,2.257,0.555,
2011-08-06,1.75,2.653,0.903,0.179,
2011-08-07,2.361,4.0,1.639,0.387,
2011-08-08,4.225,6.745,2.52,0.857,
2011-08-09,5.581,8.561,2.98,1.35,
2011-08-10,4.403,6.097,1.695,1.119,
2011-08-11,4.847,6.125,1.278,1.344,
2011-08-12,6.292,7.792,1.5,1.337,
2011-08-13,4.695,5.764,1.069,1.309,
2011-08-14,3.258,4.598,1.341,1.072,
2011-08-15,4.04,5.108,1.068,0.733,
2011-08-16,4.778,6.556,1.778,0.917,
2011-08-17,4.347,6.389,2.042,0.471,
2011-08-18,4.347,6.097,1.75,0.503,
2011-08-19,5.109,6.312,1.202,0.554,
2011-08-20,6.181,6.833,0.653,0.613,
2011-08-21,3.82,4.556,0.736,0.34,
2011-08-22,4.612,5.378,0.766,0.631,
2011-08-23,3.653,5.083,1.431,0.53,
2011-08-24,2.536,3.953,1.417,0.518,
2011-08-25,3.572,5.743,2.171,0.199,
2011-08-26,3.57,6.583,3.014,0.315,
2011-08-27,2.958,5.139,2.18,0.74,
2011-08-28,4.819,6.764,1.944,1.0,
2011-08-29,5.069,6.819,1.75,0.92,
2011-08-30,5.667,6.861,1.194,1.012,
2011-08-31,6.944,7.875,0.93,1.141,
2011-09-01,7.167,9.25,2.083,0.267,
2011-09-02,3.958,4.819,0.861,0.024,
2011-09-03,1.025,1.205,0.181,0.107,
2011-09-04,3.89,4.787,0.897,0.134,
2011-09-05,2.57,2.861,0.292,0.316,
2011-09-06,3.847,4.139,0.292,0.903,
2011-09-07,4.972,5.597,0.625,1.126,
2011-09-08,3.722,4.32,0.597,0.777,
2011-09-09,2.823,3.787,0.963,0.208,
2011-09-10,3.236,5.556,2.319,0.262,
2011-09-11,2.472,3.889,1.416,0.224,
2011-09-12,4.194,6.583,2.389,0.357,
2011-09-13,4.31,7.019,2.709,0.595,
2011-09-14,4.877,7.641,2.763,0.571,
2011-09-15,2.583,3.931,1.347,0.548,
2011-09-16,2.847,4.18,1.333,0.248,
2011-09-17,0.861,1.389,0.528,0.202,
2011-09-18,1.806,3.264,1.458,0.084,
2011-09-19,3.528,5.875,2.347,0.19,
2011-09-20,1.65,2.211,0.561,0.138,
2011-09-21,2.256,2.886,0.631,0.188,
2011-09-22,2.125,2.528,0.403,0.685,
2011-09-23,2.712,2.936,0.224,0.762,
2011-09-24,5.235,5.615,0.38,0.565,
2011-09-25,5.542,6.389,0.847,0.839,
2011-09-26,8.153,9.403,1.25,0.526,
2011-09-27,6.819,7.694,0.875,0.812,
2011-09-28,6.611,7.806,1.195,0.979,
2011-09-29,3.639,4.375,0.736,0.75,
2011-09-30,4.208,5.014,0.806,0.662,
2011-10-01,2.75,2.986,0.236,0.731,
2011-10-02,3.403,3.653,0.25,0.952,
2011-10-03,2.111,2.252,0.141,0.75,
2011-10-04,4.672,5.126,0.454,0.751,
2011-10-05,8.153,9.403,1.25,0.655,
2011-10-06,4.722,5.292,0.57,0.95,7.083
2011-10-07,4.597,4.68,0.083,1.53,23.458
2011-10-08,4.833,4.986,0.153,1.312,24.667
2011-10-09,5.681,6.139,0.458,1.631,30.917
2011-10-10,4.625,5.083,0.458,1.141,29.583
2011-10-11,8.153,9.264,1.111,2.078,38.739
2011-10-12,6.93,7.986,1.056,1.756,39.083
2011-10-13,6.939,7.577,0.639,0.967,34.208
2011-10-14,2.94,3.585,0.644,0.498,12.75
2011-10-15,7.584,9.347,1.764,0.899,7.125
2011-10-16,4.25,4.68,0.431,0.933,19.625
2011-10-17,6.273,6.871,0.597,1.375,20.913
2011-10-18,4.974,5.187,0.212,1.349,10.542
2011-10-19,5.722,6.097,0.375,0.97,11.875
2011-10-20,9.129,10.306,1.177,1.151,18.417
2011-10-21,8.593,10.381,1.788,1.019,9.542
2011-10-22,3.653,4.194,0.541,0.5,4.792
2011-10-23,3.0,3.845,0.845,0.47,6.667
2011-10-24,4.954,5.562,0.608,0.762,6.833
2011-10-25,4.042,4.972,0.931,0.97,12.75
2011-10-26,2.306,2.528,0.222,0.856,6.25
2011-10-27,5.917,6.542,0.625,0.807,12.25
2011-10-28,6.195,7.375,1.18,0.825,15.25
2011-10-29,6.653,7.417,0.764,0.881,14.708
2011-10-30,6.347,7.153,0.805,0.381,14.542
2011-10-31,3.916,4.333,0.417,0.595,6.583
2011-11-01,5.194,5.819,0.625,1.071,8.833
2011-11-02,7.44,8.916,1.476,1.297,11.125
2011-11-03,8.936,11.353,2.417,0.928,14.875
2011-11-04,10.319,13.319,3.0,1.554,12.0
2011-11-05,3.486,3.694,0.208,0.477,7.333
2011-11-06,4.856,6.678,1.822,0.292,5.833
2011-11-07,3.292,3.646,0.354,0.735,3.833
2011-11-08,3.208,3.521,0.312,0.97,7.833
2011-11-09,3.834,4.312,0.479,1.006,6.417
2011-11-10,5.916,6.5,0.583,1.092,8.083
2011-11-11,9.292,10.604,1.312,0.506,8.5
2011-11-12,8.562,10.062,1.5,2.53,15.667
2011-11-13,4.428,5.072,0.644,1.264,17.042
2011-11-14,4.834,5.084,0.25,3.244,35.708
2011-11-15,3.104,3.416,0.312,2.137,12.958
2011-11-16,4.188,4.646,0.458,1.033,7.917
2011-11-17,5.496,5.774,0.278,2.302,21.522
2011-11-18,5.584,6.139,0.555,1.244,21.292
2011-11-19,5.429,6.211,0.783,0.37,3.542
2011-11-20,2.611,2.917,0.305,0.63,10.458
2011-11-21,2.18,2.389,0.208,0.673,3.75
2011-11-22,4.5,5.084,0.583,0.946,4.792
2011-11-23,6.135,8.03,1.896,1.751,10.5
2011-11-24,3.542,4.014,0.472,0.845,6.875
2011-11-25,5.32,6.042,0.722,1.478,5.333
2011-11-26,6.194,7.069,0.875,1.017,7.083
2011-11-27,6.875,8.944,2.069,1.387,12.292
2011-11-28,11.583,18.903,7.319,1.452,20.125
2011-11-29,17.865,23.63,5.764,1.617,21.75
2011-11-30,10.556,12.222,1.666,1.451,18.792
2011-12-01,2.5,2.834,0.333,0.417,-1.333
2011-12-02,8.083,9.25,1.166,0.94,5.0
2011-12-03,7.893,9.978,2.085,0.407,4.625
2011-12-04,2.806,3.125,0.319,0.625,1.958
2011-12-05,5.292,5.75,0.458,1.221,9.875
2011-12-06,8.972,10.153,1.181,1.051,9.833
2011-12-07,6.389,9.444,3.056,1.272,11.458
2011-12-08,4.917,5.639,0.722,1.292,10.75
2011-12-09,3.758,4.492,0.735,1.038,4.0
2011-12-10,5.764,7.708,1.945,1.004,4.042
2011-12-11,3.889,4.472,0.583,0.982,9.833
