date,NO2_mean,NOX_mean,NO_mean,SO2_mean,PM25_mean,CO_mean
2011-08-02,16.598,25.932,9.333,0.973,17.125,2.875
2011-08-03,18.298,33.583,15.286,2.157,12.542,3.458
2011-08-04,12.817,24.825,12.008,1.229,9.792,2.083
2011-08-05,17.064,32.632,15.568,0.809,7.25,2.609
2011-08-06,13.309,32.974,19.664,1.271,7.833,3.958
2011-08-07,8.92,16.715,7.794,2.101,6.667,3.458
2011-08-08,17.467,39.25,21.783,3.806,10.909,4.478
2011-08-09,30.925,50.217,19.292,6.573,23.75,5.0
2011-08-10,22.961,38.291,15.33,5.012,27.667,4.417
2011-08-11,21.884,37.592,15.708,3.938,19.875,3.792
2011-08-12,18.031,28.765,10.735,1.829,20.792,3.652
2011-08-13,13.685,19.004,5.319,2.719,20.75,4.125
2011-08-14,9.032,12.159,3.127,4.121,24.958,3.333
2011-08-15,13.717,19.483,5.767,4.26,19.917,4.174
2011-08-16,16.877,24.832,7.955,4.573,22.917,4.25
2011-08-17,18.124,32.658,14.371,4.167,23.625,4.167
2011-08-18,18.275,33.95,15.675,3.906,27.583,3.708
2011-08-19,17.982,28.875,10.893,1.698,12.375,3.826
2011-08-20,18.815,25.249,6.434,0.917,10.167,3.625
2011-08-21,15.489,20.733,5.243,0.756,11.708,4.0
2011-08-22,26.758,41.733,14.975,3.104,12.667,5.0
2011-08-23,21.196,41.801,20.606,2.948,18.333,4.458
2011-08-24,17.884,41.301,23.417,2.386,14.042,3.792
2011-08-25,17.575,43.2,25.625,2.031,8.292,3.625
2011-08-26,18.508,41.333,22.825,2.219,10.0,3.565
2011-08-27,14.964,22.265,7.3,0.542,10.958,2.958
2011-08-28,14.58,19.226,4.647,2.498,20.708,3.875
2011-08-29,18.683,29.633,10.95,1.607,19.125,2.957
2011-08-30,18.95,28.0,9.05,1.021,14.292,2.958
2011-08-31,13.151,21.239,8.088,0.688,9.0,3.667
2011-09-01,9.85,23.383,13.533,0.292,9.167,2.167
2011-09-02,7.442,15.092,7.65,0.312,9.833,1.043
2011-09-03,10.026,14.58,4.554,0.073,7.708,1.667
2011-09-04,16.326,23.361,7.035,0.409,4.375,3.083
2011-09-05,21.183,41.667,20.483,0.683,5.542,3.913
2011-09-06,18.725,30.3,11.575,0.704,6.25,2.667
2011-09-07,31.751,49.151,17.4,2.708,12.875,4.375
2011-09-08,31.125,47.975,16.85,2.562,18.042,4.375
2011-09-09,21.667,40.317,18.65,1.802,18.0,3.696
2011-09-10,14.135,28.338,14.202,1.531,13.5,3.833
2011-09-11,9.882,16.275,6.393,1.433,10.0,3.333
2011-09-12,18.642,38.391,19.75,1.829,8.5,3.13
2011-09-13,25.051,47.315,22.265,2.896,13.958,4.333
2011-09-14,27.386,46.095,18.709,3.74,16.333,4.5
2011-09-15,21.833,39.175,17.342,1.979,11.667,2.833
2011-09-16,13.55,33.933,20.383,0.386,5.542,1.783
2011-09-17,14.622,32.481,17.858,0.885,6.917,3.583
2011-09-18,9.749,18.005,8.256,1.56,7.542,3.583
2011-09-19,9.083,17.608,8.525,1.862,6.583,3.292
2011-09-20,12.85,27.017,14.167,0.229,1.333,2.043
2011-09-21,9.458,15.857,6.399,0.334,1.292,2.083
