date,SO2_mean,SPM_mean,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,THC_mean
2011-05-23,3.2,10.891,185.826,15.565,7.868,8.744,0.876,,201.391
2011-05-24,2.776,11.094,184.125,17.875,8.334,9.396,1.062,,202.0
2011-05-25,4.792,28.672,184.292,25.0,13.52,16.562,3.042,,209.292
2011-05-26,3.864,27.229,183.667,20.667,14.146,16.292,2.146,,204.333
2011-05-27,3.141,21.745,184.125,16.875,13.292,14.75,1.458,,201.0
2011-05-28,2.579,27.005,185.333,32.875,18.854,22.73,3.875,,218.208
2011-05-29,2.043,8.363,182.435,22.043,12.004,15.387,3.382,,204.478
2011-05-30,2.953,7.182,182.043,16.478,5.522,6.434,0.913,,198.522
2011-05-31,6.153,15.663,185.727,24.182,15.48,19.396,3.916,,209.909
2011-06-01,6.323,29.786,189.625,28.042,15.605,18.458,2.854,,217.667
2011-06-02,6.741,47.078,189.458,39.875,16.669,21.204,4.522,,229.333
2011-06-03,8.74,72.114,190.5,46.917,18.77,25.062,6.292,,237.417
2011-06-04,8.217,54.063,191.5,37.458,11.729,14.229,2.5,,228.958
2011-06-05,6.292,47.886,189.792,36.042,11.208,13.042,1.833,,225.833
2011-06-06,6.817,38.485,192.0,47.625,16.25,21.491,5.241,,239.625
2011-06-07,5.62,40.307,187.087,35.348,16.23,18.229,2.0,,222.435
2011-06-08,3.698,32.208,184.75,44.875,11.125,12.605,1.479,,229.625
2011-06-09,5.615,31.74,184.667,38.625,10.438,12.958,2.521,,223.292
2011-06-10,5.818,52.745,184.333,49.667,19.27,25.73,6.458,,234.0
2011-06-11,3.294,16.156,183.25,43.208,16.125,19.104,2.979,,226.458
2011-06-12,4.214,34.693,183.667,41.542,18.583,25.812,7.23,,225.208
2011-06-13,3.703,16.979,183.375,41.438,7.445,9.025,1.581,,224.812
2011-06-14,5.291,42.771,189.125,43.875,8.984,11.428,2.443,,233.0
2011-06-15,7.927,52.083,189.333,48.667,20.312,24.708,4.396,,238.0
2011-06-16,3.684,27.13,187.792,38.875,17.005,21.396,2.528,,226.667
2011-06-17,4.308,28.792,187.417,40.292,13.438,17.916,1.479,,227.708
2011-06-18,5.208,48.734,190.0,49.833,19.5,24.0,4.5,,239.833
2011-06-19,4.292,34.036,187.208,37.542,12.916,14.562,1.646,,224.75
2011-06-20,3.625,30.062,188.857,50.762,19.564,24.606,5.042,,239.619
2011-06-21,4.902,27.077,185.417,51.458,16.416,21.916,5.5,,236.875
2011-06-22,8.799,30.331,182.417,49.333,20.542,30.542,10.0,,231.75
2011-06-23,9.673,32.458,184.333,51.208,15.48,28.062,12.583,,235.542
2011-06-24,9.511,26.746,183.875,43.25,12.667,22.583,9.917,,227.125
2011-06-25,7.312,23.12,181.458,36.833,7.75,14.125,6.375,,218.292
2011-06-26,4.375,13.645,179.708,36.542,7.292,11.0,3.708,,216.25
2011-06-27,5.868,16.464,185.292,44.792,10.39,16.711,6.322,,230.083
2011-06-28,8.51,32.518,190.364,41.273,12.196,21.805,9.608,,231.636
2011-06-29,8.279,31.982,188.417,39.583,10.837,15.498,4.66,,228.0
2011-06-30,9.089,27.156,190.208,44.792,12.375,19.27,6.896,,235.0
2011-07-01,3.797,32.442,188.917,35.667,7.458,10.188,2.729,,224.583
2011-07-02,5.494,51.932,206.042,37.75,9.854,12.729,2.875,,243.792
2011-07-03,7.609,44.599,215.583,40.917,16.334,21.042,4.708,,256.5
2011-07-04,4.929,22.872,212.75,31.792,8.152,9.696,1.544,,244.542
2011-07-05,4.898,21.682,229.87,32.043,5.938,6.542,0.604,,261.913
2011-07-06,6.224,40.672,244.792,43.75,19.875,22.833,2.958,,288.542
2011-07-07,3.724,15.406,240.75,40.75,10.667,19.042,8.375,,281.5
2011-07-08,7.187,33.328,254.25,39.375,13.0,25.812,12.812,,293.625
2011-07-09,7.169,25.741,262.292,34.75,9.708,13.146,3.438,,297.042
2011-07-10,7.162,18.197,266.083,29.25,7.729,10.688,2.958,,295.333
2011-07-11,6.115,17.382,271.917,31.083,7.999,11.554,3.555,,303.0
2011-07-12,5.3,16.026,277.833,31.667,9.118,13.73,4.612,,309.5
2011-07-13,6.599,20.344,,,10.542,15.0,4.458,,
2011-07-14,6.945,17.31,201.5,34.714,6.974,9.551,2.577,,236.214
