date,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,CO_mean
2011-11-16,20.292,29.292,9.0,4.125,12.542,
2011-11-17,23.609,43.304,19.696,6.0,23.917,
2011-11-18,23.826,27.87,4.043,5.0,23.333,
2011-11-19,30.042,57.25,27.208,3.0,19.708,
2011-11-20,9.917,11.458,1.542,3.375,13.833,
2011-11-21,17.417,20.417,3.0,3.083,7.667,
2011-11-22,30.458,45.25,14.792,4.083,13.125,
2011-11-23,26.625,38.708,12.083,4.167,20.417,
2011-11-24,12.435,14.565,2.13,4.0,11.375,
2011-11-25,18.957,23.913,4.957,3.125,7.217,
2011-11-26,26.292,44.0,17.708,4.0,10.708,
2011-11-27,26.375,38.583,12.208,4.833,20.375,
2011-11-28,29.708,49.083,19.375,4.833,30.875,
2011-11-29,43.091,88.0,44.909,7.19,43.364,
2011-11-30,26.333,67.917,41.583,5.583,33.542,
2011-12-01,7.043,8.478,1.435,3.5,6.083,
2011-12-02,15.913,18.522,2.609,3.217,7.417,
2011-12-03,12.75,15.042,2.292,3.125,5.792,
2011-12-04,10.625,12.125,1.5,2.875,7.667,
2011-12-05,21.333,33.042,11.708,3.417,12.125,
2011-12-06,29.5,44.333,14.833,4.0,16.625,
2011-12-07,35.333,76.208,40.875,5.792,23.667,
2011-12-08,34.826,51.913,17.087,4.625,21.75,
2011-12-09,12.0,13.391,1.391,3.458,7.417,
2011-12-10,22.625,29.958,7.333,3.792,10.458,
2011-12-11,21.042,28.667,7.625,3.833,14.25,
2011-12-12,33.13,66.739,33.609,5.565,26.391,
2011-12-13,25.833,61.667,35.833,4.542,19.708,
2011-12-14,34.208,58.208,24.0,5.792,20.5,
2011-12-15,31.174,77.348,46.174,6.75,30.25,
2011-12-16,15.0,18.174,3.174,3.652,9.417,
2011-12-17,15.542,18.708,3.167,3.0,5.833,
2011-12-18,14.583,17.333,2.75,3.208,11.043,
2011-12-19,23.333,30.75,7.417,3.417,13.875,
2011-12-20,26.375,34.417,8.042,3.708,9.833,
2011-12-21,34.5,56.167,21.667,7.375,24.042,
2011-12-22,32.696,66.087,33.391,8.125,33.417,
2011-12-23,10.739,12.739,2.0,3.042,5.0,
2011-12-24,23.25,38.458,15.208,4.958,10.333,
2011-12-25,11.792,13.75,1.958,3.208,6.696,
2011-12-26,17.708,22.875,5.167,3.042,4.833,
2011-12-27,23.417,31.833,8.417,3.083,6.875,
2011-12-28,38.75,86.375,47.625,4.625,14.125,
2011-12-29,25.957,55.609,29.652,6.304,21.208,
2011-12-30,8.478,9.304,0.826,3.375,7.708,
2011-12-31,19.5,25.958,6.458,3.292,8.292,
2012-01-01,17.688,20.646,2.958,4.188,13.583,4.958
2012-01-02,18.125,26.229,8.104,4.375,24.062,5.333
2012-01-03,6.77,8.104,1.334,3.5,8.27,3.042
2012-01-04,12.104,13.75,1.646,2.726,4.454,3.5
2012-01-05,30.491,43.254,12.763,3.75,9.646,5.667
2012-01-06,24.474,42.706,18.233,3.896,17.73,6.478
2012-01-07,40.479,85.688,45.208,5.271,25.48,8.708
2012-01-08,36.5,74.458,37.958,5.479,28.271,7.708
2012-01-09,32.542,63.396,30.854,5.416,21.167,6.125
2012-01-10,22.062,25.562,3.5,4.458,10.062,3.833
2012-01-11,24.792,31.333,6.542,3.97,10.454,4.125
2012-01-12,35.403,54.082,18.68,5.396,21.271,6.375
2012-01-13,34.836,53.383,18.547,5.854,34.666,7.783
2012-01-14,12.438,14.084,1.646,3.521,10.438,3.625
2012-01-15,16.125,18.78,2.655,4.292,13.666,3.833
2012-01-16,38.938,68.875,29.938,6.125,18.458,5.583
2012-01-17,18.312,20.708,2.396,5.188,18.958,4.208
2012-01-18,16.392,19.666,3.274,3.068,7.791,3.083
2012-01-19,31.384,59.006,27.622,5.188,19.188,6.208
2012-01-20,8.826,9.459,0.633,4.938,25.021,3.913
2012-01-21,30.834,41.688,10.854,4.271,26.062,5.417
2012-01-22,25.521,42.875,17.354,3.938,14.25,5.208
2012-01-23,16.312,21.188,4.875,3.875,8.104,3.125
2012-01-24,29.042,53.083,24.042,6.292,17.5,5.292
2012-01-25,14.062,17.125,3.062,6.296,18.223,3.958
2012-01-26,10.557,12.678,2.12,4.396,7.479,3.125
2012-01-27,13.128,14.99,1.862,4.208,11.416,3.783
2012-01-28,20.623,24.41,3.786,3.998,10.25,3.833
2012-01-29,40.739,63.817,23.078,6.334,21.77,6.522
2012-01-30,31.636,47.989,16.352,6.532,29.218,6.5
2012-01-31,35.833,66.604,30.77,5.542,25.604,7.208
2012-02-01,35.292,48.396,13.104,5.479,29.604,6.667
2012-02-02,23.516,34.132,10.616,4.646,22.021,5.292
2012-02-03,6.39,6.791,0.4,3.812,17.375,3.217
2012-02-04,30.094,54.07,23.976,4.11,22.703,6.0
2012-02-05,11.792,13.5,1.708,4.062,16.896,3.208
2012-02-06,29.646,40.458,10.812,3.812,12.73,4.792
2012-02-07,26.396,51.125,24.729,4.958,17.5,5.75
2012-02-08,12.396,15.062,2.667,3.148,7.668,3.125
2012-02-09,13.867,15.574,1.706,3.458,12.396,3.625
2012-02-10,22.921,31.106,8.186,5.292,21.188,5.0
2012-02-11,10.521,11.542,1.02,5.646,21.292,4.417
2012-02-12,22.536,27.157,4.62,3.762,19.375,4.125
2012-02-13,21.729,27.188,5.458,4.292,17.188,4.75
2012-02-14,31.208,46.958,15.75,4.521,16.125,5.042
2012-02-15,28.813,42.388,13.574,4.129,13.73,4.708
2012-02-16,9.0,10.388,1.386,3.104,8.812,3.125
2012-02-17,15.81,17.674,1.865,3.479,11.958,3.957
2012-02-18,31.396,53.438,22.042,3.096,9.833,5.958
2012-02-19,14.521,17.292,2.771,3.146,15.729,3.417
2012-02-20,24.979,36.375,11.396,4.021,14.688,4.25
2012-02-21,22.771,29.916,7.146,4.542,17.834,4.458
2012-02-22,37.438,53.458,16.021,6.852,29.918,6.667
2012-02-23,15.773,17.296,1.522,4.992,21.749,4.261
2012-02-24,10.026,11.17,1.144,3.792,11.834,3.304
2012-02-25,11.176,12.921,1.744,3.484,9.166,2.917
2012-02-26,16.729,18.962,2.234,4.792,20.438,3.917
2012-02-27,30.557,43.79,13.234,5.334,28.271,5.625
2012-02-28,42.575,61.212,18.638,6.322,27.479,6.043
2012-02-29,,,,,,
2012-03-01,39.598,64.612,25.014,5.174,25.91,6.917
2012-03-02,9.248,10.718,1.471,3.979,24.979,4.083
2012-03-03,7.67,8.343,0.673,3.188,14.625,2.957
2012-03-04,29.938,41.188,11.25,5.062,18.084,4.667
2012-03-05,32.0,40.52,8.521,8.208,40.5,5.917
2012-03-06,37.938,52.834,14.896,7.854,37.104,6.542
2012-03-07,37.621,47.975,10.354,9.166,33.854,5.417
2012-03-08,31.538,43.866,12.329,10.744,50.354,5.75
2012-03-09,38.304,46.87,8.565,13.396,70.479,6.667
2012-03-10,23.125,26.125,3.0,8.5,47.458,5.478
2012-03-11,13.133,14.438,1.306,4.623,12.375,2.875
2012-03-12,31.146,38.021,6.875,8.208,19.334,4.708
2012-03-13,30.396,37.875,7.479,7.48,23.75,4.75
2012-03-14,6.75,7.292,0.542,3.582,14.188,2.833
2012-03-15,37.27,53.188,15.916,6.062,17.98,5.583
2012-03-16,31.196,55.446,24.25,8.582,29.958,6.5
2012-03-17,19.614,20.764,1.152,8.854,45.125,5.696
2012-03-18,31.674,45.392,13.718,5.634,41.85,5.375
2012-03-19,26.042,30.916,4.875,7.916,34.042,5.375
2012-03-20,25.292,28.521,3.229,5.688,42.75,4.958
2012-03-21,8.041,9.292,1.25,3.958,8.646,2.875
2012-03-22,24.396,28.958,4.562,6.402,15.761,3.792
2012-03-23,15.156,16.75,1.594,5.708,24.0,3.583
2012-03-24,12.498,13.694,1.196,5.75,23.646,3.783
2012-03-25,7.146,7.729,0.584,4.438,19.542,3.125
2012-03-26,11.051,11.898,0.846,3.742,15.346,3.421
2012-03-27,18.438,20.896,2.458,4.005,18.188,4.042
2012-03-28,15.562,18.916,3.354,3.584,17.542,4.167
2012-03-29,21.37,41.574,20.203,5.33,28.582,5.75
2012-03-30,6.551,7.576,1.025,4.208,16.917,3.0
