date,NO2_mean,NOX_mean,NO_mean,SPM_mean,PM25_mean
2011-11-11,20.0625,30.5625,10.5,11.208,19.25
2011-11-12,14.354,22.375,8.0205,12.604,20.417
2011-11-13,12.0835,14.3955,2.3125,34.8545,43.5
2011-11-14,16.13,19.695500000000003,3.5655,36.5,43.042
2011-11-15,22.333,29.333,7.0,16.630499999999998,19.143
2011-11-16,15.625,19.8125,4.1875,7.2915,9.0
2011-11-17,21.875,28.9165,7.042,15.521,17.833
2011-11-18,9.604,11.625,2.021,10.0835,11.208
2011-11-19,12.0625,17.5625,5.5,7.2915,14.5
2011-11-20,6.125,7.604,1.479,6.771,10.375
2011-11-21,13.565,17.7825,4.2175,2.1875,2.833
2011-11-22,18.5415,25.604,7.0625,6.042,9.292
2011-11-23,9.0,11.0415,2.042,19.1875,22.25
2011-11-24,9.146,11.729,2.583,3.1875,5.0
2011-11-25,18.7915,28.021,9.2295,10.104,12.25
2011-11-26,23.8125,31.875,8.0625,16.354,18.875
2011-11-27,15.1875,18.0,2.8125,29.75,29.917
2011-11-28,22.4345,39.348,16.913,23.646,27.667
2011-11-29,26.458,45.8335,19.375,22.75,29.417
2011-11-30,19.6665,33.708,14.0415,24.7295,30.292
2011-12-01,12.229,18.5625,6.3335,0.45799999999999996,2.625
2011-12-02,18.125,24.3125,6.1875,2.208,6.25
2011-12-03,11.25,14.896,3.646,1.0625,4.125
2011-12-04,8.0625,10.4375,2.375,5.354,7.75
2011-12-05,19.609,28.522,8.913,14.6045,18.458
2011-12-06,21.9375,30.896,8.9585,14.667,19.208
2011-12-07,22.25,39.7085,17.458,16.979,24.458
2011-12-08,17.271,24.479,7.208,18.729,26.0
2011-12-09,7.583,8.9375,1.354,7.5625,9.792
2011-12-10,8.1455,9.4375,1.292,8.354,12.417
2011-12-11,12.4165,14.667,2.25,20.1455,25.292
2011-12-12,21.9565,38.0215,16.065,26.604,31.958
2011-12-13,22.0,34.6875,12.6875,25.979,29.167
2011-12-14,21.4795,28.2705,6.792,22.6665,29.542
2011-12-15,17.8335,23.9585,6.125,23.6385,25.579
2011-12-16,9.2295,12.354,3.125,2.9619999999999997,3.15
2011-12-17,16.3955,21.7085,5.3125,7.479,7.125
2011-12-18,13.583,15.3955,1.8125,18.1455,14.5
2011-12-19,14.065,17.478,3.413,5.854,5.25
2011-12-20,23.875,35.0625,11.1875,12.4375,10.167
2011-12-21,25.8125,36.292,10.4795,25.375,21.0
2011-12-22,14.8125,17.75,2.9375,23.9585,17.75
2011-12-23,13.4375,16.4375,3.0,3.1045,3.583
2011-12-24,14.521,19.458,4.9375,11.4165,9.375
2011-12-25,5.896,7.604,1.7080000000000002,4.0205,4.917
2011-12-26,12.152000000000001,16.413,4.261,4.5835,5.333
2011-12-27,20.3125,27.7915,7.4795,8.646,7.0
2011-12-28,23.75,37.5,13.75,11.354,10.083
2011-12-29,20.292,26.5,6.2085,19.979,16.417
2011-12-30,19.875,24.5625,4.6875,15.5,13.375
2011-12-31,13.979,15.542,1.5625,7.5205,7.5
2012-01-01,6.3545,6.7085,0.354,14.229,12.375
2012-01-02,8.0625,8.8125,0.75,23.625,20.625
2012-01-03,6.896,8.2915,1.3955000000000002,3.5625,5.625
2012-01-04,13.792,16.0,2.2085,5.4375,6.292
2012-01-05,14.0625,16.5,2.4375,6.8335,7.25
2012-01-06,13.0625,14.521,1.458,14.2085,14.458
2012-01-07,19.2175,23.174,3.9565,24.0625,23.333
2012-01-08,25.375,34.5625,9.1875,24.7705,22.417
2012-01-09,17.8545,24.4375,6.5835,25.0205,23.208
2012-01-10,11.782499999999999,15.3045,3.5220000000000002,4.9510000000000005,6.739
2012-01-11,24.75,34.3125,9.5625,8.25,5.917
2012-01-12,22.542,29.667,7.125,15.667000000000002,9.667
2012-01-13,22.0835,27.5835,5.5,25.375,16.875
2012-01-14,13.0,15.326,2.3265,19.354,12.833
2012-01-15,14.5835,19.4375,4.854,24.5625,17.917
2012-01-16,18.3125,22.1875,3.875,26.3125,22.125
2012-01-17,13.625,16.2705,2.6455,28.125,22.333
2012-01-18,16.4375,21.396,4.9585,13.2705,9.792
2012-01-19,16.75,20.5415,3.7915,14.375,16.792
2012-01-20,14.1665,17.25,3.0835,18.875,17.333
2012-01-21,15.217500000000001,19.043499999999998,3.826,20.854,17.917
2012-01-22,13.229,16.8335,3.604,9.479,2.333
2012-01-23,18.6305,21.9565,3.3265000000000002,7.021,1.632
2012-01-24,13.146,19.104,5.9585,27.7295,22.75
2012-01-25,6.6455,8.271,1.625,14.729,9.958
2012-01-26,7.7085,8.7295,1.021,27.0205,20.583
2012-01-27,8.5205,9.4375,0.917,7.6875,2.375
2012-01-28,11.282499999999999,13.239,1.9565000000000001,4.792,0.5
2012-01-29,20.417,24.479,4.0625,14.4165,12.708
2012-01-30,24.6665,30.396,5.7295,29.5415,27.5
2012-01-31,29.542,36.2295,6.6875,44.4165,41.833
2012-02-01,17.229,19.7705,2.5415,30.375,24.875
2012-02-02,12.7085,15.020499999999998,2.3125,19.125,12.125
2012-02-03,15.458,17.646,2.1875,10.3125,6.583
2012-02-04,14.565000000000001,16.9785,2.413,18.4375,9.583
2012-02-05,21.583,25.667,4.083,16.9165,9.458
2012-02-06,14.9375,19.417,4.4795,14.4565,9.833
2012-02-07,6.25,7.667,1.4165,15.704,11.913
2012-02-08,12.2085,17.5625,5.354,5.375,2.542
2012-02-09,12.854,16.0625,3.2085,8.875,6.042
2012-02-10,11.125,12.375,1.25,18.0205,13.875
2012-02-11,13.087,15.761,2.674,19.021,12.333
2012-02-12,27.0205,39.979,12.9585,20.5205,9.792
2012-02-13,14.4375,19.0625,4.625,20.5415,16.818
2012-02-14,22.6665,30.5625,7.896,17.6455,15.875
2012-02-15,19.4165,23.083,3.6665,17.2295,16.417
2012-02-16,15.604,19.2295,3.625,10.2915,8.917
2012-02-17,12.4375,14.8125,2.375,11.0625,7.458
2012-02-18,14.9785,19.174,4.196,13.667000000000002,5.417
2012-02-19,17.625,24.125,6.5,8.771,5.375
2012-02-20,11.3475,14.3045,2.9565,3.539,-0.217
2012-02-21,18.3125,22.6455,4.333,27.5,27.458
