area_code,Total population (Both sexes),Total population (Male),Total population (Female),Total population (under 15),"Population (under 15, Male)","Population (under 15, Female)",Total population (15-64),"Population (15-64, Male)","Population (15-64, Female)",Total population (65 and over),"Population (65 and over, Male)","Population (65 and over, Female)","Population (0-5, Total)","Population (0-5, Male)","Population (0-5, Female)","Population (60 and over, Total)","Population (60 and over, Male)","Population (60 and over, Female)","Population (70 and over, Total)","Population (70 and over, Male)","Population (70 and over, Female)","Population (85 and over, Total)","Population (85 and over, Male)","Population (85 and over, Female)"
01645,3182,1523,1659,317,169,148,1659,839,820,1206,515,691,95,54,41,1471,640,831,932,384,548,237,86,151
01646,7358,3615,3743,734,379,355,3821,2030,1791,2802,1206,1596,259,141,118,3466,1529,1937,2089,872,1217,474,171,303
01647,6990,3380,3610,807,425,382,3533,1824,1709,2648,1129,1519,286,155,131,3220,1418,1802,1985,821,1164,480,167,313
01648,2482,1253,1229,247,122,125,1311,740,571,923,390,533,96,49,47,1133,507,626,699,301,398,184,63,121
01649,4919,2361,2558,524,261,263,2532,1313,1219,1861,785,1076,217,110,107,2333,1019,1314,1385,565,820,332,120,212
01661,19833,9373,10460,2438,1255,1183,12442,6027,6415,4953,2091,2862,869,438,431,6667,2933,3734,3368,1344,2024,654,176,478
01662,9778,4628,5150,1102,567,535,5564,2774,2790,3105,1280,1825,399,213,186,3931,1681,2250,2340,935,1405,480,160,320
01663,6061,2954,3107,804,387,417,3516,1811,1705,1741,756,985,293,151,142,2264,1033,1231,1269,527,742,317,112,205
01664,7742,3717,4025,991,480,511,4313,2189,2124,2436,1046,1390,356,184,172,3082,1355,1727,1829,747,1082,434,159,275
01665,7758,3679,4079,807,410,397,4113,2067,2046,2838,1202,1636,285,156,129,3526,1541,1985,2108,860,1248,465,140,325
01667,2534,1234,1300,325,168,157,1381,718,663,809,338,471,84,40,44,1033,451,582,593,236,357,158,48,110
01668,8068,3752,4316,757,392,365,4329,2109,2220,2981,1250,1731,253,125,128,3745,1613,2132,2152,866,1286,370,117,253
01691,15273,7687,7586,2338,1191,1147,9177,4843,4334,3746,1646,2100,868,453,415,5004,2296,2708,2620,1100,1520,617,225,392
01692,23774,11628,12146,3563,1802,1761,14625,7330,7295,5491,2439,3052,1315,634,681,7257,3250,4007,3855,1625,2230,748,258,490
01693,5242,2565,2677,676,325,351,3064,1593,1471,1498,643,855,231,115,116,1915,850,1065,1045,424,621,204,59,145
01694,5415,2697,2718,648,335,313,3334,1761,1573,1433,601,832,233,113,120,1891,830,1061,1058,419,639,204,76,128
02201,287648,133560,154088,32528,16572,15956,168992,81505,87487,80297,32265,48032,11438,5785,5653,102070,42431,59639,56490,21307,35183,11166,3030,8136
02202,177411,81367,96044,19410,9961,9449,105062,50315,54747,51830,20483,31347,6941,3566,3375,64916,26549,38367,37446,13883,23563,8033,2106,5927
02203,231257,110493,120764,28122,14433,13689,136712,67816,68896,63614,26596,37018,10198,5238,4960,81410,35214,46196,44861,17813,27048,8164,2270,5894
02204,34284,15834,18450,3864,1964,1900,20215,9824,10391,10178,4034,6144,1362,695,667,13038,5351,7687,7240,2625,4615,1507,374,1133
02205,55181,24979,30202,6007,3023,2984,31606,14938,16668,17433,6924,10509,2046,1032,1014,21912,9006,12906,12982,4864,8118,2558,688,1870
02206,63429,30084,33345,7325,3776,3549,37028,18395,18633,18850,7826,11024,2580,1328,1252,24120,10356,13764,13296,5153,8143,2797,764,2033
02207,40196,19852,20344,5791,2980,2811,24779,12915,11864,9478,3847,5631,2258,1185,1073,12307,5278,7029,6938,2633,4305,1497,428,1069
02208,58493,28057,30436,7007,3562,3445,33885,17164,16721,17326,7165,10161,2537,1308,1229,22212,9453,12759,12292,4778,7514,2501,645,1856
02209,33316,15547,17769,3474,1780,1694,18309,9174,9135,11507,4577,6930,1112,563,549,14276,5905,8371,8710,3233,5477,2095,589,1506
02210,32106,14876,17230,3634,1850,1784,18384,9012,9372,10085,4012,6073,1277,650,627,12729,5285,7444,7412,2783,4629,1660,437,1223
02301,11142,5275,5867,1072,554,518,6123,3076,3047,3946,1644,2302,372,184,188,5075,2187,2888,2763,1030,1733,580,162,418
