area_code,Total population (Both sexes),Total population (Male),Total population (Female),Total population (under 15),"Population (under 15, Male)","Population (under 15, Female)",Total population (15-64),"Population (15-64, Male)","Population (15-64, Female)",Total population (65 and over),"Population (65 and over, Male)","Population (65 and over, Female)","Population (0-5, Total)","Population (0-5, Male)","Population (0-5, Female)","Population (60 and over, Total)","Population (60 and over, Male)","Population (60 and over, Female)","Population (70 and over, Total)","Population (70 and over, Male)","Population (70 and over, Female)","Population (85 and over, Total)","Population (85 and over, Male)","Population (85 and over, Female)"
21210,51073,24673,26400,6364,3314,3050,28033,14256,13777,16620,7057,9563,2272,1194,1078,20470,8929,11541,12263,4883,7380,3274,988,2286
21211,55384,27362,28022,8511,4294,4217,33964,17227,16737,12349,5500,6849,3360,1671,1689,15477,7051,8426,8787,3699,5088,2028,638,1390
21212,57827,27812,30015,7118,3647,3471,33018,16514,16504,17548,7587,9961,2558,1314,1244,21543,9573,11970,12836,5312,7524,2539,761,1778
21213,144690,71167,73523,20266,10340,9926,85901,43196,42705,38131,17354,20777,7517,3865,3652,47312,21609,25703,26278,11726,14552,4450,1429,3021
21214,98695,48636,50059,13756,7055,6701,59429,29637,29792,25000,11681,13319,5192,2684,2508,31888,14952,16936,16587,7592,8995,2887,940,1947
21215,27114,13019,14095,3055,1577,1478,15503,7619,7884,8544,3818,4726,943,496,447,10837,4939,5898,6055,2558,3497,1317,430,887
21216,54354,27181,27173,8755,4551,4204,34554,17536,17018,10557,4793,5764,3661,1912,1749,13573,6277,7296,7136,3147,3989,1240,382,858
21217,24696,11791,12905,2866,1443,1423,12589,6409,6180,9237,3935,5302,959,456,503,11056,4807,6249,7024,2824,4200,1681,501,1180
21218,33995,16534,17461,4849,2493,2356,19665,9846,9819,9442,4176,5266,1574,800,774,11855,5321,6534,6542,2758,3784,1404,415,989
21219,42090,20396,21694,5218,2667,2551,22222,11334,10888,14604,6362,8242,1859,919,940,17951,8038,9913,11179,4633,6546,3107,1033,2074
21220,33585,16008,17577,3830,1985,1845,17160,8618,8542,12560,5379,7181,1336,682,654,15099,6623,8476,9577,3905,5672,2418,783,1635
21221,35206,17154,18052,4062,2039,2023,20889,10454,10435,10246,4653,5593,1314,656,658,13280,6164,7116,7041,3028,4013,1429,458,971
21302,24622,12004,12618,3695,1889,1806,15425,7596,7829,5311,2424,2887,1583,796,787,6643,3065,3578,3667,1619,2048,591,183,408
21303,22750,10662,12088,3118,1575,1543,13423,6427,6996,6157,2623,3534,1193,620,573,7445,3227,4218,4516,1849,2667,863,253,610
21341,29029,14139,14890,3622,1871,1751,16999,8514,8485,8381,3735,4646,1190,632,558,10806,4943,5863,5760,2413,3347,1193,362,831
21361,27556,13509,14047,3742,1957,1785,15973,8021,7952,7802,3502,4300,1261,685,576,9800,4480,5320,5442,2349,3093,1194,358,836
21362,7419,3616,3803,749,377,372,3988,2021,1967,2682,1218,1464,235,127,108,3286,1500,1786,1941,838,1103,439,143,296
21381,19282,9458,9824,2489,1268,1221,11156,5598,5558,5633,2589,3044,869,433,436,7067,3266,3801,3874,1726,2148,659,203,456
21382,9973,4883,5090,1511,749,762,6132,3111,3021,2299,1008,1291,572,300,272,3008,1362,1646,1570,640,930,383,91,292
21383,14752,7278,7474,2190,1094,1096,8684,4422,4262,3851,1753,2098,731,358,373,4816,2240,2576,2646,1164,1482,492,163,329
21401,21503,10248,11255,2390,1209,1181,11545,5761,5784,7567,3277,4290,764,394,370,9327,4149,5178,5487,2229,3258,1300,404,896
21403,23453,11423,12030,3452,1790,1662,13933,6930,7003,6043,2690,3353,1117,580,537,7695,3462,4233,4152,1784,2368,850,276,574
21404,24347,11817,12530,3564,1809,1755,14297,7166,7131,6477,2836,3641,1260,656,604,8083,3625,4458,4568,1922,2646,962,292,670
21421,18169,8662,9507,2697,1391,1306,11443,5511,5932,4028,1759,2269,996,531,465,5112,2275,2837,2799,1158,1641,493,165,328
21501,8202,4291,3911,1041,555,486,5107,2779,2328,2020,924,1096,405,215,190,2648,1242,1406,1342,571,771,305,91,214
21502,5564,2682,2882,738,391,347,3198,1569,1629,1626,720,906,298,150,148,2035,921,1114,1142,469,673,292,88,204
21503,10197,4973,5224,1318,680,638,5814,2927,2887,3043,1352,1691,494,247,247,3771,1716,2055,2235,932,1303,573,194,379
21504,3876,1825,2051,341,173,168,1914,953,961,1620,698,922,103,51,52,1975,877,1098,1236,509,727,343,115,228
21505,11027,5291,5736,1146,587,559,5839,2949,2890,4036,1752,2284,386,199,187,4969,2216,2753,3025,1247,1778,767,283,484
21506,8392,3957,4435,780,386,394,4006,2020,1986,3606,1551,2055,243,120,123,4335,1946,2389,2817,1138,1679,837,286,551
21507,2261,1076,1185,244,125,119,1064,545,519,953,406,547,81,42,39,1137,489,648,760,304,456,184,70,114
21521,18111,8947,9164,2210,1165,1045,10700,5435,5265,5152,2318,2834,797,440,357,6615,3047,3568,3617,1528,2089,803,240,563
21604,1609,789,820,230,109,121,868,452,416,511,228,283,87,45,42,620,269,351,369,154,215,82,23,59
22100,704989,343338,361651,85299,43798,41501,415466,209891,205575,200229,86792,113437,32040,16511,15529,247677,110166,137511,144543,59991,84552,29074,8722,20352
22101,253593,121761,131832,31096,15972,15124,147341,73209,74132,74152,31911,42241,11772,6073,5699,91610,40462,51148,53985,22335,31650,11432,3410,8022
22102,212419,105257,107162,26509,13671,12838,130564,66801,63763,53531,23473,30058,10355,5360,4995,66661,29942,36719,38428,16201,22227,7431,2308,5123
22103,238977,116320,122657,27694,14155,13539,137561,69881,67680,72546,31408,41138,9913,5078,4835,89406,39762,49644,52130,21455,30675,10211,3004,7207
22130,797980,395509,402471,107411,55452,51959,473435,242447,230988,208355,92451,115904,40803,21052,19751,260698,118620,142078,149829,63560,86269,32053,10121,21932
22131,237443,118259,119184,29534,15112,14422,144553,74413,70140,57891,25417,32474,11414,5831,5583,72720,32830,39890,41373,17408,23965,7920,2610,5310
22132,128555,63832,64723,18520,9667,8853,77166,39402,37764,31430,13999,17431,7258,3800,3458,39284,17931,21353,22354,9584,12770,4323,1296,3027
22133,111353,54982,56371,16164,8318,7846,65475,33485,31990,29420,12980,16440,5763,2930,2833,36594,16557,20037,21177,8878,12299,4774,1381,3393
22134,100870,50443,50427,13520,6957,6563,60084,31075,29009,26262,11866,14396,5039,2569,2470,32722,15085,17637,18671,8195,10476,3382,1064,2318
22135,93567,45885,47682,12375,6443,5932,54597,27657,26940,26335,11627,14708,4652,2378,2274,33205,15050,18155,19001,7890,11111,4982,1551,3431
22136,95900,47517,48383,14820,7698,7122,56496,28559,27937,24274,11090,13184,5856,3123,2733,30712,14249,16463,17257,7569,9688,3772,1270,2502
22137,30292,14591,15701,2478,1257,1221,15064,7856,7208,12743,5472,7271,821,421,400,15461,6918,8543,9996,4036,5960,2900,949,1951
22203,195633,95980,99653,22389,11394,10995,115320,59319,56001,57076,24681,32395,7867,4026,3841,71035,31621,39414,40904,16819,24085,8042,2359,5683
22205,37544,16926,20618,2666,1352,1314,18077,8903,9174,16742,6641,10101,923,463,460,19623,8018,11605,12560,4730,7830,2684,795,1889
22206,110046,53836,56210,14217,7274,6943,65811,33296,32515,29366,12863,16503,5263,2707,2556,37014,16643,20371,20838,8875,11963,3676,1125,2551
22207,130770,64281,66489,17681,9143,8538,77294,39400,37894,34921,15206,19715,6406,3291,3115,44563,19950,24613,24455,10146,14309,4954,1428,3526
22208,68345,31828,36517,6829,3464,3365,33849,16527,17322,26762,11360,15402,2304,1171,1133,31845,13690,18155,19401,7928,11473,3575,995,2580
22209,98112,47806,50306,12778,6538,6240,56193,28404,27789,28840,12701,16139,4738,2422,2316,35916,16234,19682,20950,8837,12113,4905,1543,3362
22210,248399,121901,126498,33258,16861,16397,148073,75388,72685,64166,27993,36173,12001,6068,5933,80993,36519,44474,45483,18974,26509,8399,2496,5903
22211,167210,84130,83080,22848,11741,11107,99905,52118,47787,43711,19801,23910,8650,4468,4182,55804,25905,29899,30444,13181,17263,6486,2045,4441
22212,139462,68168,71294,18420,9614,8806,81840,41072,40768,38648,17183,21465,6684,3417,3267,48159,21741,26418,27316,11740,15576,5270,1636,3634
22213,114602,57126,57476,16060,8277,7783,69041,35499,33542,29096,13082,16014,6213,3187,3026,37724,17482,20242,20527,8639,11888,5007,1575,3432
22214,143605,70049,73556,19303,9843,9460,84051,41890,42161,39753,18037,21716,7415,3710,3705,50109,22931,27178,28003,12353,15650,5515,1813,3702
22215,88078,45159,42919,12995,6654,6341,54185,29089,25096,20244,8984,11260,4928,2506,2422,25827,11760,14067,14508,6154,8354,2927,935,1992
22216,85789,43206,42583,13001,6735,6266,52667,27334,25333,18997,8522,10475,5169,2681,2488,24783,11509,13274,13117,5516,7601,2908,903,2005
22219,22916,11009,11907,2234,1153,1081,11658,5986,5672,8848,3756,5092,759,392,367,10667,4648,6019,6469,2601,3868,1401,423,978
22220,52737,26837,25900,7672,3856,3816,32448,17179,15269,12384,5679,6705,3137,1572,1565,16004,7453,8551,8565,3783,4782,1571,494,1077
22221,59789,30550,29239,8080,4127,3953,36227,19262,16965,15079,6870,8209,2965,1512,1453,19080,8868,10212,10459,4545,5914,2145,685,1460
22222,31317,14837,16480,2933,1454,1479,16489,8259,8230,11752,5048,6704,933,453,480,14493,6383,8110,8597,3464,5133,2117,614,1503
22223,32578,16499,16079,4171,2127,2044,19139,10184,8955,8767,3887,4880,1533,777,756,11237,5180,6057,6126,2538,3588,1540,468,1072
22224,46763,23488,23275,6755,3409,3346,28176,14626,13550,11682,5351,6331,2616,1313,1303,15100,7044,8056,8150,3503,4647,1993,661,1332
22225,48152,23031,25121,5889,3062,2827,27334,13474,13860,14788,6410,8378,2101,1066,1035,18311,8113,10198,10400,4302,6098,2162,618,1544
22226,45547,22331,23216,5632,2868,2764,26685,13735,12950,13137,5681,7456,2100,1069,1031,16695,7497,9198,9489,3847,5642,2505,755,1750
22301,12624,5929,6695,1065,528,537,6206,3064,3142,5348,2334,3014,322,146,176,6469,2867,3602,3845,1580,2265,772,241,531
22302,7303,3512,3791,793,380,413,3600,1851,1749,2910,1281,1629,262,145,117,3549,1602,1947,2136,908,1228,526,182,344
22304,8524,4054,4470,824,419,405,3956,1990,1966,3744,1645,2099,264,124,140,4565,2033,2532,2704,1102,1602,721,229,492
22305,6837,3223,3614,627,326,301,3258,1641,1617,2949,1253,1696,203,96,107,3557,1552,2005,2206,900,1306,543,179,364
22306,8234,3864,4370,666,344,322,3661,1838,1823,3906,1681,2225,181,94,87,4662,2043,2619,2943,1222,1721,741,244,497
22325,37661,18301,19360,4712,2456,2256,21587,10768,10819,11315,5045,6270,1784,943,841,14087,6348,7739,7879,3391,4488,1430,398,1032
22341,32118,15573,16545,4609,2385,2224,19571,9733,9838,7790,3360,4430,1721,881,840,9607,4251,5356,5623,2358,3265,995,293,702
22342,42331,21229,21102,6862,3452,3410,26348,13699,12649,8932,3970,4962,2776,1420,1356,11135,5065,6070,6458,2799,3659,1129,382,747
22344,19497,10386,9111,2377,1250,1127,11929,6845,5084,5092,2225,2867,892,461,431,6515,2963,3552,3717,1537,2180,854,268,586
22424,29093,14422,14671,4216,2165,2051,17672,9095,8577,6924,2993,3931,1540,786,754,8866,3967,4899,4852,1972,2880,1080,294,786
22429,7192,3532,3660,535,265,270,3335,1801,1534,3321,1465,1856,195,90,105,3899,1771,2128,2653,1099,1554,773,276,497
22461,18528,9143,9385,2277,1198,1079,10518,5438,5080,5709,2492,3217,796,425,371,7270,3294,3976,4281,1750,2531,1185,385,800
23100,2295638,1133640,1161998,282497,144830,137667,1429795,730108,699687,545210,237737,307473,113659,58352,55307,675726,303158,372568,388393,161098,227295,71203,21624,49579
23101,164696,80513,84183,18661,9492,9169,102073,51701,50372,37411,15528,21883,7643,3881,3762,46612,19984,26628,26511,10465,16046,5151,1583,3568
23102,78043,37265,40778,7917,4117,3800,47484,23190,24294,17445,7312,10133,3499,1814,1685,21842,9479,12363,12194,4792,7402,2347,712,1635
23103,163579,79474,84105,18473,9394,9079,99012,50107,48905,44928,19226,25702,7358,3748,3610,55133,24313,30820,32513,13202,19311,6051,1825,4226
23104,149098,73955,75143,17549,9007,8542,94026,48622,45404,35211,15233,19978,7228,3670,3558,43430,19437,23993,25621,10492,15129,4341,1281,3060
23105,133206,67601,65605,12897,6630,6267,82689,43987,38702,36114,15961,20153,5547,2835,2712,43942,20062,23880,26294,10982,15312,4892,1508,3384
23106,83203,40684,42519,5726,2809,2917,56900,29444,27456,16877,6713,10164,2790,1379,1411,21205,8909,12296,11882,4345,7537,2512,682,1830
23107,107170,53635,53535,11714,6068,5646,68438,35540,32898,24613,10514,14099,4881,2569,2312,30485,13510,16975,17826,7120,10706,3908,1182,2726
23108,105357,50762,54595,12743,6522,6221,64779,32186,32593,26997,11692,15305,5055,2617,2438,33337,14901,18436,19297,7923,11374,3981,1258,2723
23109,65895,32545,33350,6633,3379,3254,39848,20427,19421,16721,7218,9503,2762,1406,1356,20801,9329,11472,11954,4863,7091,2395,728,1667
23110,220281,109245,111036,28373,14630,13743,137358,70289,67069,52140,23035,29105,11263,5790,5473,64326,29170,35156,37133,15671,21462,6284,1882,4402
23111,146745,73673,73072,18290,9358,8932,90262,47094,43168,37307,16653,20654,6521,3384,3137,46576,21399,25177,26117,11066,15051,4429,1233,3196
23112,136935,69355,67580,14991,7680,7311,82244,43600,38644,39018,17788,21230,5908,3031,2877,48157,22607,25550,27992,12069,15923,5158,1575,3583
23113,172845,85555,87290,25787,13158,12629,105138,53609,51529,40782,18018,22764,10343,5224,5119,50099,22582,27517,28931,12317,16614,5074,1557,3517
23114,241822,119098,122724,37957,19605,18352,150863,75500,75363,51818,23430,28388,14957,7779,7178,65082,29840,35242,35962,15732,20230,5917,1864,4053
23115,164080,79203,84877,23865,12170,11695,104300,51206,53094,33483,14337,19146,9508,4849,4659,41933,18339,23594,23621,9704,13917,4503,1408,3095
23116,162683,81077,81606,20921,10811,10110,104381,53606,50775,34345,15079,19266,8396,4376,4020,42766,19297,23469,24545,10355,14190,4260,1346,2914
23201,374765,187801,186964,52524,26901,25623,230340,119403,110937,89758,40046,49712,19967,10250,9717,112915,51540,61375,62254,26496,35758,11884,3677,8207
23202,381051,192771,188280,56430,29073,27357,240554,125076,115478,81907,37244,44663,22539,11583,10956,105238,48857,56381,55658,24204,31454,10492,3229,7263
23203,380868,185869,194999,52948,27148,25800,227596,113223,114373,97058,43397,53661,19183,9995,9188,119902,54503,65399,68872,30076,38796,10794,3369,7425
23204,129046,63189,65857,16575,8422,8153,75384,38165,37219,36066,16084,19982,5942,3017,2925,44304,20026,24278,25310,11024,14286,4176,1231,2945
23205,116908,58444,58464,16261,8476,7785,73218,37620,35598,26728,11870,14858,5951,3108,2843,33543,15337,18206,18701,8016,10685,3372,969,2403
23206,306508,151955,154553,43271,22064,21207,185242,94017,91225,75000,34302,40698,16815,8621,8194,92385,42523,49862,52045,23439,28606,7777,2461,5316
23207,182436,90869,91567,26153,13345,12808,110203,56759,53444,45256,20221,25035,9996,5091,4905,56436,25668,30768,31482,13569,17913,5986,1815,4171
23208,63431,30880,32551,8007,4098,3909,37568,18905,18663,17628,7742,9886,2610,1383,1227,21573,9682,11891,12623,5393,7230,2215,631,1584
23209,71346,36623,34723,10330,5394,4936,44563,23808,20755,16182,7219,8963,3772,1936,1836,20570,9461,11109,11684,4903,6781,2326,719,1607
23210,149765,78456,71309,21942,11232,10710,98318,53572,44746,28303,12972,15331,9203,4676,4527,36064,16872,19192,19203,8444,10759,3358,1010,2348
23211,422542,222169,200373,60357,31060,29297,272081,148022,124059,87315,41211,46104,23219,11941,11278,112333,53454,58879,57656,26317,31339,9788,3180,6608
23212,184140,94073,90067,28829,14860,13969,118563,62452,56111,35936,16373,19563,11266,5788,5478,45887,21263,24624,24397,10654,13743,4217,1376,2841
23213,167990,84669,83321,24236,12431,11805,103106,53883,49223,40211,18045,22166,9230,4718,4512,50978,23450,27528,28007,11895,16112,5633,1711,3922
23214,81100,40230,40870,10397,5592,4805,47709,24608,23101,22677,9877,12800,3678,1899,1779,27643,12351,15292,16394,6890,9504,3067,935,2132
23215,74308,36949,37359,9851,4986,4865,43519,22368,21151,20670,9386,11284,3417,1701,1716,25235,11512,13723,14578,6552,8026,2512,816,1696
23216,56547,27629,28918,8135,4128,4007,33202,16774,16428,14143,6199,7944,3286,1691,1595,17334,7789,9545,10301,4328,5973,2001,623,1378
23217,98359,48035,50324,13334,6838,6496,58122,28878,29244,25805,11652,14153,4709,2387,2322,31779,14503,17276,18208,8049,10159,2759,885,1874
23219,149462,75430,74032,20267,10327,9940,89973,46390,43583,33816,15601,18215,7749,3943,3806,42623,19853,22770,23055,10433,12622,3343,1045,2298
23220,136867,67500,69367,18437,9527,8910,83165,41939,41226,34642,15731,18911,7054,3640,3414,43400,20003,23397,24137,10680,13457,4063,1332,2731
23221,47133,23138,23995,5536,2871,2665,26055,13276,12779,15371,6876,8495,1888,973,915,19194,8763,10431,11183,4712,6471,2834,926,1908
23222,111944,58170,53774,17325,8935,8390,69662,37773,31889,23735,10784,12951,7023,3640,3383,29651,13824,15827,16731,7362,9369,2552,871,1681
23223,89157,45390,43767,13915,7006,6909,54984,28742,26242,18427,8525,9902,5735,2875,2860,22993,10729,12264,12714,5745,6969,2066,703,1363
23224,84617,42428,42189,11829,6090,5739,50839,26071,24768,21432,9998,11434,4271,2230,2041,27052,12762,14290,14699,6823,7876,2215,739,1476
23225,70501,36667,33834,10164,5289,4875,45714,24543,21171,13414,6107,7307,4161,2158,2003,16879,7936,8943,9319,4144,5175,1551,509,1042
23226,80787,39251,41536,11504,5852,5652,48186,23733,24453,19920,9030,10890,4154,2104,2050,24652,11203,13449,13853,6142,7711,2280,737,1543
23227,46236,23889,22347,7459,3849,3610,29818,16017,13801,8750,3898,4852,2810,1427,1383,11032,5072,5960,6255,2646,3609,1166,372,794
23228,47562,23695,23867,6100,3121,2979,29672,15154,14518,11361,5211,6150,2442,1241,1201,14313,6682,7631,7889,3551,4338,1109,378,731
23229,69127,34879,34248,9047,4715,4332,42605,22005,20600,17047,7884,9163,3411,1774,1637,21128,9874,11254,11974,5408,6566,1842,577,1265
23230,87977,43723,44254,14347,7302,7045,55182,27894,27288,17230,7743,9487,5899,2985,2914,21376,9727,11649,12197,5407,6790,2154,653,1501
23231,62364,31908,30456,8164,4291,3873,37946,20333,17613,15960,7108,8852,3087,1621,1466,20275,9329,10946,11394,4732,6662,2810,889,1921
23232,63088,30678,32410,8108,4186,3922,36473,18049,18424,18448,8411,10037,2591,1345,1246,22500,10320,12180,12987,5808,7179,2136,684,1452
23233,67327,33820,33507,9534,4789,4745,41834,21747,20087,15377,6926,8451,4011,2042,1969,19217,8832,10385,10801,4701,6100,1770,587,1183
23234,84133,42010,42123,12572,6432,6140,51227,26323,24904,19908,9061,10847,5014,2521,2493,24205,11099,13106,13952,6333,7619,1762,563,1199
23235,43269,21554,21715,5894,3045,2849,26249,13445,12804,10702,4817,5885,2220,1135,1085,13198,6010,7188,7538,3342,4196,1254,417,837
23236,61810,32646,29164,10170,5235,4935,40940,22179,18761,10371,5036,5335,3672,1880,1792,13200,6527,6673,7012,3370,3642,909,316,593
23237,86898,43229,43669,12390,6273,6117,51921,26404,25517,22091,10229,11862,4587,2369,2218,26932,12491,14441,15198,7024,8174,1801,594,1207
23238,57598,28419,29179,9897,5039,4858,37414,18630,18784,8691,3948,4743,4312,2216,2096,11172,5153,6019,5852,2602,3250,950,285,665
23302,42858,21440,21418,7068,3621,3447,26070,13300,12770,9462,4380,5082,2582,1299,1283,11687,5418,6269,6417,2957,3460,942,293,649
23342,15177,7769,7408,2423,1247,1176,9342,4925,4417,3332,1545,1787,964,509,455,4149,1945,2204,2302,1045,1257,279,96,183
23361,23274,11679,11595,3554,1798,1756,14304,7439,6865,5377,2411,2966,1375,703,672,6629,3000,3629,3795,1641,2154,660,183,477
23362,33806,16737,17069,4871,2467,2404,20070,10199,9871,8787,4012,4775,1871,942,929,10615,4872,5743,6209,2826,3383,1015,330,685
23424,30990,15485,15505,4988,2481,2507,18888,9656,9232,6345,2922,3423,1976,986,990,7939,3683,4256,4278,1948,2330,562,149,413
23425,37085,18266,18819,4759,2431,2328,22966,11579,11387,8867,3976,4891,1844,926,918,11098,5088,6010,6147,2679,3468,950,306,644
23427,4397,2131,2266,604,308,296,2433,1242,1191,1342,573,769,220,111,109,1662,727,935,961,382,579,268,75,193
23441,27747,13623,14124,4476,2274,2202,16116,8092,8024,7096,3219,3877,2104,1059,1045,8746,3987,4759,4932,2180,2752,879,276,603
23442,49230,24535,24695,6913,3545,3368,29957,15285,14672,11921,5487,6434,2562,1312,1250,14795,6828,7967,8242,3708,4534,1389,443,946
23445,18707,9067,9640,1823,935,888,10412,5318,5094,6438,2795,3643,646,329,317,7955,3564,4391,4699,1904,2795,1022,294,728
23446,23575,11514,12061,2648,1417,1231,14254,7135,7119,6450,2845,3605,887,471,416,8017,3639,4378,4554,1930,2624,936,275,661
23447,42473,21412,21061,6242,3154,3088,25934,13582,12352,10069,4535,5534,2307,1150,1157,12529,5757,6772,6883,3039,3844,1067,310,757
23501,39549,19897,19652,6641,3397,3244,24736,12701,12035,8100,3740,4360,2683,1371,1312,10450,4871,5579,5460,2365,3095,1070,348,722
23561,5074,2455,2619,398,193,205,2270,1207,1063,2401,1051,1350,133,63,70,2848,1279,1569,1903,781,1122,586,200,386
23562,3446,1632,1814,279,152,127,1487,779,708,1680,701,979,100,55,45,1982,859,1123,1322,508,814,429,145,284
23563,1135,527,608,109,59,50,476,251,225,550,217,333,25,11,14,660,279,381,443,168,275,141,43,98
24201,279886,135718,144168,35663,18335,17328,165058,82799,82259,77624,33635,43989,13217,6821,6396,95772,42479,53293,56609,23582,33027,12184,3823,8361
24202,311031,154674,156357,41253,21062,20191,189755,97762,91993,75660,33546,42114,15548,7911,7637,93935,42492,51443,53510,22932,30578,9492,2994,6498
24203,127817,60467,67350,15880,8133,7747,73987,36053,37934,37432,15951,21481,5823,2980,2843,46227,20080,26147,27361,11079,16282,5843,1817,4026
24204,163863,78548,85315,21390,11078,10312,95765,47150,48615,45713,19731,25982,8038,4166,3872,56831,25187,31644,33331,13758,19573,7519,2347,5172
24205,140303,68740,71563,19309,9786,9523,84198,42210,41988,34590,15418,19172,7392,3759,3633,43298,19640,23658,24264,10373,13891,4584,1419,3165
24207,196403,97500,98903,26758,13563,13195,117737,59680,58057,45500,20590,24910,9611,4834,4777,57353,26264,31089,31434,13802,17632,5802,1797,4005
24208,78795,37908,40887,10058,5136,4922,46149,22555,23594,22084,9929,12155,3826,1947,1879,28615,13102,15513,14907,6427,8480,2837,849,1988
24209,18009,8382,9627,1754,879,875,8833,4368,4465,7375,3100,4275,612,296,316,8821,3789,5032,5598,2293,3305,1137,359,778
24210,50254,25226,25028,7014,3570,3444,30083,15707,14376,12440,5555,6885,2779,1438,1341,15646,7122,8524,8799,3734,5065,2008,609,1399
24211,19448,9082,10366,1950,1037,913,10621,5201,5420,6835,2823,4012,625,342,283,8512,3649,4863,5082,1968,3114,1259,383,876
24212,17322,7946,9376,1731,874,857,8345,4110,4235,7226,2953,4273,599,295,304,8666,3662,5004,5547,2163,3384,1366,411,955
24214,45815,23220,22595,5856,2992,2864,27858,14736,13122,11575,5124,6451,2124,1103,1021,14616,6636,7980,8281,3496,4785,1917,585,1332
24215,50341,23336,27005,4941,2511,2430,26335,12744,13591,18648,7848,10800,1622,819,803,22604,9715,12889,13926,5616,8310,3048,923,2125
24216,90581,43932,46649,10763,5488,5275,51131,26273,24858,28668,12158,16510,3917,1983,1934,35413,15489,19924,21086,8420,12666,5274,1528,3746
24303,6357,3153,3204,653,345,308,3783,1950,1833,1919,856,1063,193,97,96,2456,1119,1337,1328,568,760,261,75,186
24324,25344,12353,12991,3374,1691,1683,14704,7239,7465,6967,3252,3715,1240,648,592,9141,4299,4842,4436,2014,2422,809,234,575
24341,40210,19584,20626,5789,2916,2873,24067,12138,11929,10187,4425,5762,2150,1078,1072,12563,5577,6986,7290,3026,4264,1508,396,1112
24343,10560,5229,5331,2225,1158,1067,6017,2992,3025,2015,893,1122,792,409,383,2415,1066,1349,1474,638,836,290,95,195
24344,14752,7577,7175,2364,1253,1111,9575,5044,4531,2735,1222,1513,1017,531,486,3398,1530,1868,1953,802,1151,355,112,243
24441,14878,7275,7603,1900,998,902,8189,4221,3968,4655,1966,2689,642,347,295,5770,2520,3250,3505,1391,2114,989,303,686
24442,22586,10738,11848,3036,1546,1490,12880,6282,6598,6518,2824,3694,1084,557,527,8139,3600,4539,4742,1960,2782,1221,394,827
24443,9557,4520,5037,987,499,488,4765,2372,2393,3797,1644,2153,331,164,167,4555,2014,2541,2922,1201,1721,832,293,539
24461,15431,7406,8025,2300,1172,1128,9011,4438,4573,3956,1700,2256,823,436,387,4973,2190,2783,2882,1185,1697,702,207,495
24470,8309,3975,4334,1010,535,475,4652,2300,2352,2646,1140,1506,351,206,145,3303,1470,1833,1933,773,1160,498,138,360
24471,8939,4183,4756,758,406,352,4126,2055,2071,4039,1710,2329,238,127,111,4777,2079,2698,3168,1287,1881,792,244,548
24472,12788,5974,6814,860,463,397,5644,2879,2765,6278,2628,3650,261,140,121,7323,3149,4174,5007,2010,2997,1122,357,765
24543,16338,7579,8759,1512,765,747,7888,3912,3976,6899,2867,4032,447,221,226,8265,3566,4699,5323,2126,3197,1318,373,945
24561,8741,4071,4670,1046,535,511,4414,2199,2215,3279,1336,1943,336,170,166,3937,1663,2274,2481,967,1514,676,198,478
24562,11207,5220,5987,1391,745,646,6007,2896,3111,3786,1564,2222,495,276,219,4671,1989,2682,2738,1080,1658,698,192,506
25201,340973,164799,176174,47815,24418,23397,207110,101790,105320,83118,36774,46344,18001,9226,8775,104666,47210,57456,57324,24386,32938,11432,3562,7870
25202,113679,56090,57589,15979,8228,7751,70040,35591,34449,26223,11489,14734,6136,3136,3000,33268,15009,18259,18723,7802,10921,4178,1241,2937
25203,118193,57703,60490,16132,8349,7783,68787,34748,34039,31244,13555,17689,5850,3028,2822,38868,17370,21498,22868,9444,13424,5366,1621,3745
25204,81312,39822,41490,11752,5986,5766,48372,24291,24081,20726,9286,11440,4750,2426,2324,26339,12031,14308,14375,6137,8238,2859,824,2035
25206,137247,70129,67118,19741,10116,9625,87537,45791,41746,26879,12291,14588,8047,4080,3967,34266,15880,18386,18155,8139,10016,3166,944,2222
25207,79859,39315,40544,13597,6955,6642,48523,24128,24395,16381,7508,8873,5224,2687,2537,20903,9704,11199,11120,4997,6123,2075,689,1386
25208,66749,33186,33563,12256,6266,5990,42658,21512,21146,11721,5331,6390,4847,2465,2382,15027,6950,8077,7748,3443,4305,1318,410,908
25209,90901,45070,45831,12503,6519,5984,54758,28123,26635,23205,10148,13057,4427,2247,2180,29429,13356,16073,16449,6778,9671,3792,1116,2676
25210,49889,24644,25245,7318,3832,3486,29963,15028,14935,11956,5436,6520,2836,1474,1362,15117,6962,8155,8093,3597,4496,1484,436,1048
25211,54289,28117,26172,7588,3938,3650,34727,18457,16270,11576,5444,6132,2975,1541,1434,15339,7349,7990,7503,3366,4137,1348,393,955
25212,50025,24460,25565,5861,3060,2801,28055,14235,13820,16018,7107,8911,2086,1117,969,19852,9053,10799,11763,4923,6840,2801,878,1923
25213,114180,56601,57579,16495,8511,7984,69096,35461,33635,28095,12324,15771,6237,3185,3052,35770,16186,19584,19932,8223,11709,4808,1414,3394
25214,38719,18825,19894,5229,2706,2523,22646,11386,11260,10706,4651,6055,1911,961,950,13289,5943,7346,7979,3274,4705,1907,581,1326
25383,21873,10884,10989,2835,1431,1404,12840,6688,6152,6088,2679,3409,1089,543,546,7649,3460,4189,4358,1758,2600,1101,320,781
