date,PM25_mean
2016-08-05,19.708
2016-08-06,14.75
2016-08-07,11.333
2016-08-08,14.75
2016-08-09,14.091
2016-08-10,7.13
2016-08-11,7.875
2016-08-12,14.958
2016-08-13,18.833
2016-08-14,17.667
2016-08-15,15.583
2016-08-16,15.667
2016-08-17,10.042
2016-08-18,12.125
2016-08-19,15.667
2016-08-20,12.208
2016-08-21,4.75
2016-08-22,6.458
2016-08-23,6.091
2016-08-24,5.522
2016-08-25,4.739
2016-08-26,7.292
2016-08-27,4.19
2016-08-28,5.625
2016-08-29,2.292
2016-08-30,5.542
2016-08-31,10.208
2016-09-01,14.708
2016-09-02,15.75
2016-09-03,9.167
