date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean
2011-07-11,179.125,1.625,11.542,7.792,12.083,4.292,5.875,16.652,190.667
2011-07-12,177.261,0.875,6.304,3.783,5.652,1.87,4.625,9.625,183.565
2011-07-13,176.125,0.13,7.583,4.208,6.042,1.833,8.042,11.583,183.708
2011-07-14,177.833,0.0,5.042,4.042,6.125,2.083,3.208,6.458,182.875
2011-07-15,177.0,0.083,6.083,4.917,7.208,2.292,3.458,14.0,183.083
2011-07-16,179.375,0.708,10.875,7.333,10.333,3.0,6.417,23.083,190.25
2011-07-17,174.583,0.208,5.583,2.458,3.958,1.5,3.375,16.042,180.167
2011-07-18,172.625,0.5,4.667,2.5,4.0,1.5,2.042,24.625,177.292
2011-07-19,178.217,1.348,4.783,3.261,6.087,2.826,1.435,17.0,183.0
2011-07-20,176.5,0.478,4.958,4.292,5.958,1.667,1.208,23.25,181.458
2011-07-21,180.958,0.542,9.125,6.917,8.625,1.708,4.167,9.792,190.083
2011-07-22,184.208,1.292,9.292,9.333,11.833,2.5,4.375,14.625,193.5
2011-07-23,183.875,1.375,10.917,9.917,11.708,1.792,4.708,12.5,194.792
2011-07-24,187.292,0.208,11.375,8.667,10.792,2.125,3.208,13.083,198.667
2011-07-25,180.708,0.273,5.708,4.667,5.125,0.458,3.458,23.625,186.417
2011-07-26,180.739,0.25,3.739,5.522,6.391,0.87,2.208,16.917,184.478
2011-07-27,178.708,1.458,6.417,11.25,14.458,3.208,4.875,14.167,185.125
2011-07-28,193.667,2.917,16.042,19.958,25.917,5.958,3.667,53.375,209.708
2011-07-29,192.75,3.792,18.25,17.25,19.792,2.542,4.625,42.208,211.0
2011-07-30,192.75,4.5,12.875,15.333,18.708,3.375,3.125,27.208,205.625
2011-07-31,183.958,0.304,8.583,8.0,10.208,2.208,3.333,24.333,192.542
2011-08-01,187.458,,7.375,9.125,12.0,2.875,3.458,26.042,194.833
2011-08-02,188.818,,11.227,7.696,11.261,3.565,2.565,20.913,200.045
2011-08-03,186.708,,9.042,7.792,12.0,4.208,1.833,17.125,195.75
2011-08-04,181.042,,8.0,6.25,12.167,5.917,1.667,18.417,189.042
2011-08-05,181.375,,8.708,5.583,8.25,2.667,1.25,12.75,190.083
2011-08-06,177.0,,9.958,7.542,11.25,3.708,2.25,9.125,186.958
2011-08-07,184.083,,13.667,9.417,11.458,2.042,1.833,33.625,197.75
2011-08-08,187.167,,21.333,15.125,17.708,2.583,1.696,43.13,208.5
2011-08-09,181.478,,19.13,14.957,17.609,2.652,1.833,35.125,200.609
2011-08-10,176.208,,4.417,5.75,6.208,0.458,1.167,37.792,180.625
2011-08-11,178.417,,21.25,11.792,12.542,0.75,1.958,54.583,199.667
2011-08-12,187.917,,16.458,12.583,13.292,0.708,1.917,54.458,204.375
2011-08-13,188.5,,12.833,9.625,10.417,0.792,2.833,82.625,201.333
2011-08-14,182.375,,6.833,6.0,6.667,0.667,1.833,66.5,189.208
2011-08-15,176.083,1.0,2.958,3.833,4.292,0.458,1.087,31.739,179.042
2011-08-16,183.261,2.333,13.826,11.652,12.696,1.043,1.125,48.958,197.087
2011-08-17,184.458,2.542,9.75,8.625,9.75,1.125,1.708,53.583,194.208
2011-08-18,174.125,2.167,4.042,5.958,6.542,0.583,1.083,52.917,178.167
2011-08-19,181.042,2.708,6.167,10.958,12.417,1.458,1.167,25.625,187.208
2011-08-20,190.125,3.792,11.958,14.042,16.667,2.625,5.292,16.333,202.083
2011-08-21,188.583,3.958,11.458,10.125,11.25,1.125,3.542,11.208,200.042
2011-08-22,189.583,4.0,11.958,15.292,19.417,4.125,2.958,18.208,201.542
2011-08-23,188.043,0.522,10.043,8.304,10.826,2.522,3.625,35.042,198.087
2011-08-24,176.458,0.0,6.75,4.833,7.792,2.958,2.917,16.708,183.208
2011-08-25,175.917,0.083,4.75,4.0,6.5,2.5,1.708,15.708,180.667
2011-08-26,179.542,1.25,12.042,14.375,18.625,4.25,3.958,18.958,191.583
2011-08-27,183.958,2.042,8.375,14.375,17.167,2.792,4.958,19.667,192.333
2011-08-28,186.333,2.417,10.333,9.083,10.375,1.292,4.292,20.208,196.667
2011-08-29,183.75,3.0,9.042,12.458,15.083,2.625,4.391,26.217,192.792
2011-08-30,183.348,1.087,9.174,9.957,13.13,3.174,4.458,20.333,192.522
2011-08-31,182.25,1.25,16.042,11.0,19.0,8.0,3.125,18.708,198.292
2011-09-01,178.208,1.083,6.167,3.875,8.75,4.875,1.542,19.792,184.375
2011-09-02,177.917,1.292,4.083,2.833,6.125,3.292,1.458,46.917,182.0
2011-09-03,174.833,1.75,3.625,1.292,3.083,1.792,1.458,36.875,178.458
2011-09-04,178.458,2.5,3.792,2.5,4.417,1.917,1.583,22.708,182.25
2011-09-05,192.217,4.1,8.478,7.391,10.652,3.261,1.833,18.125,200.696
2011-09-06,190.304,2.636,9.739,11.609,13.609,2.0,3.625,9.458,200.043
2011-09-07,193.125,3.565,19.542,18.125,19.875,1.75,7.625,20.0,212.667
2011-09-08,192.75,2.917,7.833,10.958,11.833,0.875,6.542,24.0,200.583
2011-09-09,186.958,2.042,6.208,8.375,11.5,3.125,3.625,17.833,193.167
2011-09-10,182.5,2.042,6.208,6.333,8.833,2.5,4.333,21.917,188.708
2011-09-11,192.25,2.042,3.958,5.333,8.583,3.25,1.625,13.083,196.208
2011-09-12,188.261,2.5,12.826,8.208,13.083,4.875,3.304,14.783,201.087
2011-09-13,182.478,2.083,11.609,8.435,12.304,3.87,4.542,13.958,194.087
2011-09-14,181.167,2.667,14.042,10.917,15.333,4.417,5.958,20.083,195.208
2011-09-15,180.542,2.083,10.5,6.792,10.833,4.042,3.417,8.167,191.042
2011-09-16,179.875,1.542,4.667,4.25,7.042,2.792,2.0,12.458,184.542
2011-09-17,177.625,1.375,4.417,3.292,5.917,2.625,1.083,10.458,182.042
2011-09-18,179.042,1.174,4.083,3.0,4.875,1.875,2.292,10.792,183.125
