date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,THC_mean
2011-05-01,185.167,2.75,7.667,5.583,7.125,1.542,4.0,1.083,19.333,192.833
2011-05-02,189.708,4.542,10.708,17.917,25.292,7.375,0.0,2.833,66.5,200.417
2011-05-03,192.833,3.333,12.333,9.958,13.5,3.542,1.0,1.833,43.583,205.167
2011-05-04,188.348,2.826,10.826,10.261,13.174,2.913,0.0,2.783,16.208,199.174
2011-05-05,191.042,2.167,9.125,5.875,7.708,1.833,0.0,1.375,19.792,200.167
2011-05-06,193.958,3.167,10.75,15.75,23.208,7.458,0.0,3.25,19.125,204.708
2011-05-07,191.25,2.292,9.125,8.583,12.333,3.75,2.0,0.333,17.292,200.375
2011-05-08,188.167,3.667,12.083,11.875,14.458,2.583,0.0,1.75,22.333,200.25
2011-05-09,189.875,3.083,9.667,8.833,11.583,2.75,0.0,1.542,22.083,199.542
2011-05-10,181.75,3.0,9.625,13.542,20.667,7.125,12.0,2.75,30.667,191.375
2011-05-11,192.739,3.0,9.435,12.478,18.783,6.304,58.0,0.13,9.292,202.174
2011-05-12,192.875,4.208,15.625,29.833,47.0,17.167,25.0,1.958,18.667,208.5
2011-05-13,189.458,4.083,13.208,18.583,26.792,8.208,0.0,3.333,23.5,202.667
2011-05-14,189.833,3.333,11.708,10.875,12.333,1.458,0.0,2.333,50.333,201.542
2011-05-15,195.458,3.417,11.0,7.167,8.5,1.333,0.0,2.875,20.208,206.458
2011-05-16,188.75,2.625,9.167,6.583,7.667,1.083,0.0,1.958,26.583,197.917
2011-05-17,188.625,3.0,11.583,14.792,18.542,3.75,4.0,1.917,20.167,200.208
2011-05-18,194.435,3.652,12.217,16.739,23.609,6.87,0.0,2.652,36.917,206.652
2011-05-19,188.5,2.792,7.417,11.25,14.125,2.875,0.0,2.167,28.625,195.917
2011-05-20,184.708,2.167,6.917,10.75,14.125,3.375,0.0,1.958,29.708,191.625
2011-05-21,182.042,1.917,6.167,7.125,9.333,2.208,0.0,1.375,20.833,188.208
2011-05-22,182.333,1.875,6.583,5.833,7.708,1.875,4.0,1.0,11.375,188.917
2011-05-23,189.75,2.917,10.042,19.625,28.542,8.917,1.0,3.458,11.125,199.792
2011-05-24,193.833,2.583,9.417,17.333,25.833,8.5,25.0,1.042,11.5,203.25
2011-05-25,194.136,2.87,10.0,15.0,22.522,7.522,0.0,1.591,12.435,204.136
2011-05-26,193.292,2.458,7.583,9.625,17.292,7.667,0.0,0.792,15.25,200.875
2011-05-27,193.75,2.542,8.125,10.542,18.083,7.542,3.0,0.292,23.75,201.875
2011-05-28,191.792,3.917,14.125,27.125,40.25,13.125,30.0,1.542,15.542,205.917
2011-05-29,184.875,2.625,8.042,8.583,11.958,3.375,58.0,0.667,6.083,192.917
2011-05-30,182.083,2.458,8.083,11.917,18.417,6.5,10.0,1.583,6.958,190.167
2011-05-31,185.75,2.458,6.833,10.583,18.292,7.708,0.0,1.417,14.083,192.583
2011-06-01,190.435,3.261,10.261,15.696,27.217,11.522,0.0,3.696,29.792,200.696
2011-06-02,194.875,3.667,12.583,16.292,39.542,23.25,23.0,1.917,26.083,207.458
2011-06-03,190.542,5.375,20.917,28.042,47.792,19.75,0.0,6.583,27.333,211.458
2011-06-04,186.708,3.375,11.167,9.625,15.75,6.125,0.0,1.667,25.458,197.875
2011-06-05,180.083,3.083,8.583,6.375,7.917,1.542,0.0,1.917,23.292,188.667
2011-06-06,189.458,4.083,12.917,23.417,34.417,11.0,0.0,2.458,28.042,202.375
2011-06-07,187.167,3.542,9.75,9.333,13.417,4.083,0.0,2.125,30.417,196.917
2011-06-08,192.609,3.261,13.043,23.478,33.739,10.261,3.0,2.478,16.958,205.652
2011-06-09,196.792,3.208,11.625,13.625,19.167,5.542,0.0,2.083,18.583,208.417
2011-06-10,186.125,2.083,8.625,6.5,8.625,2.125,0.0,0.458,10.875,194.75
2011-06-11,189.167,3.125,13.125,12.542,17.958,5.417,67.0,0.875,29.458,202.292
2011-06-12,200.833,4.167,17.375,13.708,16.458,2.75,0.0,3.042,28.25,218.208
2011-06-13,195.208,3.875,13.083,18.458,28.625,10.167,64.0,2.083,24.042,208.292
2011-06-14,197.583,3.25,11.583,12.167,22.375,10.208,1.0,0.208,23.208,209.167
2011-06-15,197.913,2.304,10.783,8.696,13.652,4.957,0.0,0.522,9.792,208.696
2011-06-16,202.042,2.375,12.417,9.958,17.417,7.458,6.0,0.458,17.958,214.458
2011-06-17,189.417,2.833,12.333,20.708,33.0,12.292,21.0,1.292,14.333,201.75
2011-06-18,193.25,2.708,12.25,13.75,19.542,5.792,9.0,0.917,14.375,205.5
2011-06-19,196.125,3.167,14.125,11.083,14.083,3.0,0.0,2.5,16.167,210.25
2011-06-20,186.292,1.667,10.125,10.208,16.833,6.625,0.0,1.083,6.583,196.417
2011-06-21,179.167,1.25,8.875,9.708,14.083,4.375,2.0,1.083,9.333,188.042
2011-06-22,185.043,2.609,11.826,16.652,23.739,7.087,0.0,2.435,27.0,196.87
2011-06-23,177.667,1.292,9.5,8.625,15.042,6.417,0.0,1.391,27.348,187.167
2011-06-24,175.542,1.083,7.667,5.792,10.958,5.167,0.0,0.958,28.25,183.208
2011-06-25,184.833,1.917,10.083,6.167,10.083,3.917,0.0,0.625,17.5,194.917
2011-06-26,197.708,3.5,14.375,12.208,18.042,5.833,0.0,1.792,30.792,212.083
2011-06-27,194.458,2.5,13.25,10.583,31.125,20.542,0.0,1.083,26.208,207.708
2011-06-28,178.917,2.083,10.417,8.792,18.917,10.125,0.0,1.917,26.833,189.333
2011-06-29,192.957,2.783,16.043,15.957,23.565,7.609,0.0,2.304,29.583,209.0
2011-06-30,187.167,2.875,14.417,20.083,30.25,10.167,2.0,4.292,37.583,201.583
2011-07-01,185.875,2.958,14.25,19.667,27.167,7.5,0.0,3.917,47.125,200.125
2011-07-02,182.833,1.375,9.333,6.833,12.417,5.583,0.0,1.125,11.333,192.167
2011-07-03,180.042,2.083,10.708,7.583,10.292,2.708,0.0,2.292,29.125,190.75
2011-07-04,174.292,1.0,6.833,6.083,9.042,2.958,0.0,1.25,53.583,181.125
2011-07-05,180.083,1.875,9.0,10.292,14.292,4.0,0.0,1.542,30.75,189.083
