date,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean
2011-08-18,1.75,2.0,0.25,0.0,0.792,42.583
2011-08-19,4.13,4.348,0.217,29.0,0.5,26.917
2011-08-20,3.75,4.167,0.417,0.0,0.292,13.667
2011-08-21,2.542,2.667,0.125,5.0,0.042,9.0
2011-08-22,4.792,5.833,1.042,9.0,0.174,19.875
2011-08-23,1.542,1.792,0.25,1.0,0.167,24.958
2011-08-24,1.083,2.667,1.583,0.0,0.542,14.333
2011-08-25,1.292,2.375,1.083,0.0,0.75,19.667
2011-08-26,3.13,3.957,0.826,56.0,1.042,14.458
2011-08-27,3.625,3.792,0.167,0.0,0.5,16.417
2011-08-28,2.625,2.708,0.083,0.0,0.583,20.083
2011-08-29,3.583,4.125,0.542,0.0,0.609,26.708
2011-08-30,5.042,5.542,0.5,10.0,1.875,20.083
2011-08-31,3.917,5.042,1.125,5.0,0.125,24.042
2011-09-01,0.375,0.542,0.167,5.0,0.0,27.625
2011-09-02,0.478,0.609,0.13,14.0,0.0,30.208
2011-09-03,0.542,0.792,0.25,3.0,0.0,32.083
2011-09-04,0.708,0.792,0.083,5.0,0.0,22.5
2011-09-05,1.583,1.958,0.375,0.0,0.0,18.208
2011-09-06,3.25,3.5,0.25,0.0,0.333,9.875
2011-09-07,5.5,6.208,0.708,0.0,1.542,22.75
2011-09-08,2.783,3.174,0.391,0.0,1.826,20.5
2011-09-09,1.696,2.391,0.696,0.0,0.083,16.5
2011-09-10,1.542,2.5,0.958,0.0,1.417,14.583
2011-09-11,1.25,2.708,1.458,3.0,0.0,13.875
2011-09-12,1.292,3.917,2.625,0.0,0.0,15.25
2011-09-13,1.417,3.375,1.958,0.0,0.5,12.792
2011-09-14,1.583,2.75,1.167,0.0,0.667,14.0
2011-09-15,1.0,3.833,2.833,0.0,0.0,9.375
2011-09-16,1.304,3.348,2.043,0.0,0.0,13.5
2011-09-17,1.333,2.625,1.292,0.0,0.0,11.542
2011-09-18,1.083,2.167,1.083,0.0,0.0,8.958
2011-09-19,2.958,5.583,2.625,1.0,1.609,23.333
2011-09-20,4.583,5.542,0.958,64.0,0.083,17.583
2011-09-21,3.045,3.318,0.273,94.0,0.045,19.364
2011-09-22,2.625,2.958,0.333,9.0,0.375,5.125
2011-09-23,3.435,4.391,0.957,0.0,0.208,8.708
2011-09-24,3.083,4.75,1.667,0.0,0.333,8.625
2011-09-25,1.542,1.75,0.208,0.0,0.0,6.833
2011-09-26,5.333,6.0,0.667,2.0,0.043,10.083
2011-09-27,7.167,8.833,1.667,3.0,0.625,15.208
2011-09-28,3.917,4.625,0.708,0.0,0.0,11.25
2011-09-29,3.25,3.75,0.5,0.0,0.25,14.917
2011-09-30,2.652,2.783,0.13,0.0,0.458,22.667
2011-10-01,3.25,3.375,0.125,0.0,0.333,16.25
2011-10-02,2.292,2.625,0.333,0.0,0.417,13.375
2011-10-03,3.833,4.708,0.875,0.0,0.348,14.833
2011-10-04,4.0,5.042,1.042,0.0,0.458,12.875
2011-10-05,12.0,16.042,4.042,95.0,0.0,14.542
2011-10-06,8.542,9.375,0.833,7.0,0.458,10.042
2011-10-07,6.217,6.957,0.739,0.0,0.857,12.762
2011-10-08,4.375,5.958,1.583,0.0,0.75,24.167
2011-10-09,2.583,3.125,0.542,0.0,0.083,31.042
2011-10-10,4.208,4.917,0.708,1.0,0.87,33.542
2011-10-11,5.583,9.458,3.875,0.0,1.583,44.696
2011-10-12,3.583,4.583,1.0,0.0,0.708,34.208
2011-10-13,3.25,5.417,2.167,0.0,0.333,31.708
2011-10-14,3.0,5.304,2.304,4.0,2.167,37.958
2011-10-15,0.667,0.667,0.0,7.0,0.708,15.75
2011-10-16,1.042,1.042,0.0,11.0,0.708,12.125
2011-10-17,5.458,6.667,1.208,0.0,1.304,24.958
2011-10-18,3.292,3.583,0.292,0.0,0.292,18.708
2011-10-19,4.583,5.125,0.542,0.0,0.375,14.217
2011-10-20,4.875,5.625,0.75,1.0,0.375,16.333
2011-10-21,3.783,4.087,0.304,9.0,0.208,12.583
2011-10-22,7.25,10.042,2.792,78.0,0.25,16.5
2011-10-23,1.167,1.292,0.125,6.0,0.042,7.125
2011-10-24,6.917,8.333,1.417,0.0,1.609,28.208
2011-10-25,3.958,4.375,0.417,4.0,0.792,16.667
2011-10-26,4.583,5.25,0.667,0.0,0.458,8.792
2011-10-27,3.833,6.25,2.417,0.0,0.375,19.375
2011-10-28,6.261,9.217,2.957,0.0,0.792,18.833
2011-10-29,5.833,7.583,1.75,0.0,1.542,17.208
2011-10-30,3.792,4.0,0.208,3.0,0.0,20.708
2011-10-31,6.583,8.125,1.542,0.0,0.696,25.0
2011-11-01,4.417,9.167,4.75,0.0,0.625,14.458
2011-11-02,5.458,12.208,6.75,0.0,0.238,26.429
2011-11-03,13.208,18.458,5.25,0.0,1.958,50.0
2011-11-04,5.696,8.348,2.652,0.0,0.5,44.542
2011-11-05,2.625,4.708,2.083,1.0,0.625,26.333
2011-11-06,3.333,3.875,0.542,7.0,0.333,19.625
2011-11-07,2.917,4.083,1.167,0.0,0.261,9.25
2011-11-08,3.167,3.875,0.708,9.0,0.667,7.167
2011-11-09,4.458,5.708,1.25,0.0,0.083,9.917
2011-11-10,2.167,2.708,0.542,0.0,0.0,8.917
2011-11-11,10.87,12.391,1.522,33.0,0.042,13.375
2011-11-12,4.583,5.458,0.875,1.0,0.292,11.125
2011-11-13,4.917,6.542,1.625,0.0,1.542,18.792
2011-11-14,4.167,6.375,2.208,0.0,0.826,27.25
2011-11-15,3.958,4.625,0.667,0.0,0.875,15.125
2011-11-16,4.625,5.708,1.083,0.0,0.542,6.261
2011-11-17,5.292,6.958,1.667,0.0,0.542,10.917
2011-11-18,15.522,23.87,8.348,6.0,0.917,32.292
2011-11-19,1.333,1.375,0.042,48.0,0.0,18.792
2011-11-20,7.833,9.667,1.833,0.0,1.875,12.375
2011-11-21,4.958,6.25,1.292,0.0,0.522,3.292
2011-11-22,6.417,10.25,3.833,0.0,0.292,5.458
2011-11-23,7.167,9.917,2.75,3.0,1.292,19.375
2011-11-24,3.917,4.333,0.417,0.0,0.417,8.087
2011-11-25,8.783,14.217,5.435,0.0,0.458,5.083
2011-11-26,5.625,8.917,3.292,0.0,0.417,13.375
2011-11-27,7.708,10.625,2.917,0.0,0.833,25.333
2011-11-28,18.542,44.167,25.625,0.0,1.652,62.917
2011-11-29,16.2,58.5,42.3,0.0,2.0,51.458
2011-11-30,4.538,4.846,0.308,0.0,0.958,34.583
2011-12-01,3.917,3.917,0.0,3.0,0.792,5.25
2011-12-02,8.75,9.333,0.583,6.0,0.5,8.167
2011-12-03,12.375,15.958,3.583,35.0,0.292,15.75
2011-12-04,6.875,7.417,0.542,0.0,0.833,2.833
2011-12-05,9.125,13.417,4.292,0.0,0.652,3.375
2011-12-06,7.174,7.783,0.609,20.0,0.0,11.913
2011-12-07,9.174,11.391,2.217,0.0,0.667,19.045
2011-12-08,9.5,14.083,4.583,6.0,0.385,17.75
2011-12-09,5.542,7.208,1.667,5.0,0.0,7.25
2011-12-10,9.25,14.167,4.917,0.0,0.333,6.917
2011-12-11,15.875,24.208,8.333,0.0,1.458,16.375
2011-12-12,16.417,29.625,13.208,0.0,2.0,21.292
2011-12-13,8.25,15.75,7.5,0.0,0.292,15.708
2011-12-14,20.435,27.696,7.261,5.0,1.083,18.125
2011-12-15,12.292,22.25,9.958,0.0,0.87,19.042
2011-12-16,11.667,16.042,4.375,2.0,1.417,11.292
2011-12-17,8.583,12.583,4.0,0.0,0.542,6.292
2011-12-18,11.833,15.125,3.292,1.0,1.042,12.542
2011-12-19,9.542,12.917,3.375,0.0,0.375,9.208
2011-12-20,12.75,23.542,10.792,0.0,0.458,14.583
2011-12-21,13.435,24.565,11.13,0.0,0.667,21.958
2011-12-22,17.792,48.167,30.375,0.0,0.826,48.458
2011-12-23,8.375,17.125,8.75,0.0,0.917,12.708
2011-12-24,10.167,13.583,3.417,0.0,1.042,9.708
2011-12-25,8.833,11.0,2.167,0.0,1.042,5.958
2011-12-26,11.667,17.25,5.583,0.0,0.917,4.217
2011-12-27,12.208,17.458,5.25,0.0,0.625,5.083
2011-12-28,14.261,22.087,7.826,0.0,0.875,14.292
2011-12-29,11.833,14.833,3.0,0.0,0.87,15.042
2011-12-30,8.042,9.708,1.667,0.0,1.375,5.333
2011-12-31,7.667,8.792,1.125,0.0,1.292,13.75
2012-01-01,4.292,5.208,0.917,,0.5,4.833
2012-01-02,2.174,2.174,0.0,,1.875,24.083
2012-01-03,3.667,3.875,0.208,,0.913,5.708
2012-01-04,6.083,6.5,0.417,,0.708,1.875
2012-01-05,10.458,12.333,1.875,,0.292,14.375
2012-01-06,14.75,18.708,3.958,,1.458,21.542
2012-01-07,10.0,11.875,1.875,,0.75,10.917
2012-01-08,14.375,24.333,9.958,,1.042,22.167
2012-01-09,15.261,20.087,4.826,,0.625,21.042
2012-01-10,11.333,13.208,1.875,,0.609,11.478
2012-01-11,13.458,20.25,6.792,,0.375,9.75
2012-01-12,19.708,26.458,6.75,,1.875,21.833
2012-01-13,12.958,16.708,3.75,,1.208,29.625
2012-01-14,7.0,7.333,0.333,,0.125,12.25
2012-01-15,9.042,9.833,0.792,,1.792,6.708
2012-01-16,13.783,17.391,3.609,,0.75,13.583
2012-01-17,10.917,16.458,5.542,,0.696,11.583
