date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-11-23,5.958,23.833,67.708,43.875,,18.042
2011-11-24,6.0,24.417,66.667,42.25,,14.417
2011-11-25,7.682,29.091,90.682,61.591,,13.083
2011-11-26,7.458,24.583,75.208,50.625,,17.125
2011-11-27,7.167,20.833,52.208,31.375,,23.208
2011-11-28,10.458,30.417,124.625,94.208,,29.25
2011-11-29,9.708,33.958,117.0,83.042,,32.083
2011-11-30,7.875,28.667,81.833,53.167,,37.625
2011-12-01,2.87,12.045,24.318,12.273,,8.739
2011-12-02,3.458,12.083,33.042,20.958,,9.375
2011-12-03,5.917,18.917,51.958,33.042,,11.083
2011-12-04,4.333,13.25,29.708,16.458,,9.833
2011-12-05,6.542,24.708,75.875,51.167,,11.875
2011-12-06,6.042,27.833,73.75,45.917,,16.792
2011-12-07,7.25,27.25,86.125,58.875,,23.75
2011-12-08,5.667,19.792,66.458,46.667,,23.667
2011-12-09,6.522,18.739,62.391,43.652,,11.783
2011-12-10,8.208,25.292,78.25,52.958,,15.417
2011-12-11,6.417,20.667,47.417,26.75,,16.042
2011-12-12,9.042,30.875,106.833,75.958,,20.958
2011-12-13,7.542,27.333,88.083,60.75,,16.917
2011-12-14,8.375,27.375,98.875,71.5,,24.375
2011-12-15,9.375,28.833,106.542,77.708,,29.042
2011-12-16,7.478,26.158,84.053,57.895,,17.591
2011-12-17,6.333,22.75,62.292,39.542,,10.625
2011-12-18,6.542,19.208,46.167,26.958,,14.667
2011-12-19,8.25,27.75,94.417,66.667,,19.708
2011-12-20,7.458,29.125,93.125,64.0,,18.125
2011-12-21,8.875,32.042,110.25,78.208,,25.375
2011-12-22,12.043,33.81,143.0,109.19,,48.174
2011-12-23,8.333,26.417,85.125,58.708,,23.167
2011-12-24,7.625,24.833,76.958,52.125,,18.583
2011-12-25,6.292,18.958,43.75,24.792,,14.0
2011-12-26,7.958,28.75,85.958,57.208,,14.625
2011-12-27,8.875,31.375,107.167,75.792,,17.5
2011-12-28,7.125,28.833,82.75,53.917,,18.708
2011-12-29,7.435,27.696,66.87,39.174,,24.652
2011-12-30,6.917,18.875,48.667,29.792,,20.708
2011-12-31,7.417,22.208,49.542,27.333,,21.375
2012-01-01,4.708,12.167,25.917,13.75,,9.208
2012-01-02,3.625,7.625,14.792,7.167,,23.458
2012-01-03,3.583,9.833,19.708,9.875,,12.5
2012-01-04,5.625,17.75,38.292,20.542,,10.625
2012-01-05,6.25,21.25,48.708,27.458,,14.417
2012-01-06,6.583,20.75,47.208,26.458,,14.167
2012-01-07,8.833,30.5,92.625,62.125,,19.708
2012-01-08,8.333,29.417,88.708,59.292,,21.667
2012-01-09,8.333,27.458,83.417,55.958,,24.5
2012-01-10,6.217,25.045,59.5,34.455,,15.182
2012-01-11,8.042,30.333,85.417,55.083,,17.708
2012-01-12,7.167,28.542,75.75,47.208,,20.833
2012-01-13,7.083,23.917,45.5,21.583,,20.667
2012-01-14,4.417,14.167,24.292,10.125,,12.208
2012-01-15,7.125,30.292,74.0,43.708,,16.125
2012-01-16,7.542,32.167,92.625,60.458,,19.5
2012-01-17,7.792,31.708,88.417,56.708,,19.708
2012-01-18,6.591,27.409,69.5,42.091,,12.667
2012-01-19,6.75,27.0,63.0,36.0,,13.292
2012-01-20,6.5,21.375,40.667,19.292,,15.5
2012-01-21,8.375,32.667,88.667,56.0,,18.958
2012-01-22,8.25,34.958,97.625,62.667,,28.167
2012-01-23,4.125,20.333,41.667,21.333,,12.708
2012-01-24,5.609,22.913,58.522,35.609,,14.917
2012-01-25,5.167,21.458,46.417,24.958,,14.917
2012-01-26,3.917,12.375,26.833,14.458,,9.5
2012-01-27,4.875,15.667,31.208,15.542,,10.5
2012-01-28,6.125,24.75,58.792,34.042,,12.208
2012-01-29,7.458,29.792,80.958,51.167,,13.625
2012-01-30,6.5,25.833,65.625,39.792,,15.375
2012-01-31,7.875,33.0,77.292,44.292,,25.292
2012-02-01,7.696,31.609,82.261,50.652,,26.042
2012-02-02,4.542,16.042,34.208,18.167,,13.333
2012-02-03,6.083,18.583,36.708,18.125,,14.208
2012-02-04,6.875,28.833,70.5,41.667,,18.042
2012-02-05,7.583,31.292,87.125,55.833,,23.292
2012-02-06,4.792,22.625,47.0,24.375,,11.542
2012-02-07,5.391,24.0,56.174,32.174,,18.542
2012-02-08,5.375,24.417,52.792,28.375,,13.75
2012-02-09,5.375,24.917,53.542,28.625,,14.125
2012-02-10,5.458,20.958,36.292,15.333,,14.667
2012-02-11,5.708,18.792,38.0,19.208,,18.542
2012-02-12,7.0,30.542,73.417,42.875,,21.125
2012-02-13,6.958,31.042,72.333,41.292,,20.75
2012-02-14,7.25,30.261,81.957,51.696,,15.625
2012-02-15,,29.792,87.208,57.417,,21.5
2012-02-16,,23.042,51.583,28.542,,12.833
2012-02-17,,19.125,33.875,14.75,,10.375
2012-02-18,,38.167,110.125,71.958,,21.375
2012-02-19,,32.958,78.625,45.667,,16.75
2012-02-20,,25.75,61.5,35.75,,15.25
2012-02-21,5.556,25.273,64.636,39.364,,14.591
2012-02-22,7.0,27.583,71.792,44.208,,19.917
2012-02-23,5.583,20.5,41.25,20.75,,20.042
2012-02-24,4.333,12.958,23.208,10.25,,13.75
2012-02-25,4.667,21.542,48.833,27.292,,11.0
2012-02-26,6.333,27.583,64.333,36.75,,16.875
2012-02-27,7.208,32.708,77.708,45.0,,24.5
2012-02-28,7.826,31.0,79.435,48.435,,24.667
2012-03-01,5.25,23.958,49.333,25.375,,17.375
2012-03-02,5.583,22.167,42.0,19.833,,17.25
2012-03-03,5.292,16.875,29.125,12.25,,16.792
2012-03-04,5.417,25.75,48.375,22.625,,16.708
2012-03-05,6.208,26.083,57.5,31.417,,17.208
2012-03-06,6.792,30.458,70.25,39.792,,23.208
2012-03-07,6.696,28.304,61.043,32.739,,35.792
2012-03-08,5.167,24.083,45.542,21.458,,42.167
2012-03-09,5.292,24.917,42.125,17.208,,43.042
2012-03-10,4.708,15.958,24.375,8.417,,43.333
2012-03-11,5.042,24.875,50.5,25.625,,16.792
2012-03-12,4.833,26.625,53.625,27.0,,18.292
2012-03-13,3.0,11.083,22.875,11.792,,21.958
2012-03-14,4.042,17.667,32.5,14.833,,14.542
2012-03-15,5.783,24.522,50.348,25.826,,19.083
2012-03-16,5.125,23.458,46.417,22.958,,19.75
2012-03-17,5.0,15.0,24.583,9.583,,29.792
2012-03-18,3.417,10.625,20.708,10.083,,58.292
2012-03-19,4.708,21.125,41.375,20.25,,24.833
2012-03-20,4.458,16.292,28.083,11.792,,35.417
2012-03-21,4.167,17.875,34.042,16.167,,12.333
2012-03-22,4.227,23.591,42.818,19.227,,13.083
2012-03-23,4.375,18.792,30.125,11.333,,20.125
2012-03-24,4.125,11.583,17.958,6.375,,27.792
2012-03-25,4.833,20.625,38.792,18.167,,30.792
2012-03-26,4.792,20.042,40.167,20.125,,12.667
2012-03-27,6.391,28.217,63.13,34.913,,22.143
2012-03-28,5.917,25.25,59.833,34.583,,
2012-03-29,5.167,21.792,48.583,26.792,,29.615
2012-03-30,3.917,13.292,22.167,8.875,,24.125
