date,NO2_mean,NOX_mean,NO_mean,SO2_mean
2012-04-03,21.917,45.458,23.542,3.583
2012-04-04,16.708,28.125,11.417,4.208
2012-04-05,23.583,70.708,47.125,5.792
2012-04-06,7.583,11.167,3.583,3.833
2012-04-07,3.583,5.417,1.833,3.375
2012-04-08,15.417,72.208,56.792,3.917
2012-04-09,14.5,47.5,33.0,6.417
2012-04-10,14.292,57.958,43.667,4.5
2012-04-11,5.478,8.652,3.174,2.261
2012-04-12,7.583,15.833,8.25,3.5
2012-04-13,11.917,33.333,21.417,2.333
2012-04-14,13.375,41.208,27.833,3.042
2012-04-15,15.417,108.042,92.625,3.417
2012-04-16,11.042,20.333,9.292,1.792
2012-04-17,11.083,68.542,57.458,2.583
2012-04-18,5.304,46.13,40.826,2.583
2012-04-19,5.458,30.708,25.25,1.292
2012-04-20,6.458,14.583,8.125,1.167
2012-04-21,2.667,7.333,4.667,1.042
2012-04-22,0.167,1.292,1.125,1.0
2012-04-23,16.625,34.167,17.542,3.75
2012-04-24,12.833,44.875,32.042,4.0
2012-04-25,8.318,34.409,26.091,2.609
2012-04-26,2.708,3.458,0.75,1.375
2012-04-27,1.625,2.208,0.583,3.083
2012-04-28,11.542,82.542,71.0,3.417
2012-04-29,8.708,61.75,53.042,2.458
2012-04-30,1.708,1.875,0.167,1.0
2012-05-01,4.0,6.375,2.375,1.042
2012-05-02,1.957,3.696,1.739,1.0
2012-05-03,8.667,20.292,11.625,2.542
2012-05-04,7.333,10.25,2.917,3.75
2012-05-05,18.125,38.083,19.958,5.417
2012-05-06,26.917,91.667,64.75,5.458
2012-05-07,22.083,83.75,61.667,5.292
2012-05-08,29.0,94.2,65.2,4.875
2012-05-09,7.5,18.125,10.625,4.217
2012-05-10,9.125,77.25,68.125,3.75
2012-05-11,1.5,1.833,0.333,3.458
2012-05-12,2.583,8.083,5.5,2.792
2012-05-13,9.958,84.958,75.0,2.417
2012-05-14,10.5,102.167,91.667,1.375
2012-05-15,9.042,21.292,12.25,1.214
2012-05-16,10.043,27.913,17.87,2.875
2012-05-17,17.458,67.292,49.833,3.542
2012-05-18,13.5,35.0,21.5,3.625
2012-05-19,15.0,76.375,61.375,2.875
2012-05-20,9.708,29.333,19.625,1.625
2012-05-21,5.375,10.792,5.417,1.375
2012-05-22,10.167,97.208,87.042,2.417
2012-05-23,14.217,117.348,103.13,3.261
2012-05-24,13.958,72.75,58.792,3.0
2012-05-25,13.208,86.458,73.25,1.292
2012-05-26,6.75,19.833,13.083,2.125
2012-05-27,10.333,101.083,90.75,3.417
2012-05-28,9.667,73.375,63.708,2.917
2012-05-29,4.125,7.042,2.917,2.583
2012-05-30,2.13,2.391,0.261,2.25
2012-05-31,8.833,18.875,10.042,2.333
2012-06-01,5.333,13.375,8.042,2.167
2012-06-02,7.0,51.042,44.042,1.333
2012-06-03,3.417,11.708,8.292,2.25
2012-06-04,8.167,61.625,53.458,2.583
2012-06-05,4.833,6.833,2.0,1.0
2012-06-06,8.087,29.217,21.13,2.13
2012-06-07,9.958,54.25,44.292,3.083
2012-06-08,3.375,21.167,17.792,1.0
2012-06-09,12.875,32.125,19.25,2.25
2012-06-10,3.458,16.958,13.5,3.0
2012-06-11,3.542,9.667,6.125,2.125
2012-06-12,5.375,9.625,4.25,1.042
2012-06-13,7.739,60.783,53.043,2.75
2012-06-14,7.625,40.583,32.958,2.292
2012-06-15,0.625,1.417,0.792,1.292
2012-06-16,5.875,15.958,10.083,1.0
2012-06-17,4.458,28.5,24.042,2.0
2012-06-18,4.75,21.042,16.292,2.417
2012-06-19,3.292,15.25,11.958,1.125
2012-06-20,3.783,39.739,35.957,1.478
2012-06-21,1.958,2.292,0.333,1.0
2012-06-22,4.542,7.083,2.542,2.375
2012-06-23,3.667,9.125,5.458,1.25
2012-06-24,3.333,4.042,0.708,1.0
2012-06-25,8.333,13.833,5.5,1.042
2012-06-26,3.875,4.792,0.917,1.0
2012-06-27,4.304,7.0,2.696,1.0
2012-06-28,4.5,12.083,7.583,1.833
2012-06-29,3.833,80.833,77.0,2.333
2012-06-30,0.583,0.958,0.375,1.0
2012-07-01,4.917,12.667,7.75,2.042
2012-07-02,8.625,45.792,37.167,2.125
2012-07-03,6.667,16.25,9.583,1.042
2012-07-04,9.217,75.478,66.261,1.783
2012-07-05,2.375,11.375,9.0,2.083
2012-07-06,1.167,2.75,1.583,1.542
2012-07-07,4.333,7.083,2.75,1.917
2012-07-08,0.958,1.167,0.208,2.625
2012-07-09,1.458,1.875,0.417,2.583
2012-07-10,0.708,0.833,0.125,2.792
2012-07-11,0.696,0.696,0.0,1.0
2012-07-12,5.125,8.792,3.667,1.0
2012-07-13,2.292,3.417,1.125,1.042
2012-07-14,3.875,10.292,6.417,1.0
2012-07-15,0.667,1.625,0.958,1.125
2012-07-16,0.417,0.625,0.208,1.208
2012-07-17,0.167,0.375,0.208,2.125
2012-07-18,0.565,0.913,0.348,1.957
2012-07-19,1.208,3.042,1.833,1.0
2012-07-20,1.792,9.833,8.042,0.917
2012-07-21,1.917,8.542,6.625,2.167
2012-07-22,0.583,1.5,0.917,1.167
2012-07-23,0.333,0.5,0.167,2.208
2012-07-24,2.917,9.792,6.875,2.958
2012-07-25,2.913,11.348,8.435,2.917
2012-07-26,3.583,17.375,13.792,3.083
2012-07-27,6.208,62.708,56.5,3.083
2012-07-28,3.667,47.125,43.458,3.0
2012-07-29,3.833,47.583,43.75,3.333
2012-07-30,1.0,1.833,0.833,3.208
2012-07-31,0.417,0.708,0.292,3.0
2012-08-01,2.217,17.609,15.391,1.0
2012-08-02,0.25,0.542,0.292,1.375
2012-08-03,1.042,4.875,3.833,2.417
2012-08-04,2.417,40.167,37.75,1.875
2012-08-05,0.375,1.417,1.042,0.875
2012-08-06,1.167,3.583,2.417,1.417
2012-08-07,3.167,43.833,40.667,2.333
2012-08-08,2.478,46.565,44.087,1.375
2012-08-09,1.583,14.333,12.75,1.792
2012-08-10,2.75,9.708,6.958,2.167
2012-08-11,1.708,5.375,3.667,0.917
2012-08-12,2.417,13.083,10.667,1.333
2012-08-13,0.625,0.917,0.292,2.292
2012-08-14,1.708,9.583,7.875,0.792
2012-08-15,0.667,0.792,0.125,0.792
2012-08-16,0.565,3.739,3.174,1.826
2012-08-17,2.375,48.0,45.625,2.5
2012-08-18,3.125,74.375,71.25,2.435
2012-08-19,1.75,5.75,4.0,1.875
2012-08-20,1.208,2.75,1.542,1.542
2012-08-21,2.917,5.083,2.167,1.125
2012-08-22,1.87,14.696,12.826,1.208
2012-08-23,0.833,2.25,1.417,0.583
2012-08-24,0.542,2.0,1.458,1.0
2012-08-25,0.292,2.375,2.083,1.708
2012-08-26,1.083,7.375,6.292,1.0
