date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2015-05-20,194.583,7.417,3.783,4.304,0.522,24.0,0.739,202.0
2015-05-21,195.458,5.417,5.125,6.25,1.125,14.208,0.708,200.875
2015-05-22,194.917,4.583,4.125,4.75,0.625,21.917,8.25,199.5
2015-05-23,197.375,9.0,6.375,7.458,1.083,28.083,2.375,206.375
2015-05-24,193.125,4.792,2.5,3.0,0.5,9.5,0.792,197.917
2015-05-25,192.167,4.958,3.5,4.583,1.083,18.083,5.208,197.125
2015-05-26,191.85,8.15,3.905,4.667,0.762,25.571,1.476,200.0
2015-05-27,194.917,11.292,6.609,7.348,0.739,31.125,1.087,206.208
2015-05-28,195.25,14.458,8.667,9.542,0.875,36.182,1.292,209.708
2015-05-29,194.917,12.125,6.417,7.667,1.25,29.048,1.25,207.042
2015-05-30,192.958,15.542,7.417,8.125,0.708,31.048,1.5,208.5
2015-05-31,188.917,11.125,3.0,3.167,0.167,21.708,0.792,200.042
2015-06-01,191.167,11.625,3.792,4.375,0.583,34.833,1.375,202.792
2015-06-02,189.6,9.2,4.905,5.476,0.571,24.25,0.714,198.8
2015-06-03,184.083,7.833,3.391,4.043,0.652,10.583,0.13,191.917
2015-06-04,193.958,7.583,5.0,6.583,1.583,20.333,2.042,201.542
2015-06-05,189.333,6.583,5.0,5.958,0.958,12.792,0.208,195.917
2015-06-06,190.125,6.0,4.417,5.5,1.083,9.0,0.458,196.125
2015-06-07,192.667,8.417,5.25,6.5,1.25,23.167,0.833,201.083
2015-06-08,188.333,7.042,5.667,6.708,1.042,6.167,0.0,195.375
2015-06-09,189.2,13.1,6.571,7.81,1.238,6.476,0.0,202.3
2015-06-10,195.583,15.667,7.609,9.304,1.696,13.417,0.087,211.25
2015-06-11,180.667,9.75,2.292,3.5,1.208,6.542,0.0,190.417
2015-06-12,191.75,11.5,1.875,3.25,1.375,24.208,0.25,203.25
2015-06-13,197.792,10.542,4.042,4.958,0.917,30.917,0.208,208.333
2015-06-14,189.792,8.292,2.375,3.167,0.792,10.333,0.0,198.083
2015-06-15,190.083,9.583,4.375,5.292,0.917,10.542,0.0,199.667
2015-06-16,195.348,11.435,5.833,6.625,0.792,20.0,0.333,206.783
2015-06-17,203.0,12.632,7.1,7.9,0.8,21.0,0.1,215.632
2015-06-18,192.083,11.042,7.917,9.292,1.375,4.375,0.25,203.125
2015-06-19,194.083,11.25,5.708,6.75,1.042,7.125,0.375,205.333
2015-06-20,192.75,9.0,3.375,4.208,0.833,7.625,0.333,201.75
2015-06-21,194.292,8.917,2.875,3.75,0.875,13.75,0.083,203.208
2015-06-22,198.208,9.042,4.458,5.333,0.875,21.333,0.083,207.25
2015-06-23,198.714,10.762,5.381,6.571,1.19,18.048,0.143,209.476
2015-06-24,196.87,11.0,6.217,7.696,1.478,17.417,0.348,207.87
2015-06-25,191.375,8.583,5.542,7.542,2.0,7.625,0.375,199.958
2015-06-26,181.125,4.875,1.542,2.625,1.083,11.875,0.0,186.0
2015-06-27,191.167,6.333,3.458,4.042,0.583,8.583,0.167,197.5
2015-06-28,191.542,5.958,3.542,4.083,0.542,12.125,0.75,197.5
2015-06-29,193.583,6.208,5.0,6.542,1.542,21.958,2.667,199.792
2015-06-30,189.458,7.792,5.583,7.0,1.417,14.667,0.042,197.25
2015-07-01,188.588,5.118,1.87,1.913,0.043,8.708,0.0,193.706
2015-07-02,199.667,18.0,4.476,4.476,0.0,13.524,0.0,217.667
2015-07-03,203.0,18.042,6.25,7.708,1.458,20.5,0.833,221.042
2015-07-04,196.833,15.583,5.083,5.125,0.042,18.125,0.958,212.417
2015-07-05,198.917,14.375,3.167,3.167,0.0,13.542,1.042,213.292
2015-07-06,203.167,15.875,8.333,9.958,1.625,15.625,0.625,219.042
2015-07-07,200.905,16.619,10.143,11.667,1.524,9.524,0.524,217.524
2015-07-08,196.957,10.696,6.348,9.696,3.348,11.625,0.783,207.652
2015-07-09,194.625,7.625,4.542,8.458,3.917,11.542,2.542,202.25
2015-07-10,186.875,6.125,5.583,9.708,4.125,10.542,0.417,193.0
2015-07-11,189.292,5.292,3.167,5.917,2.75,4.667,0.042,194.583
2015-07-12,186.167,3.333,0.917,2.583,1.667,4.417,0.0,189.5
2015-07-13,187.5,2.875,2.208,3.542,1.333,7.667,0.208,190.375
2015-07-14,196.905,5.714,4.095,6.19,2.095,6.619,0.333,202.619
2015-07-15,193.0,10.217,3.696,6.13,2.435,10.333,3.87,203.217
2015-07-16,185.75,8.208,3.458,3.583,0.125,16.458,0.167,193.958
2015-07-17,187.75,6.167,3.292,3.792,0.5,3.667,0.125,193.917
2015-07-18,199.417,8.958,5.25,6.875,1.625,10.333,0.833,208.375
2015-07-19,201.333,9.917,3.333,3.708,0.375,10.125,0.208,211.25
2015-07-20,196.625,7.833,2.625,3.083,0.458,4.458,0.333,204.458
2015-07-21,190.917,7.083,3.25,4.667,1.417,6.833,0.083,198.0
2015-07-22,183.3,4.3,2.25,2.6,0.35,7.048,0.0,187.6
2015-07-23,197.292,7.042,4.083,5.583,1.5,6.542,0.708,204.333
2015-07-24,200.5,7.042,3.5,4.708,1.208,10.042,1.583,207.542
2015-07-25,208.958,7.75,2.583,3.458,0.875,9.875,0.042,216.708
2015-07-26,198.125,5.083,1.333,1.333,0.0,5.167,0.0,203.208
2015-07-27,182.708,4.875,2.0,2.167,0.167,12.542,0.167,187.583
2015-07-28,183.0,4.429,0.952,1.095,0.143,13.095,0.0,187.429
2015-07-29,182.696,5.435,1.304,1.826,0.522,17.292,0.217,188.13
2015-07-30,188.043,6.304,2.625,3.917,1.292,18.458,0.458,194.348
