date,CO_mean
2012-12-21,6.5
2012-12-22,6.625
2012-12-23,4.417
2012-12-24,2.875
2012-12-25,4.25
2012-12-26,8.045
2012-12-27,6.75
2012-12-28,7.667
2012-12-29,6.708
2012-12-30,6.333
2012-12-31,2.875
2013-01-01,3.5
2013-01-02,3.875
2013-01-03,4.333
2013-01-04,4.833
2013-01-05,3.417
2013-01-06,4.542
2013-01-07,5.667
2013-01-08,6.333
2013-01-09,4.667
2013-01-10,4.583
2013-01-11,5.25
2013-01-12,5.333
2013-01-13,5.75
2013-01-14,7.391
2013-01-15,5.417
2013-01-16,5.208
2013-01-17,5.75
2013-01-18,5.667
2013-01-19,3.25
2013-01-20,4.667
2013-01-21,4.333
2013-01-22,5.5
2013-01-23,5.958
2013-01-24,6.208
2013-01-25,4.125
2013-01-26,4.333
2013-01-27,5.083
2013-01-28,5.826
2013-01-29,7.458
2013-01-30,9.833
2013-01-31,6.625
2013-02-01,6.417
2013-02-02,6.458
2013-02-03,6.773
2013-02-04,3.458
2013-02-05,4.083
2013-02-06,5.542
2013-02-07,3.792
2013-02-08,5.125
2013-02-09,4.125
2013-02-10,4.391
2013-02-11,3.083
2013-02-12,4.125
2013-02-13,3.292
2013-02-14,3.583
2013-02-15,3.458
2013-02-16,4.125
2013-02-17,5.762
2013-02-18,3.917
2013-02-19,3.625
2013-02-20,5.375
2013-02-21,5.083
2013-02-22,4.625
2013-02-23,4.833
2013-02-24,5.565
2013-02-25,6.542
2013-02-26,7.25
2013-02-27,6.292
2013-02-28,7.0
2013-03-01,6.25
2013-03-02,4.792
2013-03-03,3.143
2013-03-04,4.792
2013-03-05,4.667
2013-03-06,3.375
2013-03-07,3.958
2013-03-08,4.292
2013-03-09,4.417
2013-03-10,3.739
2013-03-11,4.333
2013-03-12,5.125
2013-03-13,5.458
2013-03-14,4.583
2013-03-15,4.458
2013-03-16,4.542
2013-03-17,5.048
2013-03-18,4.792
2013-03-19,6.417
2013-03-20,5.125
2013-03-21,3.042
2013-03-22,3.792
2013-03-23,4.542
2013-03-24,5.043
2013-03-25,4.25
2013-03-26,6.5
2013-03-27,4.292
2013-03-28,4.417
2013-03-29,4.5
2013-03-30,3.917
2013-03-31,4.913
2013-04-01,5.174
2013-04-02,7.125
2013-04-03,7.591
2013-04-04,7.417
2013-04-05,7.125
2013-04-06,5.5
2013-04-07,3.125
2013-04-08,4.0
2013-04-09,3.875
2013-04-10,3.13
2013-04-11,3.833
2013-04-12,3.875
2013-04-13,4.25
2013-04-14,3.417
2013-04-15,3.458
2013-04-16,5.167
2013-04-17,5.043
2013-04-18,3.792
2013-04-19,3.864
2013-04-20,4.542
2013-04-21,4.25
2013-04-22,4.792
2013-04-23,6.542
2013-04-24,6.333
2013-04-25,5.167
2013-04-26,3.826
2013-04-27,3.667
2013-04-28,4.625
2013-04-29,5.333
2013-04-30,3.958
2013-05-01,5.136
2013-05-02,4.208
2013-05-03,3.625
2013-05-04,4.083
2013-05-05,3.958
2013-05-06,3.583
2013-05-07,4.125
2013-05-08,4.609
2013-05-09,4.5
2013-05-10,6.375
2013-05-11,5.458
2013-05-12,3.583
2013-05-13,4.333
2013-05-14,4.042
2013-05-15,3.524
2013-05-16,4.0
2013-05-17,3.958
2013-05-18,4.458
2013-05-19,3.875
2013-05-20,4.625
2013-05-21,4.458
2013-05-22,3.913
2013-05-23,4.75
2013-05-24,4.75
2013-05-25,4.417
2013-05-26,3.042
2013-05-27,3.208
2013-05-28,3.708
2013-05-29,3.87
2013-05-30,4.455
2013-05-31,5.458
2013-06-01,5.083
2013-06-02,3.292
2013-06-03,4.458
2013-06-04,3.792
2013-06-05,4.208
2013-06-06,5.043
2013-06-07,4.917
2013-06-08,4.375
2013-06-09,4.667
2013-06-10,4.292
2013-06-11,4.667
2013-06-12,4.5
2013-06-13,3.167
2013-06-14,3.5
2013-06-15,4.542
2013-06-16,3.458
2013-06-17,2.708
2013-06-18,2.75
2013-06-19,2.435
2013-06-20,4.542
2013-06-21,4.083
2013-06-22,3.542
2013-06-23,3.542
2013-06-24,4.045
2013-06-25,5.542
2013-06-26,5.333
2013-06-27,5.083
2013-06-28,5.667
2013-06-29,4.25
2013-06-30,4.458
2013-07-01,4.565
2013-07-02,4.417
2013-07-03,3.208
2013-07-04,3.667
2013-07-05,1.333
2013-07-06,2.5
2013-07-07,2.833
2013-07-08,3.304
2013-07-09,3.0
2013-07-10,2.455
