Station ID,Prefecture Code,Prefecture Name,City Code,City Name,Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Altitude (m),Year Start,Month Start,Day Start,Year End,Month End,Day End
3211070,3,Iwate-ken,3211,Kamaishi-shi,39,15,57,141,50,44,15,1978,3,1,,,
3213020,3,Iwate-ken,3213,Ninohe-shi,40,16,7,141,17,39,100,2005,4,1,,,
3215010,3,Iwate-ken,3215,Ousyuu-shi,39,11,34,141,10,30,43,2007,4,1,,,
3305010,3,Iwate-ken,3216,Takizawa-shi,39,46,55,141,8,22,200,1998,4,1,,,
3321010,3,Iwate-ken,3321,Shiwa-cho,39,33,21,141,10,20,95,2007,4,1,,,
4101010,4,Miyagi-ken,4101,Sendai-shi Aoba-ku,38,16,19,140,46,32,97,1996,4,,,,
4101020,4,Miyagi-ken,4101,Sendai-shi Aoba-ku,38,16,7,140,45,50,110.7,2016,11,1,,,
4101510,4,Miyagi-ken,4101,Sendai-shi Aoba-ku,38,17,36,140,52,23,37,2009,3,12,,,
4104010,4,Miyagi-ken,4104,Sendai-shi Taihaku-ku,38,15,33,140,40,16,172.6,2016,11,1,,,
4105520,4,Miyagi-ken,4105,Sendai-shi Izumi-ku,38,18,38,140,50,47,60,2001,4,1,,,
4105530,4,Miyagi-ken,4105,Sendai-shi Izumi-ku,38,20,13,140,53,9,37,2001,4,1,,,
4201020,4,Miyagi-ken,4102,Sendai-shi Miyagino-ku,38,18,4,140,56,47,10,1971,12,,,,
4201030,4,Miyagi-ken,4102,Sendai-shi Miyagino-ku,38,17,27,140,54,41,53,1971,12,,,,
4201050,4,Miyagi-ken,4104,Sendai-shi Taihaku-ku,38,13,10,140,53,23,8,1971,12,,,,
4201060,4,Miyagi-ken,4101,Sendai-shi Aoba-ku,38,17,44,140,50,23,129,1971,12,,,,
4201070,4,Miyagi-ken,4102,Sendai-shi Miyagino-ku,38,15,53,140,58,40,1.7,1971,12,,,,
4201080,4,Miyagi-ken,4103,Sendai-shi Wakabayashi-ku,38,14,26,140,56,36,4,1971,12,,,,
4201140,4,Miyagi-ken,4104,Sendai-shi Taihaku-ku,38,14,50,140,51,20,138,1971,12,,,,
4201210,4,Miyagi-ken,4102,Sendai-shi Miyagino-ku,38,16,48,140,58,16,5,1978,1,,,,
4201220,4,Miyagi-ken,4104,Sendai-shi Taihaku-ku,38,13,13,140,49,43,70,1978,1,,,,
4201230,4,Miyagi-ken,4102,Sendai-shi Miyagino-ku,38,15,35,140,53,55,36,1981,4,,,,
4201540,4,Miyagi-ken,4102,Sendai-shi Miyagino-ku,38,16,2,140,54,41,18,1973,11,,,,
4201550,4,Miyagi-ken,4101,Sendai-shi Aoba-ku,38,16,15,140,51,46,49,1973,9,,,,
4201560,4,Miyagi-ken,4103,Sendai-shi Wakabayashi-ku,38,15,4,140,52,52,30,1981,2,,,,
4202010,4,Miyagi-ken,4202,Ishinomaki-shi,38,26,44,141,16,47,2,1973,6,,2019,9,25
4202060,4,Miyagi-ken,4202,Ishinomaki-shi,38,43,26,141,26,29,1.7,2019,10,5,,,
4203010,4,Miyagi-ken,4203,Shiogama-shi,38,18,54,141,1,20,5,1971,7,,,,
4203510,4,Miyagi-ken,4203,Shiogama-shi,38,18,59,141,1,41,2,1984,12,,,,
4204020,4,Miyagi-ken,4215,Oosaki-shi,38,33,36,140,58,31,17,1998,3,,,,
4204510,4,Miyagi-ken,4215,Oosaki-shi,38,34,17,140,58,43,18,1992,4,,,,
4205020,4,Miyagi-ken,4205,Kesennuma-shi,38,54,11,141,34,14,35,1976,4,,,,
