date,NO2_mean,NOX_mean,NO_mean
2018-08-24,2.667,3.125,0.458
2018-08-25,2.042,2.333,0.292
2018-08-26,5.478,7.261,1.783
2018-08-27,7.625,9.208,1.583
2018-08-28,7.167,8.208,1.042
2018-08-29,7.625,9.042,1.417
2018-08-30,6.708,10.958,4.25
2018-08-31,5.435,8.826,3.391
2018-09-01,5.375,7.167,1.792
2018-09-02,4.652,5.13,0.478
2018-09-03,5.458,7.417,1.958
2018-09-04,2.542,3.542,1.0
2018-09-05,7.375,9.25,1.875
2018-09-06,10.208,11.792,1.583
2018-09-07,6.042,7.667,1.625
2018-09-08,4.625,4.833,0.208
2018-09-09,8.0,9.913,1.913
2018-09-10,7.625,9.042,1.417
2018-09-11,5.875,6.292,0.417
2018-09-12,8.125,8.917,0.792
2018-09-13,12.667,13.875,1.208
2018-09-14,9.739,10.87,1.13
2018-09-15,9.792,11.792,2.0
2018-09-16,5.0,9.174,4.174
2018-09-17,2.875,3.083,0.208
2018-09-18,4.125,5.0,0.875
2018-09-19,7.458,8.792,1.333
2018-09-20,12.833,13.958,1.125
2018-09-21,13.542,15.542,2.0
2018-09-22,7.208,8.292,1.083
2018-09-23,3.783,4.174,0.391
2018-09-24,6.25,6.958,0.708
2018-09-25,7.625,8.042,0.417
2018-09-26,11.75,13.208,1.458
2018-09-27,8.208,8.917,0.708
2018-09-28,6.522,8.391,1.87
2018-09-29,7.833,8.375,0.542
2018-09-30,2.609,3.652,1.043
2018-10-01,5.0,7.0,2.0
2018-10-02,9.292,11.917,2.625
2018-10-03,6.5,8.208,1.708
2018-10-04,11.583,14.375,2.792
2018-10-05,7.417,9.375,1.958
2018-10-06,5.25,7.25,2.0
2018-10-07,4.043,4.261,0.217
2018-10-08,4.292,4.583,0.292
2018-10-09,8.174,9.478,1.304
2018-10-10,10.25,12.292,2.042
2018-10-11,9.167,9.708,0.542
2018-10-12,5.5,6.083,0.583
2018-10-13,6.083,8.5,2.417
2018-10-14,4.609,4.696,0.087
2018-10-15,9.25,9.875,0.625
2018-10-16,9.167,11.125,1.958
2018-10-17,6.583,6.833,0.25
2018-10-18,8.125,9.625,1.5
2018-10-19,8.958,10.625,1.667
2018-10-20,6.292,6.458,0.167
2018-10-21,4.739,6.391,1.652
2018-10-22,8.583,10.708,2.125
2018-10-23,13.583,17.333,3.75
2018-10-24,8.261,9.652,1.391
2018-10-25,7.125,10.708,3.583
2018-10-26,10.917,14.875,3.958
2018-10-27,6.917,7.542,0.625
2018-10-28,3.87,5.217,1.348
2018-10-29,9.083,11.5,2.417
2018-10-30,9.292,12.208,2.917
2018-10-31,7.167,9.208,2.042
2018-11-01,6.792,10.667,3.875
2018-11-02,6.75,9.875,3.125
2018-11-03,5.917,8.25,2.333
2018-11-04,5.043,5.478,0.435
2018-11-05,7.875,10.417,2.542
2018-11-06,8.625,9.875,1.25
2018-11-07,7.875,10.375,2.5
2018-11-08,12.652,16.87,4.217
2018-11-09,11.958,14.083,2.125
2018-11-10,5.583,5.708,0.125
2018-11-11,5.13,6.174,1.043
2018-11-12,9.833,11.5,1.667
2018-11-13,6.958,8.167,1.208
2018-11-14,7.167,8.458,1.292
2018-11-15,6.583,8.125,1.542
2018-11-16,10.0,15.0,5.0
2018-11-17,6.792,8.708,1.917
2018-11-18,7.783,9.304,1.522
2018-11-19,9.667,10.917,1.25
2018-11-20,10.458,14.875,4.417
2018-11-21,14.333,19.417,5.083
2018-11-22,9.87,11.826,1.957
2018-11-23,7.167,8.75,1.583
2018-11-24,7.542,9.583,2.042
2018-11-25,9.261,12.348,3.087
2018-11-26,13.167,23.042,9.875
2018-11-27,19.875,31.0,11.125
2018-11-28,12.667,19.167,6.5
2018-11-29,10.167,12.833,2.667
2018-11-30,11.375,15.583,4.208
2018-12-01,10.292,14.292,4.0
2018-12-02,9.217,11.0,1.783
2018-12-03,13.167,21.417,8.25
2018-12-04,9.458,22.417,12.958
2018-12-05,8.208,10.083,1.875
2018-12-06,15.043,19.304,4.261
2018-12-07,9.083,11.375,2.292
2018-12-08,5.042,5.458,0.417
2018-12-09,4.522,4.87,0.348
2018-12-10,8.958,12.5,3.542
2018-12-11,13.25,21.042,7.792
2018-12-12,10.375,13.875,3.5
2018-12-13,12.708,19.583,6.875
2018-12-14,9.75,17.0,7.25
2018-12-15,8.0,9.792,1.792
2018-12-16,13.783,17.826,4.043
2018-12-17,9.792,12.875,3.083
2018-12-18,13.167,23.25,10.083
2018-12-19,14.125,23.917,9.792
2018-12-20,16.208,31.542,15.333
2018-12-21,15.773,22.455,6.682
2018-12-22,14.417,17.875,3.458
2018-12-23,8.913,11.261,2.348
2018-12-24,4.833,5.333,0.5
2018-12-25,15.125,23.667,8.542
2018-12-26,17.417,25.958,8.542
2018-12-27,9.833,11.708,1.875
2018-12-28,5.458,6.292,0.833
2018-12-29,6.667,7.833,1.167
2018-12-30,4.913,5.391,0.478
2018-12-31,6.833,7.708,0.875
