date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,THC_mean
2011-07-06,184.609,10.435,8.167,9.208,1.042,1.958,195.043
2011-07-07,179.458,8.5,5.583,10.792,5.208,3.333,187.958
2011-07-08,176.522,5.783,2.435,3.522,1.087,2.174,182.304
2011-07-09,176.583,5.333,2.458,3.0,0.542,2.25,181.917
2011-07-10,177.875,5.458,2.542,2.917,0.375,2.5,183.333
2011-07-11,177.958,5.042,2.417,2.75,0.333,2.25,183.0
2011-07-12,178.917,5.5,3.458,4.167,0.708,3.167,184.417
2011-07-13,178.913,3.174,5.417,6.25,0.833,2.833,182.087
2011-07-14,179.292,2.708,3.333,4.292,0.958,2.292,182.0
2011-07-15,178.522,2.174,2.043,2.522,0.478,1.565,180.696
2011-07-16,177.875,2.292,2.125,2.375,0.25,2.125,180.167
2011-07-17,176.583,1.458,3.333,4.083,0.75,5.208,178.042
2011-07-18,173.25,1.25,1.375,1.5,0.125,2.458,174.5
2011-07-19,171.292,1.917,1.458,1.458,0.0,1.292,173.208
2011-07-20,180.522,1.565,2.292,2.333,0.042,2.833,182.087
2011-07-21,183.75,2.667,3.667,4.0,0.333,4.583,186.417
2011-07-22,187.045,2.273,4.273,4.455,0.182,2.5,189.318
2011-07-23,187.0,2.208,2.625,2.708,0.083,1.917,189.208
2011-07-24,185.875,2.0,3.042,3.167,0.125,2.75,187.875
2011-07-25,185.917,1.458,2.708,3.083,0.375,2.667,187.375
2011-07-26,187.125,2.792,3.625,4.125,0.5,2.792,189.917
2011-07-27,178.826,3.957,2.458,2.708,0.25,2.292,182.783
2011-07-28,175.625,3.708,2.083,2.667,0.583,2.375,179.333
2011-07-29,178.818,4.182,2.727,3.136,0.409,2.381,183.0
2011-07-30,176.833,4.208,2.333,2.708,0.375,2.5,181.042
2011-07-31,176.833,5.208,2.125,2.208,0.083,2.25,182.042
2011-08-01,176.458,5.375,3.125,3.458,0.333,2.25,181.833
2011-08-02,176.417,5.125,3.208,4.0,0.792,1.833,181.542
2011-08-03,175.304,2.565,3.25,4.875,1.625,3.167,177.87
2011-08-04,175.542,1.208,3.375,4.292,0.917,2.833,176.75
2011-08-05,173.87,2.174,4.043,5.609,1.565,2.522,176.043
2011-08-06,173.25,1.25,1.417,1.708,0.292,1.292,174.5
2011-08-07,174.292,0.792,1.375,1.583,0.208,1.458,175.083
2011-08-08,175.5,1.667,2.458,3.0,0.542,1.083,177.167
2011-08-09,177.583,2.042,2.292,3.333,1.042,1.083,179.625
2011-08-10,177.391,4.739,3.333,4.833,1.5,2.625,182.13
2011-08-11,176.458,4.042,2.75,3.333,0.583,1.625,180.5
2011-08-12,176.0,3.826,2.565,3.043,0.478,1.739,179.826
2011-08-13,176.5,3.875,2.125,2.333,0.208,2.458,180.375
2011-08-14,177.917,4.167,2.25,2.625,0.375,1.25,182.083
2011-08-15,178.958,4.417,2.458,2.667,0.208,1.0,183.375
2011-08-16,178.25,5.083,4.375,5.667,1.292,2.833,183.333
2011-08-17,177.13,3.957,2.5,3.125,0.625,1.0,181.087
2011-08-18,181.792,4.208,2.5,3.0,0.5,1.0,186.0
2011-08-19,186.708,3.917,3.417,3.792,0.375,1.333,190.625
2011-08-20,187.409,4.591,4.273,4.636,0.364,2.273,192.0
2011-08-21,183.458,3.542,2.25,2.5,0.25,1.292,187.0
2011-08-22,186.292,6.167,3.917,4.333,0.417,1.792,192.458
2011-08-23,177.75,3.167,2.458,2.833,0.375,1.667,180.917
2011-08-24,176.348,4.957,2.667,4.167,1.5,1.292,181.304
2011-08-25,176.227,4.5,3.045,4.318,1.273,1.636,180.727
2011-08-26,176.5,4.792,2.625,3.833,1.208,1.75,181.292
2011-08-27,176.25,4.458,2.042,2.583,0.542,1.208,180.708
2011-08-28,177.417,4.083,1.417,1.458,0.042,1.417,181.5
2011-08-29,177.792,4.75,1.958,2.292,0.333,1.375,182.542
2011-08-30,177.292,5.708,2.292,2.958,0.667,1.417,183.0
2011-08-31,178.435,2.348,2.875,3.208,0.333,2.375,180.783
2011-09-01,177.125,2.417,3.958,4.292,0.333,2.5,179.542
2011-09-02,173.458,0.833,2.333,2.417,0.083,1.0,174.292
2011-09-03,173.909,1.045,1.095,1.095,0.0,2.182,174.955
2011-09-04,178.75,1.625,1.5,1.5,0.0,3.083,180.375
2011-09-05,181.208,1.75,2.125,2.25,0.125,2.542,182.958
2011-09-06,184.583,2.208,4.25,4.625,0.375,2.375,186.792
2011-09-07,186.087,3.261,3.875,4.208,0.333,2.25,189.348
2011-09-08,184.917,3.625,3.75,4.0,0.25,2.542,188.542
2011-09-09,183.227,3.5,2.909,3.636,0.727,1.955,186.727
2011-09-10,179.625,2.583,2.083,2.833,0.75,1.292,182.208
2011-09-11,179.625,3.0,2.292,2.792,0.5,3.042,182.625
2011-09-12,181.083,2.333,2.667,3.208,0.542,1.583,183.417
2011-09-13,181.5,2.167,2.542,2.875,0.333,1.458,183.667
2011-09-14,179.174,4.826,1.917,2.333,0.417,1.333,184.0
2011-09-15,178.208,2.958,3.458,4.375,0.917,3.042,181.167
2011-09-16,176.125,3.208,3.5,4.333,0.833,3.375,179.333
2011-09-17,174.571,3.524,3.286,5.095,1.81,1.714,178.095
2011-09-18,174.542,3.0,1.333,1.375,0.042,1.5,177.542
2011-09-19,176.708,3.125,3.542,4.083,0.542,2.375,179.833
2011-09-20,174.792,3.625,3.875,4.958,1.083,2.917,178.417
2011-09-21,185.095,2.286,2.0,2.091,0.091,1.682,187.381
2011-09-22,189.292,2.458,2.792,3.042,0.25,2.208,191.75
2011-09-23,191.125,2.833,3.708,4.0,0.292,2.542,193.958
2011-09-24,192.0,3.875,3.667,4.25,0.583,1.417,195.875
2011-09-25,191.292,3.292,2.958,3.167,0.208,1.542,194.583
2011-09-26,189.958,3.5,5.167,5.625,0.458,1.458,193.458
2011-09-27,189.375,3.333,4.083,4.625,0.542,1.625,192.708
2011-09-28,183.652,4.13,3.042,3.333,0.292,1.375,187.783
2011-09-29,183.125,4.25,2.625,2.875,0.25,1.375,187.375
2011-09-30,184.864,4.364,2.955,3.273,0.318,3.5,189.227
2011-10-01,188.917,5.083,4.375,4.792,0.417,4.917,194.0
2011-10-02,189.042,4.458,3.292,3.375,0.083,2.583,193.5
2011-10-03,189.958,4.542,4.583,5.125,0.542,2.417,194.5
2011-10-04,189.875,5.083,4.0,4.708,0.708,1.0,194.958
2011-10-05,183.087,5.783,5.5,5.917,0.417,1.0,188.87
2011-10-06,183.25,5.833,3.5,3.708,0.208,2.792,189.083
2011-10-07,188.125,6.625,6.292,6.667,0.375,3.833,194.75
2011-10-08,186.583,6.083,4.125,4.458,0.333,1.75,192.667
2011-10-09,185.375,5.375,3.083,3.208,0.125,1.75,190.75
2011-10-10,183.5,4.958,2.5,2.708,0.208,1.0,188.458
2011-10-11,182.208,4.958,3.25,3.792,0.542,1.25,187.167
2011-10-12,185.783,5.304,4.167,4.75,0.583,1.708,191.087
2011-10-13,184.458,5.083,4.583,5.0,0.417,1.583,189.542
2011-10-14,180.208,4.458,3.833,4.125,0.292,1.458,184.667
2011-10-15,181.667,5.458,4.375,4.958,0.583,1.333,187.125
2011-10-16,188.125,4.667,2.667,3.125,0.458,1.375,192.792
2011-10-17,189.125,5.0,3.25,3.583,0.333,1.208,194.125
2011-10-18,188.875,4.875,4.167,4.75,0.583,2.083,193.75
2011-10-19,186.13,4.348,3.458,4.0,0.542,1.083,190.478
2011-10-20,184.542,4.125,4.333,4.542,0.208,1.042,188.667
2011-10-21,168.909,19.864,8.217,8.652,0.435,0.87,188.773
2011-10-22,181.083,4.417,3.125,3.667,0.542,0.125,185.5
