date,CH4_mean,NMHC_mean,PM25_mean,THC_mean
2013-05-09,186.696,5.826,6.375,192.522
2013-05-10,187.417,9.75,20.292,197.167
2013-05-11,185.167,7.292,10.167,192.458
2013-05-12,186.292,5.25,18.583,191.542
2013-05-13,189.045,6.091,23.0,195.136
2013-05-14,190.75,7.333,26.875,198.083
2013-05-15,187.583,5.542,25.125,193.125
2013-05-16,189.261,2.913,26.292,192.174
2013-05-17,188.708,3.042,9.833,191.75
2013-05-18,188.833,5.208,17.417,194.042
2013-05-19,186.292,3.375,7.083,189.667
2013-05-20,185.87,4.087,3.435,189.957
2013-05-21,188.458,4.5,26.625,192.958
2013-05-22,189.625,4.792,30.458,194.417
2013-05-23,188.609,2.435,19.708,191.043
2013-05-24,189.25,3.333,9.542,192.583
2013-05-25,189.458,3.667,20.792,193.125
2013-05-26,189.708,3.0,20.125,192.708
2013-05-27,189.043,2.043,14.087,191.087
2013-05-28,187.792,1.875,9.417,189.667
2013-05-29,186.875,3.25,3.167,190.125
2013-05-30,189.652,1.522,10.0,191.174
2013-05-31,189.273,2.864,17.958,192.136
2013-06-01,191.292,5.875,16.542,197.167
2013-06-02,187.625,6.0,15.917,193.625
2013-06-03,186.727,4.955,16.348,191.682
2013-06-04,187.958,4.75,15.667,192.708
2013-06-05,190.333,6.583,20.708,196.917
2013-06-06,189.5,6.25,19.458,195.75
2013-06-07,186.75,4.583,17.792,191.333
2013-06-08,185.417,3.917,13.208,189.333
2013-06-09,188.25,7.0,13.583,195.25
2013-06-10,190.227,5.364,18.364,195.591
2013-06-11,187.875,6.667,15.0,194.542
2013-06-12,186.083,5.417,9.167,191.5
2013-06-13,190.625,5.833,12.25,196.458
2013-06-14,186.292,4.625,14.826,190.917
2013-06-15,188.75,4.542,11.708,193.292
2013-06-16,186.625,4.25,7.958,190.875
2013-06-17,189.348,5.522,14.217,194.87
2013-06-18,189.667,6.167,18.583,195.833
2013-06-19,188.75,7.5,10.917,196.25
2013-06-20,193.25,6.542,3.917,199.792
2013-06-21,194.417,7.875,5.333,202.292
2013-06-22,188.458,4.25,8.0,192.708
2013-06-23,195.375,5.0,14.667,200.375
2013-06-24,192.478,5.522,14.87,198.0
2013-06-25,191.5,5.833,14.167,197.333
2013-06-26,187.792,4.75,6.75,192.542
2013-06-27,189.667,4.833,7.208,194.5
2013-06-28,191.833,5.792,14.125,197.625
2013-06-29,196.958,5.5,14.542,202.458
2013-06-30,191.333,4.958,13.25,196.292
2013-07-01,190.182,3.545,10.273,193.727
2013-07-02,191.292,4.708,11.5,196.0
2013-07-03,187.042,5.167,8.25,192.208
2013-07-04,191.375,8.542,8.5,199.917
2013-07-05,183.375,7.375,13.417,190.75
2013-07-06,183.667,5.958,12.417,189.625
2013-07-07,189.958,7.5,12.708,197.458
2013-07-08,185.227,6.091,15.87,191.318
2013-07-09,182.708,6.0,19.792,188.708
2013-07-10,184.083,6.625,24.417,190.708
2013-07-11,185.042,6.083,24.375,191.125
2013-07-12,183.875,6.667,27.125,190.542
2013-07-13,185.565,6.13,20.522,191.696
2013-07-14,184.917,6.042,9.375,190.958
2013-07-15,182.458,5.417,7.333,187.875
2013-07-16,187.864,5.0,10.087,192.864
2013-07-17,190.375,7.875,19.5,198.25
2013-07-18,185.0,5.625,14.25,190.625
2013-07-19,184.75,4.333,4.958,189.083
2013-07-20,190.75,6.333,8.75,197.083
2013-07-21,188.542,6.583,14.792,195.125
2013-07-22,190.348,7.478,19.591,197.826
2013-07-23,178.75,6.292,8.958,185.042
2013-07-24,186.208,9.167,14.375,195.375
2013-07-25,189.0,10.125,22.167,199.125
2013-07-26,190.167,9.333,28.417,199.5
2013-07-27,193.292,8.208,34.5,201.5
2013-07-28,196.458,7.292,36.391,203.75
2013-07-29,199.818,10.273,19.304,210.091
2013-07-30,196.708,9.542,27.75,206.25
2013-07-31,195.333,7.917,28.125,203.25
2013-08-01,188.667,7.25,19.292,195.917
2013-08-02,190.5,5.458,11.667,195.958
2013-08-03,187.208,5.417,3.792,192.625
2013-08-04,191.955,7.227,8.522,199.182
2013-08-05,188.0,8.522,11.773,196.522
2013-08-06,186.958,7.958,16.125,194.917
2013-08-07,190.542,7.833,22.583,198.375
2013-08-08,188.583,6.0,24.25,194.583
2013-08-09,188.208,7.25,31.083,195.458
2013-08-10,189.958,7.75,33.375,197.708
2013-08-11,187.917,5.917,31.417,193.833
2013-08-12,192.348,5.348,28.739,197.696
2013-08-13,192.667,5.625,28.792,198.292
2013-08-14,191.458,6.75,24.167,198.208
2013-08-15,194.208,8.792,31.696,203.0
2013-08-16,190.417,7.125,31.917,197.542
2013-08-17,190.167,5.833,21.875,196.0
2013-08-18,189.792,5.833,14.625,195.625
2013-08-19,187.087,6.739,15.739,193.826
2013-08-20,184.292,6.458,13.167,190.75
2013-08-21,180.917,6.708,10.917,187.625
2013-08-22,181.375,6.917,14.583,188.292
2013-08-23,182.167,7.833,12.391,190.0
2013-08-24,181.667,5.5,6.0,187.167
2013-08-25,185.458,4.833,8.167,190.292
2013-08-26,192.125,5.292,9.708,197.417
2013-08-27,191.435,4.957,6.522,196.391
2013-08-28,192.333,4.625,9.708,196.958
2013-08-29,193.167,6.667,20.875,199.833
2013-08-30,188.333,9.0,18.417,197.333
2013-08-31,183.458,6.083,10.75,189.542
2013-09-01,190.375,5.375,12.917,195.75
2013-09-02,186.591,5.5,6.261,192.091
2013-09-03,183.375,5.583,3.792,188.958
2013-09-04,185.417,3.958,3.917,189.375
2013-09-05,186.75,3.75,1.583,190.5
2013-09-06,188.708,4.75,4.375,193.458
2013-09-07,189.208,6.333,5.958,195.542
2013-09-08,188.083,4.417,2.667,192.5
2013-09-09,189.0,4.045,4.227,193.045
2013-09-10,189.125,6.625,14.333,195.75
2013-09-11,192.25,7.208,17.167,199.458
2013-09-12,193.5,7.875,28.417,201.375
2013-09-13,191.417,9.333,33.591,200.75
2013-09-14,189.208,6.792,24.0,196.0
2013-09-15,178.792,4.167,5.333,182.958
2013-09-16,183.958,3.667,4.333,187.625
2013-09-17,189.087,4.652,6.435,193.739
2013-09-18,188.625,5.208,10.125,193.833
2013-09-19,189.292,5.833,11.833,195.125
2013-09-20,191.625,8.333,19.125,199.958
2013-09-21,188.458,6.917,14.792,195.375
2013-09-22,188.708,5.875,19.0,194.583
2013-09-23,188.792,5.958,24.417,194.75
2013-09-24,187.87,6.652,16.609,194.522
2013-09-25,184.917,7.083,12.917,192.0
2013-09-26,188.208,4.958,4.208,193.167
2013-09-27,191.333,4.75,5.417,196.083
2013-09-28,191.958,6.0,10.182,197.958
2013-09-29,189.792,5.625,11.292,195.417
2013-09-30,189.696,6.217,14.609,195.913
2013-10-01,186.875,6.417,14.792,193.292
2013-10-02,185.083,4.458,11.043,189.542
2013-10-03,187.542,4.75,9.542,192.292
2013-10-04,190.0,4.875,10.958,194.875
2013-10-05,190.75,7.292,21.0,198.042
2013-10-06,188.375,8.208,14.182,196.583
2013-10-07,187.273,7.318,10.0,194.591
2013-10-08,187.042,6.333,11.375,193.375
2013-10-09,184.667,4.958,5.958,189.625
2013-10-10,186.375,7.458,5.909,193.833
2013-10-11,184.833,5.875,10.667,190.708
2013-10-12,188.333,4.667,14.909,193.0
2013-10-13,190.958,5.25,8.0,196.208
2013-10-14,191.25,4.792,11.583,196.042
2013-10-15,186.909,4.727,9.545,191.636
2013-10-16,186.333,3.167,3.833,189.5
2013-10-17,191.917,4.292,5.042,196.208
2013-10-18,191.958,6.167,8.875,198.125
2013-10-19,191.458,8.042,11.958,199.5
2013-10-20,188.125,5.833,5.125,193.958
2013-10-21,187.455,6.318,3.348,193.773
2013-10-22,187.458,5.292,4.708,192.75
2013-10-23,187.583,5.042,5.958,192.625
2013-10-24,188.083,7.0,6.375,195.083
2013-10-25,185.417,4.083,1.917,189.5
2013-10-26,190.042,4.292,7.75,194.333
2013-10-27,191.25,5.458,13.375,196.708
2013-10-28,191.591,4.636,10.913,196.227
2013-10-29,191.625,7.5,13.625,199.125
2013-10-30,192.083,6.333,17.958,198.417
2013-10-31,195.958,6.208,20.917,202.167
2013-11-01,195.0,5.375,19.542,200.375
2013-11-02,193.833,7.333,19.375,201.167
2013-11-03,193.875,9.542,28.875,203.417
2013-11-04,195.167,6.5,19.833,201.667
2013-11-05,193.0,4.955,19.261,197.955
2013-11-06,194.5,8.5,22.625,203.0
2013-11-07,192.083,5.958,16.708,198.042
2013-11-08,194.167,5.25,17.667,199.417
2013-11-09,193.5,6.333,11.417,199.833
2013-11-10,191.5,6.292,8.875,197.792
2013-11-11,190.727,3.5,3.182,194.227
2013-11-12,190.917,3.833,2.0,194.75
2013-11-13,193.125,4.542,3.375,197.667
2013-11-14,193.625,6.5,7.208,200.125
2013-11-15,193.125,7.542,9.583,200.667
2013-11-16,193.125,7.417,16.583,200.542
2013-11-17,193.667,8.625,27.25,202.292
2013-11-18,191.773,5.136,14.696,196.909
2013-11-19,192.875,4.792,6.417,197.667
2013-11-20,193.792,6.375,11.25,200.167
2013-11-21,194.375,6.625,13.042,201.0
2013-11-22,193.042,5.708,7.875,198.75
2013-11-23,191.917,5.083,5.833,197.0
2013-11-24,193.417,7.208,14.5,200.625
2013-11-25,191.409,8.682,14.348,200.091
2013-11-26,190.5,4.542,8.083,195.042
2013-11-27,191.792,8.417,10.5,200.208
2013-11-28,191.182,4.182,7.208,195.364
