date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-05-09,180.826,7.875,71.0,50.833,22.0,20.087,33.208,63.583,30.375,3.75,46.792,28.7,20.333,12.5,200.913
2011-05-10,174.13,7.292,95.0,85.167,69.0,20.043,25.292,79.333,54.042,3.125,65.833,24.1,21.942,19.2,194.174
2011-05-11,177.478,6.087,94.0,92.875,91.0,20.217,24.583,46.625,22.042,2.435,9.958,19.0,17.629,16.6,197.696
2011-05-12,178.696,6.292,93.0,84.708,67.0,22.957,21.583,45.125,23.542,2.833,12.333,20.3,18.6,16.6,201.652
2011-05-13,180.045,6.652,91.0,54.583,16.0,17.091,26.182,54.0,27.818,3.0,60.957,22.7,18.238,14.0,197.136
2011-05-14,181.913,7.125,66.0,38.375,23.0,12.913,23.083,42.167,19.083,4.125,44.125,22.7,18.396,14.1,194.826
2011-05-15,182.174,7.375,70.0,37.25,10.0,21.739,25.583,44.0,18.417,3.708,34.0,25.1,18.592,10.3,203.913
2011-05-16,181.13,7.917,68.0,45.5,25.0,24.826,42.333,85.333,43.0,4.042,41.042,25.1,19.671,13.3,205.957
2011-05-17,181.957,7.875,84.0,67.833,43.0,22.522,37.792,79.125,41.333,3.417,56.708,22.0,16.971,12.7,204.478
2011-05-18,183.091,7.5,91.0,46.417,15.0,27.818,34.733,112.133,77.4,3.762,37.565,24.4,18.017,11.1,210.909
2011-05-19,181.913,7.875,72.0,44.208,23.0,24.522,39.3,72.9,33.6,5.25,40.625,27.3,20.325,12.9,206.435
2011-05-20,179.957,8.208,78.0,51.917,21.0,21.13,42.083,97.333,55.25,4.542,39.042,28.1,21.829,15.8,201.087
2011-05-21,177.087,7.375,86.0,63.75,42.0,21.174,24.208,54.125,29.917,3.625,28.875,28.4,23.125,17.5,198.261
2011-05-22,177.261,5.542,94.0,67.625,43.0,12.0,13.667,26.375,12.708,3.125,16.75,24.3,19.708,15.5,189.261
2011-05-23,179.261,5.708,95.0,81.833,70.0,13.565,23.458,47.417,23.958,3.167,18.042,16.1,14.867,13.5,192.826
2011-05-24,178.174,5.75,94.0,64.708,34.0,15.174,22.708,44.5,21.792,2.958,12.958,21.3,16.912,13.4,193.348
2011-05-25,180.087,6.0,71.0,49.917,28.0,17.348,25.5,45.083,19.583,3.174,20.917,25.4,20.225,15.3,197.435
2011-05-26,179.381,5.522,79.0,62.0,44.0,16.048,27.818,47.136,19.318,4.545,28.913,21.6,19.208,17.4,195.429
2011-05-27,178.435,5.25,94.0,76.0,58.0,14.913,23.875,37.0,13.125,3.25,15.958,18.2,16.983,15.8,193.348
2011-05-28,180.565,4.958,94.0,91.167,83.0,14.87,12.125,15.333,3.208,3.0,12.0,19.1,17.796,16.2,195.435
2011-05-29,177.609,5.208,93.0,92.625,92.0,13.652,10.875,15.792,4.917,2.875,8.792,19.3,18.404,16.5,191.261
2011-05-30,177.957,4.583,90.0,69.375,57.0,12.739,13.417,27.417,14.0,2.875,10.083,18.5,17.075,15.4,190.696
2011-05-31,,5.667,84.0,59.958,38.0,,25.25,62.958,37.708,3.042,14.333,21.6,17.879,13.5,
2011-06-01,,5.652,92.0,83.25,71.0,,24.083,42.583,18.5,3.304,19.583,17.6,16.575,15.5,
2011-06-02,,5.783,93.0,81.208,55.0,,15.913,26.957,11.043,2.826,12.783,20.4,17.392,15.1,
2011-06-03,187.0,8.25,91.0,63.958,34.0,31.0,33.042,83.625,50.583,3.958,40.208,26.5,21.15,16.9,218.0
2011-06-04,183.13,8.208,85.0,57.792,31.0,19.217,29.708,58.208,28.5,4.375,51.75,28.5,23.258,18.6,202.348
2011-06-05,180.783,7.417,82.0,65.208,50.0,17.522,21.333,37.375,16.042,4.417,38.542,24.8,22.025,19.8,198.304
2011-06-06,183.652,6.625,87.0,52.167,29.0,18.478,29.917,60.75,30.833,3.458,32.125,26.7,22.158,16.8,202.13
2011-06-07,178.8,6.5,74.0,60.292,41.0,17.0,36.083,75.125,39.042,3.5,35.625,25.4,21.142,18.4,195.8
2011-06-08,179.609,4.087,85.0,61.917,39.0,19.348,32.083,61.583,29.5,3.522,22.958,26.4,22.45,18.3,198.957
2011-06-09,179.909,6.304,78.0,63.0,45.0,20.273,37.217,89.783,52.565,3.348,25.957,28.3,24.046,20.9,200.182
2011-06-10,182.522,8.5,93.0,75.167,57.0,25.609,37.333,95.167,57.833,3.958,43.833,26.0,23.358,21.0,208.13
2011-06-11,182.609,6.833,93.0,75.167,51.0,16.087,21.083,36.583,15.5,2.792,24.125,24.1,21.367,19.7,198.696
2011-06-12,184.565,6.708,93.0,75.958,51.0,18.348,18.917,32.167,13.25,2.792,30.375,24.2,19.825,17.0,202.913
2011-06-13,181.261,7.125,93.0,66.333,38.0,18.217,26.708,58.625,31.917,2.958,24.0,25.3,21.338,17.0,199.478
2011-06-14,182.087,5.333,88.0,52.458,29.0,12.913,17.417,30.708,13.292,2.583,23.708,24.9,21.721,18.6,195.0
2011-06-15,185.304,6.261,79.0,52.292,27.0,21.348,29.333,75.0,45.667,3.261,20.958,25.2,21.212,16.3,206.652
2011-06-16,187.0,6.217,94.0,82.208,62.0,25.182,27.826,61.87,34.043,3.217,26.304,22.2,19.325,17.7,212.182
2011-06-17,181.565,6.667,94.0,74.917,51.0,19.13,23.042,41.042,18.0,3.042,15.833,25.1,21.421,17.9,200.696
2011-06-18,186.522,6.208,92.0,86.625,80.0,18.391,17.583,30.792,13.208,3.292,18.75,21.7,20.971,20.3,204.913
2011-06-19,189.652,6.75,92.0,80.0,60.0,21.261,15.833,28.833,13.0,3.042,18.583,24.8,21.883,20.2,210.913
2011-06-20,185.435,7.333,94.0,85.5,72.0,28.739,26.583,66.458,39.875,3.167,19.667,24.5,21.954,20.0,214.174
2011-06-21,177.609,7.5,91.0,65.125,40.0,21.739,33.167,87.042,53.875,3.75,22.25,30.0,25.508,21.4,199.348
2011-06-22,176.957,7.913,88.0,66.0,48.0,25.913,29.625,86.667,57.042,5.435,36.083,30.7,26.708,22.5,202.87
2011-06-23,174.278,6.261,83.0,63.875,42.0,20.611,17.609,64.261,46.652,4.783,35.739,32.6,28.396,24.9,194.889
2011-06-24,171.217,6.583,78.0,61.458,41.0,21.0,17.042,61.875,44.833,4.125,28.667,32.9,29.025,25.2,192.217
2011-06-25,174.087,6.333,85.0,61.458,33.0,17.174,13.625,42.333,28.708,3.708,31.542,34.8,29.712,25.8,191.261
2011-06-26,175.696,5.667,91.0,67.0,42.0,15.826,9.333,27.292,17.958,3.042,28.208,32.2,28.142,25.5,191.522
2011-06-27,170.696,6.292,88.0,56.292,40.0,16.217,14.5,62.167,47.667,3.208,19.958,33.2,29.504,25.2,186.913
2011-06-28,171.478,6.333,82.0,56.667,34.0,18.391,19.125,69.5,50.375,3.833,27.708,34.3,29.933,25.8,189.87
2011-06-29,172.609,5.739,83.0,55.5,37.0,21.87,16.333,50.208,33.875,3.87,28.542,33.3,29.688,25.4,194.478
2011-06-30,174.818,6.636,76.0,57.391,35.0,20.455,24.348,71.652,47.304,4.043,38.391,34.1,29.15,24.8,195.273
2011-07-01,174.13,8.708,84.0,67.333,48.0,26.696,30.583,104.542,73.958,4.875,37.708,29.4,26.629,24.9,200.826
2011-07-02,175.522,7.25,83.0,60.5,41.0,21.261,21.333,56.167,34.833,4.083,27.083,30.6,27.571,24.4,196.783
2011-07-03,177.826,8.375,77.0,63.125,45.0,19.522,20.0,39.833,19.833,4.167,46.0,31.5,27.871,24.6,197.348
